gpsTime,sysTime,Lat,Lng,Alt,speed,course,bearing,dist,ctlangle,isWindCheck,isCheckWind
not defined yet,6:7:23:44:46630,37.28958,127.065605,73.3,1.14,301.45,0.0,0.0,0.0,,0
not defined yet,6:7:23:45:47587,37.289577,127.06559,72.6,1.0,297.32,230.61,379.03,0.0,,0
not defined yet,6:7:23:46:48623,37.289574,127.065575,72.3,1.24,292.91,230.51,377.86,0.0,,0
not defined yet,6:7:23:47:49612,37.289577,127.06556,71.6,1.12,291.98,230.4,376.7,0.0,,0
not defined yet,6:7:23:48:50607,37.289585,127.06555,71.4,1.11,294.7,230.24,375.78,0.0,,0
not defined yet,6:7:23:49:51604,37.289593,127.06554,71.2,1.36,296.36,230.11,375.62,0.0,,0
not defined yet,6:7:23:50:52607,37.289597,127.06552,71.0,1.15,301.17,229.84,375.32,0.0,,0
not defined yet,6:7:23:51:53610,37.289604,127.06552,70.5,1.19,306.85,229.73,374.16,0.0,,0
not defined yet,6:7:23:52:54610,37.28961,127.06551,70.4,1.43,315.32,229.58,375.02,0.0,,0
not defined yet,6:7:23:53:55599,37.289623,127.0655,70.0,1.22,314.04,229.38,375.25,0.0,,0
not defined yet,6:7:23:54:56620,37.28963,127.06548,69.6,1.22,309.07,229.11,374.96,0.0,,0
not defined yet,6:7:23:55:57603,37.289635,127.065475,69.4,1.27,301.99,228.89,374.44,0.0,,0
not defined yet,6:7:23:56:58617,37.28964,127.06546,69.2,1.2,300.08,228.78,374.18,0.0,,0
not defined yet,6:7:23:57:59592,37.28965,127.065445,69.2,1.31,308.55,228.6,373.42,0.0,,0
not defined yet,6:7:23:58:60605,37.289654,127.065445,69.1,1.32,312.31,228.31,373.28,0.0,,0
not defined yet,6:7:23:59:61609,37.289665,127.06544,68.9,1.13,315.63,228.31,373.28,0.0,,0
not defined yet,6:7:24:0:62647,37.28967,127.06542,69.0,1.37,314.59,228.09,373.66,0.0,,0
not defined yet,6:7:24:1:63599,37.289677,127.06541,69.1,1.27,314.24,227.88,373.04,0.0,,0
not defined yet,6:7:24:2:64830,37.28969,127.0654,68.8,1.34,316.57,227.61,372.8,0.0,,0
not defined yet,6:7:24:3:65606,37.289696,127.0654,68.6,1.17,314.6,227.37,373.33,0.0,,0
not defined yet,6:7:24:4:66645,37.2897,127.065384,68.6,1.03,307.85,227.35,373.46,0.0,,0
not defined yet,6:7:24:5:67591,37.289707,127.06537,68.6,1.16,306.95,227.14,372.85,0.0,,0
not defined yet,6:7:24:6:68615,37.289715,127.06536,69.0,1.4,310.61,226.89,372.51,0.0,,0
not defined yet,6:7:24:8:70625,37.28973,127.065346,68.8,1.29,315.15,226.74,372.53,0.0,,0
not defined yet,6:7:24:9:71625,37.289734,127.06533,68.9,0.9,305.84,226.4,372.73,0.0,,0
not defined yet,6:7:24:11:73600,37.289738,127.06529,68.8,1.35,277.95,226.26,371.75,0.0,,0
not defined yet,6:7:24:12:74605,37.289734,127.065285,68.6,1.28,268.35,225.73,370.37,0.0,,0
not defined yet,6:7:24:13:75596,37.289734,127.06527,68.5,1.25,261.16,225.8,368.96,0.0,,0
not defined yet,6:7:24:14:76604,37.289734,127.065254,68.2,1.19,269.01,225.68,367.86,0.0,,0
not defined yet,6:7:24:15:77682,37.289738,127.06525,68.1,1.31,277.72,225.51,367.02,0.0,,0
not defined yet,6:7:24:16:78625,37.28974,127.06523,68.2,0.56,282.27,225.29,367.47,0.0,,0
not defined yet,6:7:24:17:79606,37.289745,127.06523,68.0,0.47,310.86,225.14,366.51,0.0,,0
not defined yet,6:7:24:18:80613,37.28975,127.065216,68.5,0.66,331.16,225.14,366.51,0.0,,0
not defined yet,6:7:24:19:81605,37.28975,127.06521,68.8,1.0,321.99,224.91,366.09,0.0,,0
not defined yet,6:7:24:20:82620,37.289757,127.06519,69.0,1.15,322.67,224.79,365.88,0.0,,0
not defined yet,6:7:24:21:83606,37.289764,127.06519,69.0,1.0,319.01,224.6,365.2,0.0,,0
not defined yet,6:7:24:22:84623,37.28977,127.06519,69.1,0.64,326.95,224.49,365.88,0.0,,0
not defined yet,6:7:24:23:85603,37.28977,127.06519,69.0,0.04,326.95,224.45,366.15,0.0,,0
not defined yet,6:7:24:24:86610,37.28977,127.06519,68.6,0.03,326.95,270.0,0.68,-56.95,,0
not defined yet,6:7:24:25:87598,37.28977,127.06519,68.2,0.03,326.95,270.0,0.68,-56.95,,0
not defined yet,6:7:24:26:88620,37.28977,127.06519,68.0,0.48,33.35,270.0,0.68,-56.95,,0
not defined yet,6:7:24:27:89606,37.289764,127.06521,68.1,0.99,108.21,270.0,0.68,-123.35,,0
not defined yet,6:7:24:28:90608,37.289753,127.06521,68.2,1.25,125.2,285.66,2.11,177.45,,0
not defined yet,6:7:24:29:91631,37.28975,127.065216,68.5,1.21,134.31,303.19,2.43,177.99,,0
not defined yet,6:7:24:30:92632,37.289738,127.06523,68.8,1.31,131.45,299.28,3.1,164.97,,0
not defined yet,6:7:24:31:93887,37.28973,127.06525,69.0,1.25,127.77,305.03,4.96,173.58,,0
not defined yet,6:7:24:32:94652,37.289726,127.065254,69.1,1.39,125.18,307.63,6.83,179.86,,0
not defined yet,6:7:24:33:95605,37.289722,127.06527,68.9,1.25,121.17,307.91,7.72,-177.27,,0
not defined yet,6:7:24:34:96622,37.289715,127.065285,69.0,1.19,120.48,304.54,9.03,-176.63,,0
not defined yet,6:7:24:35:97624,37.28971,127.06529,69.1,1.3,123.83,304.61,10.69,-175.87,,0
not defined yet,6:7:24:36:98591,37.289703,127.06531,69.3,1.36,123.85,302.65,11.25,178.82,,0
