sysTime,roll,pitch,yaw,ax,ay,az,sqrt,average
6:7:24:11:74063,53.36,17.26,-97.97,0.11,0.46,0.31,0.57,0.97
6:7:24:11:74159,54.69,17.89,-103.84,0.01,0.54,0.5,0.73,0.77
6:7:24:11:74255,51.82,20.36,-108.6,0.14,0.86,0.75,1.15,0.82
6:7:24:12:74652,57.21,21.7,-99.66,0.12,0.38,0.31,0.51,0.8
6:7:24:12:74764,56.24,19.86,-97.9,0.14,0.64,0.63,0.91,0.86
6:7:24:12:74860,55.32,17.97,-97.93,0.31,1.03,0.79,1.34,0.92
6:7:24:12:74972,51.61,19.23,-102.1,0.46,0.95,0.75,1.29,1.18
6:7:24:12:75052,51.65,18.84,-109.35,0.54,0.86,0.68,1.22,1.28
6:7:24:12:75163,52.14,19.52,-116.99,0.2,0.51,0.33,0.64,1.05
6:7:24:12:75243,52.62,19.23,-121.16,0.06,0.61,0.34,0.7,0.85
6:7:24:13:75659,50.59,11.43,-114.71,0.21,0.59,0.37,0.73,0.69
6:7:24:13:75756,46.6,12.92,-104.22,0.08,0.4,0.32,0.52,0.65
6:7:24:13:75867,44.66,14.19,-93.31,0.17,0.68,0.72,1.0,0.75
6:7:24:13:75963,43.21,16.37,-88.98,0.39,0.83,0.96,1.32,0.95
6:7:24:13:76108,41.99,21.13,-90.87,0.68,0.7,1.06,1.44,1.26
6:7:24:13:76155,44.26,24.33,-92.16,0.29,0.49,0.52,0.77,1.18
6:7:24:13:76284,47.2,24.35,-94.6,0.18,0.44,0.42,0.63,0.95
6:7:24:14:76876,53.4,19.25,-85.3,0.54,0.94,0.42,1.16,0.85
6:7:24:14:76907,51.98,20.77,-80.66,0.3,0.39,0.36,0.61,0.8
6:7:24:14:76923,49.18,22.29,-75.02,0.07,0.45,0.42,0.62,0.8
6:7:24:14:76956,45.53,23.04,-72.5,0.35,0.88,0.92,1.32,0.85
6:7:24:14:77067,43.45,21.58,-74.05,0.46,0.82,0.95,1.34,1.09
6:7:24:14:77195,41.39,21.08,-78.59,0.47,0.64,0.86,1.17,1.28
6:7:24:14:77275,41.74,20.69,-82.69,0.42,0.57,0.63,0.95,1.15
6:7:24:15:77683,48.76,15.22,-96.23,0.5,0.75,0.83,1.23,1.11
6:7:24:15:77777,49.46,12.3,-99.93,0.51,0.89,0.93,1.39,1.19
6:7:24:15:77857,48.86,13.98,-111.49,0.24,0.42,0.48,0.68,1.1
6:7:24:15:77953,46.99,17.45,-125.2,0.23,0.43,0.5,0.7,0.92
6:7:24:15:78049,45.65,19.15,-140.53,0.46,0.61,0.52,0.93,0.77
6:7:24:15:78161,44.24,18.39,-159.26,0.55,0.96,0.9,1.43,1.02
6:7:24:15:78257,43.53,16.92,-179.2,0.38,0.51,1.05,1.23,1.2
6:7:24:16:78641,47.13,16.85,158.2,0.25,0.54,0.64,0.88,1.18
6:7:24:16:78753,50.46,18.6,157.59,0.2,0.71,0.64,0.98,1.03
6:7:24:16:78865,52.78,18.09,158.38,0.39,0.68,0.78,1.11,0.99
6:7:24:16:78960,56.87,19.74,164.68,0.37,0.85,0.64,1.13,1.07
6:7:24:16:79056,59.59,22.27,169.7,0.37,0.78,0.49,0.99,1.08
6:7:24:16:79169,61.59,20.96,170.8,0.28,0.78,0.51,0.97,1.03
6:7:24:16:79264,62.83,21.06,173.08,0.37,0.79,0.46,0.99,0.98
6:7:24:17:79638,61.82,23.07,168.78,0.34,0.65,0.81,1.09,1.02
6:7:24:17:79765,61.85,23.92,170.07,0.23,0.56,0.56,0.83,0.97
6:7:24:17:79893,61.78,22.28,170.07,0.21,0.64,0.53,0.86,0.93
6:7:24:17:79958,61.56,19.77,169.1,0.39,0.69,0.66,1.03,0.91
6:7:24:17:80069,60.73,19.58,170.27,0.33,0.64,0.54,0.9,0.93
6:7:24:17:80166,61.62,18.02,172.74,0.32,0.9,0.66,1.16,1.03
6:7:24:17:80262,62.2,20.08,175.35,0.26,0.94,0.71,1.2,1.09
6:7:24:18:80645,61.88,16.46,172.74,0.34,0.74,0.45,0.93,1.1
6:7:24:18:80757,61.41,16.63,172.33,0.27,0.93,0.66,1.17,1.1
6:7:24:18:80869,62.82,19.28,171.65,0.49,1.03,0.82,1.41,1.17
6:7:24:18:80950,62.56,22.59,172.86,0.22,0.53,0.55,0.8,1.13
6:7:24:18:81093,61.45,21.57,174.13,0.17,0.56,0.61,0.84,1.02
6:7:24:18:81189,60.49,21.45,175.53,0.33,0.6,0.65,0.94,0.86
6:7:24:18:81269,62.07,19.12,177.27,0.32,0.6,0.53,0.86,0.88
6:7:24:19:81653,68.08,17.38,179.74,0.11,0.68,0.31,0.76,0.85
6:7:24:19:81765,66.19,15.98,174.46,0.14,0.69,0.39,0.81,0.81
6:7:24:19:81861,62.73,15.47,170.79,0.3,0.77,0.51,0.97,0.84
6:7:24:19:81989,60.7,14.83,168.2,0.24,0.86,0.61,1.08,0.95
6:7:24:19:82053,62.03,15.94,167.25,0.34,1.19,0.91,1.54,1.2
6:7:24:19:82166,66.87,21.78,169.66,0.2,0.6,0.55,0.84,1.15
6:7:24:19:82260,66.95,22.38,169.13,0.17,0.59,0.51,0.8,1.06
6:7:24:20:82652,65.46,17.9,173.24,0.28,0.8,0.63,1.06,0.9
6:7:24:20:82763,63.68,20.6,173.83,0.23,0.99,0.57,1.16,1.01
6:7:24:20:82859,60.87,24.24,172.16,0.34,0.55,0.49,0.81,1.01
6:7:24:20:82956,63.37,19.25,172.0,0.22,0.66,0.47,0.84,0.94
6:7:24:20:83052,59.87,19.41,172.74,0.34,0.73,0.51,0.95,0.87
6:7:24:20:83195,54.35,22.01,172.44,0.37,0.6,0.68,0.98,0.92
6:7:24:20:83260,52.98,21.34,173.17,0.32,0.9,0.98,1.37,1.1
6:7:24:21:83669,53.88,22.18,-177.88,0.35,0.54,0.85,1.06,1.14
6:7:24:21:83766,55.98,20.73,-174.33,0.33,0.42,0.61,0.81,1.08
6:7:24:21:83861,58.83,18.51,-172.23,0.39,0.55,0.63,0.92,0.93
6:7:24:21:83941,56.84,16.56,-175.58,0.34,0.6,0.87,1.12,0.95
6:7:24:21:84038,55.12,15.92,-179.93,0.18,0.69,0.87,1.12,1.05
6:7:24:21:84150,52.36,19.23,178.65,0.17,0.72,0.77,1.06,1.1
6:7:24:21:84261,51.6,19.99,-179.55,0.15,0.57,0.69,0.91,1.03
6:7:24:22:84654,31.83,9.03,-173.55,0.15,0.33,0.88,0.95,0.97
6:7:24:22:84767,27.37,8.34,-171.7,0.16,0.27,0.9,0.95,0.93
6:7:24:22:84861,23.27,8.59,-169.21,0.15,0.12,0.85,0.87,0.92
6:7:24:22:84958,15.77,7.78,-167.72,0.06,-0.01,1.04,1.05,0.95
6:7:24:22:85070,7.05,9.56,-167.03,0.1,-0.07,0.97,0.97,0.96
6:7:24:22:85134,0.06,13.33,-165.97,0.26,-0.22,0.88,0.95,0.99
6:7:24:22:85245,-1.45,12.69,-162.66,0.22,-0.18,0.98,1.02,0.98
6:7:24:23:85651,0.87,10.12,-158.63,0.18,-0.03,0.94,0.96,0.98
6:7:24:23:85762,0.96,9.52,-156.7,0.17,0.0,0.96,0.97,0.99
6:7:24:23:85858,0.59,8.55,-155.01,0.13,-0.03,0.95,0.96,0.97
6:7:24:23:85954,-0.22,7.98,-153.58,0.12,-0.02,0.98,0.99,0.97
6:7:24:23:86050,-0.99,7.63,-152.24,0.13,-0.03,0.96,0.97,0.97
6:7:24:23:86148,-1.34,7.13,-150.92,0.12,-0.03,0.98,0.98,0.98
6:7:24:23:86243,-1.59,6.72,-150.19,0.09,-0.03,0.99,0.99,0.98
6:7:24:24:86658,-2.41,6.49,-148.07,0.11,-0.04,0.97,0.98,0.99
6:7:24:24:86738,-2.16,6.39,-147.66,0.11,-0.04,0.98,0.98,0.99
6:7:24:24:86835,-2.02,6.74,-147.4,0.12,-0.05,0.97,0.98,0.98
6:7:24:24:86946,-1.71,6.91,-147.06,0.11,-0.03,0.96,0.97,0.98
6:7:24:24:87059,-1.47,7.06,-146.73,0.11,-0.02,0.98,0.98,0.98
6:7:24:24:87138,-1.23,7.04,-146.4,0.12,-0.02,0.97,0.98,0.98
6:7:24:24:87234,-1.05,7.12,-146.17,0.12,-0.01,0.97,0.98,0.98
6:7:24:25:87661,-0.69,7.86,-143.63,0.11,-0.01,0.95,0.95,0.97
6:7:24:25:87757,-0.81,8.29,-142.99,0.1,-0.05,0.96,0.96,0.96
6:7:24:25:87854,-1.36,8.4,-143.27,0.02,-0.12,0.94,0.95,0.96
6:7:24:25:87949,-2.96,8.1,-143.62,0.04,-0.01,1.07,1.07,0.99
6:7:24:25:88045,-2.45,11.36,-145.13,0.04,-0.06,0.89,0.89,0.97
6:7:24:25:88172,-2.23,12.57,-146.01,0.12,-0.06,1.04,1.05,1.0
6:7:24:25:88252,0.09,10.98,-145.41,0.09,-0.02,1.01,1.01,0.98
6:7:24:26:88638,10.01,8.77,-140.07,0.14,0.14,0.75,0.78,0.95
6:7:24:26:88764,9.88,9.14,-141.26,0.08,0.16,0.83,0.85,0.88
6:7:24:26:88861,9.89,8.8,-141.96,0.06,0.19,0.97,0.99,0.87
6:7:24:26:88972,10.12,5.88,-142.96,0.05,0.12,1.06,1.07,0.97
6:7:24:26:89036,11.28,2.5,-145.2,0.04,0.3,1.1,1.14,1.07
6:7:24:26:89133,12.8,-1.21,-148.26,0.19,0.33,1.01,1.08,1.1
6:7:24:26:89260,11.95,3.12,-151.57,0.32,0.12,1.02,1.07,1.1
6:7:24:27:89653,28.53,14.23,-157.42,0.45,0.48,0.98,1.18,1.11
6:7:24:27:89749,28.61,15.52,-153.91,0.43,0.43,0.86,1.05,1.1
6:7:24:27:89846,28.0,16.41,-149.68,0.4,0.38,0.71,0.89,1.04
6:7:24:27:89958,22.0,12.65,-147.93,0.12,0.21,0.63,0.67,0.87
6:7:24:27:90037,14.75,10.08,-147.5,0.08,0.21,0.84,0.87,0.81
6:7:24:27:90165,14.33,7.76,-147.42,0.06,0.21,1.01,1.04,0.86
6:7:24:27:90245,16.94,5.2,-150.08,0.1,0.3,1.16,1.2,1.04
6:7:24:28:90641,22.81,14.31,-161.63,0.13,0.4,0.9,0.99,1.08
6:7:24:28:90752,25.53,16.42,-161.31,0.27,0.52,0.99,1.15,1.11
6:7:24:28:90848,27.94,15.3,-157.44,0.57,0.68,1.2,1.49,1.21
6:7:24:28:90944,26.96,16.31,-151.62,0.47,0.33,0.73,0.93,1.19
6:7:24:28:91055,27.66,16.18,-143.66,0.3,0.26,0.5,0.64,1.02
6:7:24:28:91136,25.36,15.1,-138.93,0.16,0.16,0.61,0.65,0.74
6:7:24:28:91280,24.03,12.17,-135.85,0.16,0.39,0.98,1.07,0.78
6:7:24:29:91677,21.76,14.57,-152.3,0.18,0.2,0.56,0.63,0.78
6:7:24:29:91759,22.94,17.8,-156.7,0.14,0.33,0.63,0.73,0.81
6:7:24:29:91870,23.96,16.3,-159.57,0.29,0.41,0.99,1.11,0.82
6:7:24:29:91934,25.65,12.49,-158.65,0.37,0.5,1.1,1.27,1.04
6:7:24:29:92078,26.54,11.54,-153.49,0.39,0.45,0.89,1.07,1.15
6:7:24:29:92141,27.25,10.83,-148.71,0.34,0.38,0.92,1.05,1.13
6:7:24:29:92302,28.2,8.0,-145.97,0.06,0.19,0.6,0.63,0.92
6:7:24:30:92790,20.39,6.49,-157.11,0.23,0.17,0.93,0.97,0.88
6:7:24:30:92791,22.18,8.7,-160.82,0.18,0.21,0.54,0.61,0.73
6:7:24:30:92903,23.54,10.01,-162.86,0.13,0.31,0.71,0.78,0.79
6:7:24:30:92999,23.62,10.23,-165.74,0.07,0.37,0.92,0.99,0.79
6:7:24:30:93063,24.17,12.43,-166.37,0.32,0.56,1.11,1.28,1.02
6:7:24:30:93174,25.49,15.46,-162.21,0.54,0.4,1.08,1.27,1.18
6:7:24:31:93669,26.96,12.56,-154.92,0.39,0.38,0.93,1.08,1.21
6:7:24:31:93950,18.02,6.76,-142.16,0.19,0.17,1.1,1.13,1.16
6:7:24:31:94047,21.24,4.54,-144.83,0.3,0.26,1.24,1.3,1.17
6:7:24:31:94077,20.9,9.43,-151.23,0.26,0.24,0.73,0.82,1.08
6:7:24:31:94174,21.41,10.55,-157.47,0.13,0.23,0.51,0.58,0.9
6:7:24:31:94238,20.7,11.68,-164.37,0.17,0.33,0.86,0.94,0.78
