sysTime,serialLOG
6:7:23:49:51955,"%,1,6,33.89,55.04,-44.31,0.15,0.19,0.45,0.52,0.96
"
6:7:23:49:52051,"%,1,6,36.99,55.38,-37.66,0.05,0.02,0.66,0.67,0.71
"
6:7:23:49:52147,"%,1,6,38.82,57.26,-34.82,0.07,-0.07,1.11,1.12,0.77
"
6:7:23:49:52243,"%,1,6,42.48,62.23,-34.46,0.25,-0.07,1.30,1.32,1.03
"
6:7:23:49:52290,"%,3,2,4,1
"
6:7:23:49:52307,"%,4,1,3
"
6:7:23:50:52607,"%,2,6,37.2895965,127.0655212,71.00,12,1.15,301.17
"
6:7:23:50:52622,"%,5,2,374.16,229.73
"
6:7:23:50:52654,"%,1,6,24.09,65.62,-62.76,0.08,-0.08,0.73,0.74,1.06
"
6:7:23:50:52751,"%,1,6,25.54,69.92,-59.76,0.21,-0.02,1.25,1.27,1.11
"
6:7:23:50:52848,"%,1,6,32.57,69.47,-55.44,0.35,0.01,1.39,1.44,1.15
"
6:7:23:50:52944,"%,1,6,40.79,73.80,-46.39,0.56,-0.07,0.85,1.03,1.24
"
6:7:23:50:53054,"%,1,6,59.83,72.15,-28.04,0.39,0.12,0.65,0.77,1.08
"
6:7:23:50:53150,"%,1,6,67.00,65.04,-24.24,0.27,0.01,0.54,0.60,0.80
"
6:7:23:50:53262,"%,1,6,69.62,61.71,-20.12,0.25,0.10,0.69,0.74,0.70
"
6:7:23:50:53310,"%,3,2,4,1
"
6:7:23:50:53310,"%,4,1,3
"
6:7:23:51:53610,"%,2,6,37.2896041,127.0655212,70.50,12,1.19,306.85
"
6:7:23:51:53610,"%,5,2,375.02,229.58
"
6:7:23:51:53658,"%,1,6,59.54,71.87,-34.85,0.45,0.09,0.60,0.75,0.70
"
6:7:23:51:53737,"%,1,6,63.52,69.84,-37.34,0.17,0.08,0.37,0.42,0.64
"
6:7:23:51:53850,"%,1,6,44.32,72.24,-53.97,0.19,0.12,1.06,1.08,0.75
"
6:7:23:51:53946,"%,1,6,32.91,70.81,-62.55,0.45,0.29,1.58,1.66,1.06
"
6:7:23:51:54042,"%,1,6,46.11,60.50,-60.04,0.37,0.39,1.44,1.54,1.43
"
6:7:23:51:54153,"%,1,6,68.72,44.71,-51.61,0.28,0.74,0.68,1.04,1.42
"
6:7:23:51:54250,"%,1,6,86.55,26.55,-46.39,0.11,0.58,0.30,0.66,1.08
"
6:7:23:51:54297,"%,3,2,4,1
"
6:7:23:51:54297,"%,4,1,3
"
6:7:23:52:54609,"%,2,6,37.2896118,127.0655136,70.40,12,1.43,315.32
"
6:7:23:52:54611,"%,5,2,375.25,229.38
"
6:7:23:52:54641,"%,1,6,109.43,6.84,-41.35,-0.32,1.01,0.26,1.09,0.93
"
6:7:23:52:54767,"%,1,6,108.96,12.66,-43.20,-0.12,0.78,-0.03,0.79,0.85
"
6:7:23:52:54848,"%,1,6,100.69,23.69,-48.61,-0.19,0.55,0.00,0.58,0.82
"
