sysTime,roll,pitch,yaw,ax,ay,az,sqrt,average
6:9:32:51:19924,81.22,-33.2,143.65,-0.55,0.84,0.14,1.01,1.02
6:9:32:51:20015,78.31,-34.78,147.31,-0.54,0.8,0.17,0.98,1.0
6:9:32:51:20112,76.62,-36.18,150.34,-0.45,0.73,0.23,0.88,0.94
6:9:32:51:20210,78.49,-36.11,147.25,-0.72,0.83,0.24,1.12,0.96
6:9:32:51:20311,79.26,-35.52,146.37,-0.61,0.79,0.14,1.01,1.08
6:9:32:51:20416,80.42,-34.72,146.02,-0.59,0.8,0.07,1.0,1.0
6:9:32:51:20511,79.99,-33.38,146.64,-0.54,0.82,0.18,1.0,1.0
6:9:32:52:21009,81.09,-31.72,146.81,-0.51,0.88,0.14,1.03,1.01
6:9:32:52:21105,79.66,-32.0,147.29,-0.5,0.82,0.1,0.96,1.01
6:9:32:52:21216,78.81,-31.97,148.09,-0.49,0.86,0.23,1.02,0.98
6:9:32:52:21313,77.88,-31.41,148.68,-0.53,0.84,0.18,1.01,1.02
6:9:32:52:21409,77.59,-30.02,148.57,-0.53,0.85,0.18,1.01,1.01
6:9:32:52:21504,77.29,-28.39,148.4,-0.49,0.87,0.21,1.02,1.01
6:9:32:53:22011,78.67,-25.01,147.28,-0.42,0.9,0.17,1.01,1.01
6:9:32:53:22107,78.73,-24.72,146.85,-0.43,0.91,0.19,1.02,1.01
6:9:32:53:22204,79.01,-24.59,146.25,-0.44,0.9,0.18,1.02,1.02
6:9:32:53:22299,79.32,-24.7,145.94,-0.42,0.9,0.17,1.01,1.01
6:9:32:53:22412,79.32,-24.57,145.58,-0.43,0.88,0.16,1.0,1.01
6:9:32:54:22523,79.26,-24.16,145.65,-0.41,0.92,0.18,1.02,1.01
6:9:32:54:23013,80.3,-22.63,146.28,-0.4,0.88,0.16,0.98,1.01
6:9:32:54:23094,80.53,-22.3,146.57,-0.35,0.95,0.16,1.02,1.0
6:9:32:54:23191,80.65,-23.01,145.56,-0.4,0.91,0.15,1.01,1.02
6:9:32:54:23301,81.26,-23.48,144.1,-0.42,0.92,0.14,1.02,1.01
6:9:32:54:23414,81.3,-23.8,143.52,-0.41,0.91,0.13,1.01,1.02
6:9:32:54:23511,81.48,-23.93,143.32,-0.41,0.92,0.14,1.01,1.01
6:9:32:55:24012,82.64,-24.9,143.5,-0.42,0.91,0.11,1.01,1.01
6:9:32:55:24106,83.01,-24.98,143.1,-0.43,0.92,0.11,1.02,1.01
6:9:32:55:24217,83.38,-24.8,142.76,-0.43,0.93,0.11,1.03,1.02
6:9:32:55:24314,83.34,-24.67,142.63,-0.45,0.91,0.1,1.02,1.03
6:9:32:55:24411,83.23,-24.68,142.69,-0.44,0.91,0.11,1.02,1.02
6:9:32:55:24491,82.61,-24.43,143.41,-0.41,0.92,0.13,1.01,1.02
6:9:32:56:24997,81.23,-24.47,144.12,-0.43,0.91,0.14,1.02,1.01
6:9:32:56:25109,81.28,-24.28,144.68,-0.4,0.9,0.15,1.0,1.01
6:9:32:56:25203,82.02,-24.36,145.0,-0.42,0.93,0.14,1.03,1.01
6:9:32:56:25299,82.31,-24.26,145.16,-0.41,0.91,0.11,1.01,1.02
6:9:32:56:25396,82.49,-24.31,145.09,-0.43,0.91,0.11,1.02,1.01
6:9:32:56:25492,82.46,-24.22,145.26,-0.41,0.92,0.13,1.01,1.02
6:9:32:57:25928,82.22,-23.71,145.04,-0.41,0.91,0.12,1.0,1.01
6:9:32:57:26039,82.33,-23.85,144.9,-0.41,0.91,0.14,1.01,1.0
6:9:32:57:26085,83.05,-24.03,144.69,-0.42,0.93,0.1,1.02,1.01
6:9:32:57:26197,83.51,-24.2,144.45,-0.41,0.91,0.11,1.0,1.02
6:9:32:57:26309,84.36,-23.9,143.92,-0.42,0.93,0.1,1.03,1.01
6:9:32:57:26407,84.65,-23.72,143.55,-0.42,0.92,0.1,1.02,1.02
6:9:32:58:26533,84.57,-23.63,143.41,-0.4,0.92,0.1,1.01,1.02
6:9:32:58:27008,83.84,-23.64,142.93,-0.39,0.91,0.1,0.99,1.01
6:9:32:58:27105,84.04,-23.55,142.82,-0.39,0.91,0.1,0.99,0.99
6:9:32:58:27215,84.05,-23.31,142.8,-0.4,0.93,0.09,1.02,1.0
6:9:32:58:27311,83.55,-23.42,143.34,-0.38,0.92,0.11,1.0,1.01
6:9:32:58:27407,83.52,-23.28,143.35,-0.4,0.94,0.11,1.02,1.01
6:9:32:58:27503,83.18,-23.18,143.62,-0.39,0.94,0.12,1.02,1.02
6:9:32:59:27929,82.19,-23.62,144.4,-0.4,0.92,0.12,1.01,1.02
6:9:32:59:28016,82.12,-23.51,144.31,-0.4,0.94,0.14,1.03,1.02
6:9:32:59:28113,81.7,-23.5,144.39,-0.4,0.91,0.15,1.01,1.02
6:9:32:59:28208,81.56,-23.98,144.43,-0.4,0.9,0.15,1.0,1.0
6:9:32:59:28305,82.56,-24.7,144.24,-0.43,0.92,0.11,1.02,1.0
6:9:32:59:28416,83.72,-24.96,143.92,-0.43,0.93,0.1,1.02,1.02
6:9:32:59:28496,84.53,-25.32,143.58,-0.43,0.92,0.09,1.02,1.02
6:9:33:0:29004,87.55,-27.09,142.53,-0.46,0.91,0.02,1.02,1.02
6:9:33:0:29114,88.29,-27.15,141.8,-0.45,0.89,0.02,1.0,1.02
6:9:33:0:29226,89.44,-27.19,140.37,-0.46,0.9,-0.0,1.01,1.01
6:9:33:0:29291,91.18,-26.85,137.85,-0.43,0.91,-0.06,1.01,1.01
6:9:33:0:29419,94.72,-25.49,133.17,-0.37,0.88,-0.13,0.97,1.0
6:9:33:1:29514,98.79,-22.89,127.59,-0.38,0.95,-0.11,1.03,0.99
6:9:33:1:29945,106.41,-22.3,115.88,-0.33,1.05,-0.26,1.13,1.06
6:9:33:1:30023,105.83,-21.96,115.79,-0.56,0.81,-0.27,1.02,1.09
6:9:33:1:30103,104.74,-22.68,113.61,-0.57,0.92,-0.31,1.12,1.06
6:9:33:1:30214,105.34,-24.35,112.81,-0.52,0.73,-0.15,0.91,1.05
6:9:33:1:30324,104.18,-27.09,113.12,-0.51,0.8,-0.23,0.98,0.93
6:9:33:1:30405,105.32,-28.29,115.04,-0.47,0.9,-0.18,1.03,1.0
6:9:33:1:30501,105.18,-27.6,118.3,-0.45,0.84,-0.15,0.96,1.01
6:9:33:2:30920,96.5,-23.54,134.71,-0.39,0.86,-0.31,1.0,0.97
6:9:33:2:31000,96.24,-22.12,134.26,-0.34,0.85,-0.21,0.94,0.98
6:9:33:2:31112,96.43,-22.61,132.4,-0.34,0.81,-0.07,0.89,0.92
6:9:33:2:31208,96.16,-22.83,130.19,-0.33,0.89,-0.09,0.96,0.91
6:9:33:2:31304,96.5,-23.45,129.48,-0.39,1.0,0.0,1.07,1.0
6:9:33:2:31400,94.5,-25.5,132.25,-0.52,1.08,-0.18,1.21,1.12
6:9:33:3:31527,93.86,-25.02,131.27,-0.51,0.94,-0.28,1.11,1.18
6:9:33:3:31922,102.98,-35.81,135.65,-0.66,0.8,-0.25,1.07,1.09
6:9:33:3:32004,105.32,-37.29,138.32,-0.66,0.78,-0.25,1.05,1.06
6:9:33:3:32099,105.11,-38.69,143.42,-0.81,0.75,-0.27,1.13,1.08
6:9:33:3:32210,100.53,-38.98,153.77,-0.79,0.8,-0.18,1.14,1.14
6:9:33:4:32632,97.3,-38.35,163.31,-0.64,0.72,-0.12,0.97,1.08
6:9:33:4:32633,93.51,-37.54,172.17,-0.66,0.72,-0.07,0.98,0.97
6:9:33:4:32634,90.72,-35.67,-179.19,-0.62,0.96,-0.07,1.15,1.04
6:9:33:4:33008,93.92,-30.99,-151.78,-0.4,0.91,0.03,1.0,1.1
6:9:33:4:33105,95.47,-32.33,-155.02,-0.5,0.87,0.01,1.0,1.0
6:9:33:4:33215,96.27,-33.72,-158.0,-0.69,0.91,0.02,1.14,1.05
6:9:33:4:33296,98.33,-34.92,-161.76,-0.6,1.06,-0.34,1.26,1.18
6:9:33:4:33407,97.28,-39.14,-162.41,-0.5,0.74,-0.11,0.89,1.14
6:9:33:4:33504,95.84,-40.33,-163.09,-0.65,0.76,-0.13,1.01,0.93
6:9:33:5:33990,101.46,-47.96,166.47,-0.73,0.69,0.02,1.0,1.01
6:9:33:5:34115,95.44,-48.55,160.67,-0.81,0.71,-0.08,1.08,1.03
6:9:33:5:34213,88.48,-49.73,153.3,-0.86,0.65,0.01,1.08,1.08
6:9:33:5:34309,83.6,-49.92,146.42,-0.79,0.77,0.02,1.1,1.09
6:9:33:5:34405,80.53,-46.75,140.04,-0.63,0.73,0.1,0.97,1.06
6:9:33:5:34500,77.65,-40.1,135.85,-0.63,0.77,0.17,1.01,0.99
6:9:33:6:35009,72.05,-37.2,136.65,-0.6,0.7,0.15,0.93,0.99
6:9:33:6:35105,71.52,-38.73,139.04,-0.77,0.82,0.26,1.15,1.01
6:9:33:6:35202,72.2,-38.08,141.7,-0.68,0.72,0.18,1.01,1.1
6:9:33:6:35296,72.91,-38.28,144.56,-0.65,0.72,0.18,0.99,1.0
6:9:33:6:35393,73.44,-38.16,146.3,-0.58,0.72,0.25,0.95,0.98
6:9:33:6:35488,75.32,-38.45,146.73,-0.66,0.81,0.14,1.06,0.99
6:9:33:7:35909,72.04,-46.57,148.07,-0.8,0.71,0.2,1.08,1.07
6:9:33:7:36006,68.38,-46.95,150.56,-0.72,0.58,0.27,0.96,1.04
6:9:33:7:36133,65.84,-45.73,151.5,-0.67,0.52,0.26,0.88,0.94
6:9:33:7:36211,61.65,-47.28,153.77,-0.88,0.79,0.35,1.23,1.0
6:9:33:7:36310,61.58,-45.43,153.41,-0.6,0.61,0.27,0.9,1.12
6:9:33:7:36420,61.96,-44.04,153.79,-0.71,0.69,0.32,1.04,0.95
6:9:33:8:36518,64.56,-40.79,153.58,-0.6,0.7,0.28,0.96,1.02
6:9:33:8:36935,63.73,-36.43,158.95,-0.59,0.75,0.36,1.02,0.98
6:9:33:8:37001,63.7,-35.82,162.5,-0.55,0.7,0.33,0.95,1.0
6:9:33:8:37095,67.28,-34.67,161.2,-0.57,0.73,0.45,1.03,0.98
6:9:33:8:37208,64.32,-36.87,164.59,-0.57,0.71,0.36,0.98,1.01
6:9:33:8:37305,69.81,-39.96,161.02,-0.59,0.84,0.31,1.07,1.01
6:9:33:8:37415,61.01,-47.48,164.5,-0.68,0.44,0.22,0.84,0.99
6:9:33:8:37511,68.73,-53.59,157.66,-0.79,0.58,0.35,1.04,0.9
6:9:33:9:37923,66.56,-60.65,171.28,-0.81,0.35,0.16,0.9,0.99
6:9:33:9:38010,66.09,-58.56,171.92,-0.97,0.52,0.26,1.13,0.97
6:9:33:9:38108,60.55,-64.12,179.41,-0.93,0.43,0.09,1.03,1.1
6:9:33:9:38201,57.48,-66.17,178.6,-0.88,0.27,0.17,0.93,1.0
6:9:33:9:38296,55.36,-67.18,-179.04,-0.88,0.28,0.13,0.93,0.93
6:9:33:9:38409,59.05,-67.07,176.46,-0.95,0.4,0.14,1.04,0.97
6:9:33:9:38505,64.44,-66.31,171.55,-0.91,0.3,0.17,0.97,1.02
6:9:33:10:39000,46.98,-64.13,-166.23,-1.02,0.34,0.34,1.13,1.02
6:9:33:10:39096,40.99,-60.58,-159.82,-0.91,0.32,0.32,1.01,1.09
6:9:33:10:39206,37.5,-57.91,-156.04,-0.87,0.34,0.47,1.04,1.02
6:9:33:10:39317,35.34,-57.11,-153.19,-0.76,0.33,0.53,0.98,1.02
6:9:33:10:39414,35.63,-57.63,-154.94,-0.7,0.25,0.6,0.95,0.97
6:9:33:10:39511,44.35,-60.59,-164.99,-0.92,0.32,0.4,1.05,0.99
6:9:33:11:39914,61.36,-64.28,173.36,-0.84,0.33,0.22,0.93,1.01
6:9:33:11:40009,60.5,-64.72,174.33,-0.86,0.35,0.25,0.97,0.94
6:9:33:11:40119,59.68,-65.05,175.42,-0.91,0.36,0.22,1.0,0.98
6:9:33:11:40216,60.58,-65.91,175.11,-0.96,0.37,0.21,1.05,1.02
6:9:33:11:40312,64.58,-65.03,171.55,-1.06,0.46,0.21,1.18,1.09
6:9:33:11:40408,68.16,-60.48,168.1,-0.98,0.47,0.22,1.11,1.15
6:9:33:11:40505,64.33,-60.82,172.12,-0.69,0.37,0.27,0.83,1.01
6:9:33:12:41005,95.18,-58.34,143.14,-1.02,0.55,-0.12,1.16,0.94
6:9:33:12:41103,94.77,-51.52,143.12,-0.76,0.64,-0.0,0.99,1.11
6:9:33:12:41199,96.76,-49.52,141.0,-0.65,0.75,-0.01,0.99,0.99
6:9:33:12:41327,99.44,-50.42,138.92,-0.82,0.64,-0.08,1.05,1.01
6:9:33:12:41407,108.61,-57.99,134.23,-0.89,0.53,-0.15,1.05,1.05
6:9:33:13:41517,127.17,-64.88,120.78,-0.98,0.36,-0.21,1.07,1.05
6:9:33:13:41928,135.33,-67.65,112.77,-0.86,0.24,-0.35,0.95,1.03
6:9:33:13:42005,116.82,-64.47,127.73,-0.94,0.44,-0.32,1.09,1.0
6:9:33:13:42104,109.93,-62.69,133.1,-0.65,0.38,-0.07,0.76,0.98
6:9:33:13:42214,107.99,-58.14,138.3,-1.0,0.7,-0.18,1.23,0.92
6:9:33:13:42295,110.9,-64.67,138.46,-1.02,0.33,-0.24,1.1,1.19
6:9:33:13:42391,105.46,-65.56,139.92,-0.96,0.48,-0.05,1.08,1.09
6:9:33:14:42518,99.22,-61.46,142.92,-0.84,0.54,0.03,1.0,1.05
6:9:33:14:43002,130.27,-60.05,117.42,-0.9,0.3,-0.31,1.0,1.0
6:9:33:14:43112,132.08,-59.19,114.91,-0.88,0.42,-0.36,1.04,1.01
6:9:33:14:43209,135.84,-58.66,112.91,-0.93,0.4,-0.33,1.07,1.05
6:9:33:14:43305,137.7,-59.43,112.0,-0.85,0.34,-0.38,0.99,1.04
6:9:33:14:43402,134.01,-59.71,114.65,-0.96,0.35,-0.34,1.07,1.02
6:9:33:14:43497,122.58,-59.44,123.03,-0.98,0.56,-0.34,1.18,1.11
6:9:33:15:43920,127.31,-58.44,120.53,-0.92,0.43,-0.31,1.06,1.14
6:9:33:15:44001,125.88,-58.38,121.03,-0.91,0.46,-0.21,1.04,1.06
6:9:33:15:44112,125.18,-58.35,120.97,-0.91,0.41,-0.34,1.06,1.05
6:9:33:15:44208,122.56,-58.64,121.88,-0.9,0.49,-0.26,1.06,1.06
6:9:33:15:44304,122.81,-58.48,121.57,-0.86,0.43,-0.28,1.0,1.04
6:9:33:15:44414,122.74,-58.57,121.57,-0.87,0.45,-0.27,1.02,1.01
6:9:33:15:44511,122.78,-58.7,121.64,-0.88,0.44,-0.27,1.02,1.02
6:9:33:16:45003,122.46,-59.0,121.76,-0.89,0.44,-0.3,1.04,1.03
6:9:33:16:45116,122.38,-58.94,121.69,-0.88,0.44,-0.27,1.02,1.03
6:9:33:16:45195,122.5,-58.93,121.46,-0.87,0.44,-0.26,1.01,1.01
6:9:33:16:45322,122.44,-58.88,121.37,-0.88,0.44,-0.28,1.02,1.01
6:9:33:16:45418,122.55,-58.93,121.13,-0.89,0.44,-0.29,1.03,1.02
6:9:33:17:45516,122.41,-58.9,121.05,-0.88,0.45,-0.27,1.02,1.03
6:9:33:17:45931,121.8,-58.82,120.88,-0.89,0.45,-0.28,1.04,1.03
6:9:33:17:45996,121.82,-58.81,120.87,-0.87,0.43,-0.28,1.01,1.03
6:9:33:17:46106,121.86,-58.74,120.74,-0.89,0.45,-0.29,1.04,1.02
6:9:33:17:46220,121.85,-58.64,120.63,-0.89,0.47,-0.27,1.04,1.04
6:9:33:17:46300,121.84,-58.48,120.68,-0.87,0.46,-0.28,1.03,1.04
6:9:33:17:46413,121.97,-58.4,120.76,-0.87,0.45,-0.28,1.02,1.02
6:9:33:17:46508,122.53,-58.43,120.66,-0.87,0.46,-0.29,1.03,1.02
6:9:33:18:47028,122.3,-58.7,120.97,-0.85,0.44,-0.27,1.0,1.02
6:9:33:18:47107,121.68,-58.84,121.24,-0.89,0.47,-0.27,1.04,1.01
6:9:33:18:47203,121.35,-58.57,121.53,-0.96,0.47,-0.31,1.11,1.07
6:9:33:18:47300,123.5,-58.09,119.73,-0.84,0.44,-0.26,0.98,1.07
6:9:33:18:47397,124.19,-57.57,119.82,-0.86,0.48,-0.28,1.03,1.0
6:9:33:18:47491,125.43,-57.41,119.57,-0.86,0.42,-0.36,1.03,1.03
6:9:33:19:47914,129.93,-57.94,116.67,-0.85,0.39,-0.4,1.02,1.03
6:9:33:19:47993,129.88,-57.83,116.45,-0.88,0.41,-0.34,1.02,1.02
6:9:33:19:48092,130.01,-57.84,115.75,-0.88,0.43,-0.33,1.03,1.03
6:9:33:19:48201,130.33,-58.06,114.82,-0.86,0.4,-0.39,1.03,1.03
6:9:33:19:48315,130.94,-58.34,113.98,-0.86,0.4,-0.34,1.0,1.02
6:9:33:19:48410,131.26,-58.4,113.58,-0.88,0.41,-0.38,1.04,1.02
6:9:33:19:48490,131.57,-58.56,113.35,-0.88,0.37,-0.34,1.02,1.03
6:9:33:20:49002,129.17,-57.62,116.81,-0.83,0.43,-0.31,0.98,1.01
6:9:33:20:49099,128.2,-57.58,118.1,-0.91,0.45,-0.44,1.11,1.02
6:9:33:20:49195,128.7,-57.73,118.76,-0.81,0.42,-0.24,0.95,1.05
6:9:33:20:49291,126.88,-57.86,120.69,-0.91,0.46,-0.4,1.1,1.0
6:9:33:20:49418,125.05,-58.14,123.22,-0.86,0.44,-0.4,1.05,1.08
6:9:33:21:49514,123.62,-58.67,125.8,-0.86,0.39,-0.24,0.98,1.02
6:9:33:21:49909,122.73,-59.1,127.49,-0.9,0.35,-0.29,1.01,0.99
6:9:33:21:49989,123.26,-58.14,126.8,-0.85,0.49,-0.33,1.03,1.02
6:9:33:21:50115,124.56,-58.2,125.91,-0.86,0.43,-0.28,1.0,1.02
6:9:33:21:50212,124.69,-57.69,125.27,-0.88,0.46,-0.35,1.05,1.02
6:9:33:21:50308,124.16,-57.4,125.36,-0.86,0.47,-0.25,1.02,1.04
6:9:33:21:50405,123.96,-57.77,125.89,-0.89,0.47,-0.3,1.05,1.03
6:9:33:21:50500,123.81,-57.46,125.91,-0.85,0.43,-0.25,0.99,1.03
6:9:33:22:50925,115.2,-52.15,128.75,-0.82,0.54,-0.3,1.03,1.0
6:9:33:22:51011,114.96,-51.03,128.27,-0.81,0.54,-0.27,1.01,1.02
6:9:33:22:51107,116.21,-50.34,126.78,-0.78,0.6,-0.3,1.03,1.02
6:9:33:22:51219,117.5,-50.37,126.1,-0.78,0.56,-0.24,0.99,1.02
6:9:33:22:51299,115.64,-50.81,128.34,-0.86,0.66,-0.28,1.12,1.03
6:9:33:22:51409,113.44,-50.51,130.93,-0.83,0.61,-0.29,1.07,1.11
6:9:33:23:51524,113.23,-49.94,130.77,-0.8,0.58,-0.24,1.01,1.05
6:9:33:23:51917,113.71,-47.13,126.98,-0.63,0.5,-0.37,0.88,0.97
6:9:33:23:52013,114.93,-45.93,124.23,-0.76,0.62,-0.36,1.04,0.94
6:9:33:23:52109,116.71,-45.25,122.67,-0.73,0.62,-0.24,0.99,1.02
6:9:33:23:52219,119.66,-44.63,120.8,-0.74,0.68,-0.38,1.07,1.01
6:9:33:23:52317,122.2,-43.48,119.63,-0.72,0.75,-0.32,1.09,1.08
6:9:33:23:52413,122.62,-41.31,120.05,-0.64,0.6,-0.5,1.02,1.06
6:9:33:23:52509,121.15,-41.03,120.7,-0.64,0.64,-0.4,0.99,1.01
6:9:33:24:52908,116.5,-42.36,122.1,-0.69,0.76,-0.34,1.08,1.02
6:9:33:24:53035,114.61,-42.53,122.81,-0.7,0.69,-0.28,1.02,1.06
6:9:33:24:53115,112.54,-42.95,124.06,-0.65,0.64,-0.3,0.96,1.0
6:9:33:24:53210,110.86,-43.65,124.44,-0.69,0.66,-0.29,0.99,0.97
6:9:33:24:53307,108.45,-43.65,124.26,-0.6,0.69,-0.17,0.93,0.97
6:9:33:24:53403,103.64,-45.16,125.0,-0.67,0.54,-0.25,0.9,0.92
6:9:33:24:53501,96.42,-46.79,125.0,-0.67,0.78,-0.09,1.03,0.94
6:9:33:25:53917,80.42,-55.81,115.62,-0.8,0.53,0.05,0.96,1.01
6:9:33:25:53995,77.45,-55.42,114.32,-0.86,0.62,0.14,1.07,1.0
6:9:33:25:54092,73.47,-53.16,114.23,-0.78,0.7,0.18,1.06,1.07
6:9:33:25:54202,69.29,-50.9,115.03,-0.78,0.67,0.25,1.06,1.06
6:9:33:25:54300,67.64,-48.17,114.29,-0.66,0.66,0.25,0.97,1.03
6:9:33:25:54395,66.03,-46.24,114.7,-0.66,0.68,0.27,0.99,0.98
6:9:33:25:54492,64.31,-43.04,115.26,-0.59,0.7,0.35,0.98,0.98
6:9:33:26:54915,57.06,-31.33,120.37,-0.52,0.76,0.45,1.02,0.99
6:9:33:26:55015,57.51,-28.5,119.63,-0.49,0.77,0.47,1.03,1.02
6:9:33:26:55109,58.76,-25.06,118.21,-0.41,0.76,0.49,1.0,1.02
6:9:33:26:55205,59.61,-21.69,117.14,-0.35,0.79,0.48,0.99,0.99
6:9:33:26:55300,59.92,-19.49,116.55,-0.31,0.8,0.47,0.98,0.98
6:9:33:26:55396,59.93,-19.26,117.3,-0.32,0.76,0.5,0.96,0.97
6:9:33:26:55507,59.45,-20.12,118.67,-0.4,0.85,0.47,1.05,0.99
6:9:33:27:55920,59.44,-5.96,118.74,-0.18,0.81,0.52,0.98,1.03
6:9:33:27:56000,57.45,-4.56,118.45,-0.09,0.75,0.55,0.94,0.97
6:9:33:27:56113,55.2,-5.29,121.05,-0.17,0.81,0.59,1.02,0.96
6:9:33:27:56193,54.0,-5.37,122.9,-0.13,0.78,0.62,1.01,1.01
6:9:33:27:56288,53.4,-5.54,123.8,-0.14,0.78,0.61,1.0,1.0
6:9:33:27:56401,52.89,-6.17,124.33,-0.13,0.76,0.6,0.98,0.99
6:9:33:28:56516,52.56,-6.71,124.92,-0.14,0.76,0.62,0.99,0.98
6:9:33:28:56902,51.66,-7.9,126.33,-0.16,0.76,0.64,1.01,1.0
6:9:33:28:56999,51.51,-7.94,126.62,-0.15,0.76,0.63,1.0,1.0
6:9:33:28:57110,51.4,-7.96,126.96,-0.16,0.76,0.64,1.0,1.0
6:9:33:28:57191,51.4,-8.0,127.23,-0.16,0.76,0.62,1.0,1.0
6:9:33:28:57319,51.39,-7.9,127.47,-0.15,0.76,0.64,1.0,1.0
6:9:33:28:57399,50.86,-7.1,127.25,-0.15,0.75,0.62,0.99,1.0
6:9:33:28:57510,49.17,-4.03,125.94,-0.09,0.74,0.66,1.0,0.99
6:9:33:29:57915,42.05,8.92,109.58,0.15,0.61,0.74,0.97,0.99
6:9:33:29:58011,41.87,10.34,106.35,0.24,0.53,0.73,0.94,0.96
6:9:33:29:58107,41.87,10.49,103.79,0.28,0.54,0.74,0.96,0.94
6:9:33:29:58202,41.73,10.81,101.36,0.32,0.5,0.78,0.98,0.97
6:9:33:29:58313,42.63,9.27,99.44,0.29,0.46,0.77,0.95,0.97
6:9:33:29:58410,43.92,7.58,98.32,0.3,0.44,0.8,0.96,0.95
6:9:33:29:58505,43.92,6.61,97.61,0.26,0.46,0.83,0.98,0.97
6:9:33:30:58907,46.4,7.57,94.03,0.29,0.44,0.81,0.97,0.98
6:9:33:30:59002,46.74,7.33,93.47,0.28,0.44,0.82,0.97,0.97
6:9:33:30:59099,47.01,7.1,93.19,0.29,0.46,0.82,0.98,0.98
6:9:33:30:59210,47.38,6.87,92.73,0.3,0.48,0.81,0.99,0.98
6:9:33:30:59321,47.45,6.64,92.15,0.27,0.47,0.82,0.98,0.99
6:9:33:30:59386,47.92,6.74,91.56,0.27,0.48,0.79,0.96,0.98
6:9:33:30:59499,48.17,6.68,90.98,0.28,0.5,0.81,0.99,0.97
6:9:33:31:59924,47.54,6.26,88.81,0.27,0.51,0.79,0.98,0.99
6:9:33:31:60002,47.57,5.99,88.48,0.26,0.52,0.8,0.99,0.98
6:9:33:31:60116,47.68,5.8,87.98,0.24,0.52,0.8,0.98,0.99
6:9:33:31:60212,47.79,5.93,87.46,0.26,0.5,0.79,0.97,0.98
6:9:33:31:60307,47.61,6.16,86.82,0.26,0.5,0.79,0.97,0.97
6:9:33:31:60405,47.43,6.01,86.24,0.26,0.51,0.81,0.99,0.98
6:9:33:32:60516,47.0,5.95,85.95,0.24,0.52,0.81,0.99,0.99
6:9:33:32:60914,46.9,6.55,84.23,0.27,0.52,0.8,0.98,0.99
6:9:33:32:61003,46.57,6.22,83.78,0.25,0.51,0.79,0.97,0.98
6:9:33:32:61099,46.67,6.01,83.3,0.25,0.53,0.79,0.98,0.97
