sysTime,roll,pitch,yaw,ax,ay,az,sqrt,average
6:9:32:46:15419,69.02,-20.48,142.75,-0.34,0.87,0.34,0.99,0.33
6:9:32:46:15428,67.26,-18.66,144.18,-0.31,0.89,0.37,1.02,1.0
6:9:32:46:15494,66.74,-18.42,145.25,-0.3,0.85,0.38,0.98,1.0
6:9:32:47:15591,68.26,-22.11,144.75,-0.27,0.8,0.43,0.95,0.97
6:9:32:47:15701,74.25,-32.9,138.96,-0.67,0.89,0.22,1.13,1.01
6:9:32:47:15797,79.53,-40.3,133.91,-0.68,0.76,0.0,1.03,1.1
6:9:32:47:16005,78.09,-48.98,136.35,-0.76,0.59,0.16,0.97,1.01
6:9:32:47:16100,77.78,-48.42,138.32,-0.84,0.61,0.21,1.06,1.0
6:9:32:47:16212,78.58,-45.53,139.92,-0.72,0.72,0.15,1.02,1.05
6:9:32:47:16325,79.6,-43.65,140.94,-0.64,0.74,0.09,0.98,1.01
6:9:32:47:16404,82.88,-43.47,139.61,-0.76,0.71,0.06,1.04,1.0
6:9:32:48:16515,84.17,-42.76,139.59,-0.67,0.77,0.08,1.02,1.03
6:9:32:48:16612,86.53,-42.44,138.14,-0.68,0.79,0.01,1.04,1.03
6:9:32:48:16905,89.42,-47.69,135.01,-0.74,0.66,-0.04,1.0,1.03
6:9:32:48:17016,92.02,-47.83,133.01,-0.78,0.68,-0.01,1.04,1.01
6:9:32:48:17115,91.06,-47.33,135.1,-0.73,0.72,-0.01,1.03,1.03
6:9:32:48:17209,89.53,-47.23,137.98,-0.71,0.66,-0.03,0.97,1.01
6:9:32:48:17306,90.55,-45.69,138.85,-0.7,0.71,0.01,1.0,0.98
6:9:32:48:17403,92.31,-45.12,138.83,-0.74,0.74,-0.04,1.04,1.01
6:9:32:48:17499,92.63,-44.38,139.52,-0.68,0.7,-0.02,0.98,1.02
6:9:32:49:17919,93.76,-30.9,141.87,-0.59,0.81,-0.09,1.0,0.99
6:9:32:49:18065,93.07,-22.4,143.08,-0.35,0.96,-0.1,1.03,1.01
6:9:32:49:18114,91.0,-19.03,143.44,-0.29,0.91,-0.12,0.96,1.01
6:9:32:49:18208,88.12,-20.94,143.82,-0.37,0.81,0.13,0.9,0.94
6:9:32:49:18318,87.71,-22.58,142.87,-0.41,0.94,0.11,1.03,0.94
6:9:32:49:18399,87.01,-21.82,142.96,-0.36,0.99,0.14,1.06,1.04
6:9:32:49:18511,85.35,-21.92,145.93,-0.22,0.89,0.15,0.93,1.01
6:9:32:50:19008,87.88,-23.03,137.36,-0.42,0.82,0.08,0.92,0.93
6:9:32:50:19105,89.55,-24.74,137.45,-0.46,0.86,-0.01,0.98,0.94
6:9:32:50:19200,89.2,-26.76,138.47,-0.48,0.89,0.02,1.01,0.99
6:9:32:50:19296,88.27,-27.39,139.13,-0.42,0.9,0.05,1.0,1.01
6:9:32:50:19393,87.71,-27.49,139.53,-0.46,0.91,0.06,1.02,1.0
6:9:32:50:19503,86.17,-27.75,139.78,-0.44,0.91,0.07,1.02,1.02
