sysTime,roll,pitch,yaw,ax,ay,az,sqrt,average
6:8:55:26:11981,94.04,-25.94,111.05,-0.46,0.91,-0.05,1.02,1.02
6:8:55:26:12091,93.84,-25.73,110.77,-0.43,0.91,-0.05,1.01,1.02
6:8:55:26:12188,93.72,-25.83,110.66,-0.46,0.92,-0.07,1.03,1.02
6:8:55:26:12300,93.54,-25.51,110.35,-0.46,0.92,-0.04,1.03,1.02
6:8:55:26:12395,93.75,-25.58,110.23,-0.45,0.92,-0.06,1.02,1.03
6:8:55:26:12493,93.79,-25.4,110.17,-0.44,0.92,-0.06,1.02,1.02
6:8:55:26:12588,94.12,-25.47,110.13,-0.44,0.91,-0.07,1.01,1.02
6:8:55:27:12996,93.78,-25.44,110.83,-0.44,0.92,-0.07,1.03,1.02
6:8:55:27:13091,93.74,-25.2,110.5,-0.42,0.94,-0.07,1.03,1.02
6:8:55:27:13187,93.91,-25.34,110.83,-0.43,0.93,-0.06,1.02,1.03
6:8:55:27:13299,94.14,-25.65,110.93,-0.45,0.9,-0.07,1.01,1.02
6:8:55:27:13395,93.83,-25.54,110.89,-0.43,0.9,-0.06,1.0,1.01
6:8:55:27:13491,93.98,-25.55,111.1,-0.45,0.89,-0.06,1.0,1.0
6:8:55:27:13602,93.92,-25.57,111.14,-0.44,0.92,-0.06,1.02,1.01
6:8:55:28:13965,93.48,-25.26,111.01,-0.42,0.92,-0.04,1.01,1.01
6:8:55:28:14093,93.73,-25.35,110.92,-0.44,0.92,-0.07,1.02,1.02
6:8:55:28:14204,93.9,-25.45,110.87,-0.45,0.93,-0.07,1.03,1.02
6:8:55:28:14284,93.98,-25.34,110.94,-0.45,0.91,-0.05,1.02,1.02
6:8:55:28:14396,94.05,-25.34,110.76,-0.45,0.92,-0.06,1.03,1.02
6:8:55:28:14492,94.28,-25.35,110.73,-0.45,0.92,-0.05,1.03,1.02
6:8:55:28:14588,94.52,-25.37,110.63,-0.44,0.93,-0.08,1.03,1.03
6:8:55:29:14985,94.02,-25.48,110.32,-0.44,0.92,-0.07,1.02,1.03
6:8:55:29:15081,93.57,-25.22,110.31,-0.44,0.92,-0.06,1.02,1.03
6:8:55:29:15194,93.4,-25.11,110.28,-0.43,0.92,-0.05,1.01,1.02
6:8:55:29:15289,93.14,-24.98,110.26,-0.42,0.9,-0.04,1.0,1.01
6:8:55:29:15385,93.16,-25.09,110.27,-0.43,0.91,-0.04,1.01,1.01
6:8:55:29:15497,93.47,-25.11,110.15,-0.43,0.93,-0.06,1.02,1.01
6:8:55:29:15593,93.49,-24.95,109.99,-0.42,0.9,-0.04,0.99,1.01
6:8:55:30:15975,93.44,-24.67,109.53,-0.43,0.92,-0.07,1.02,1.01
6:8:55:30:16086,93.38,-24.64,109.58,-0.42,0.92,-0.05,1.02,1.01
6:8:55:30:16198,93.45,-24.58,109.66,-0.43,0.93,-0.05,1.02,1.02
6:8:55:30:16294,94.12,-25.4,109.84,-0.48,0.93,-0.08,1.05,1.03
6:8:55:30:16391,93.91,-25.26,110.09,-0.4,0.91,-0.04,0.99,1.02
6:8:55:30:16485,93.77,-25.28,110.29,-0.44,0.92,-0.07,1.02,1.02
6:8:55:30:16598,93.73,-25.12,110.2,-0.42,0.9,-0.06,0.99,1.0
6:8:55:31:16981,95.01,-25.39,108.76,-0.42,0.9,-0.07,1.0,1.0
6:8:55:31:17093,94.57,-25.59,109.27,-0.44,0.92,-0.08,1.02,1.0
6:8:55:31:17189,93.83,-25.55,109.62,-0.44,0.93,-0.07,1.03,1.01
6:8:55:31:17284,93.18,-25.59,109.78,-0.44,0.93,-0.05,1.03,1.02
6:8:55:31:17397,92.49,-25.2,109.68,-0.42,0.93,-0.03,1.01,1.02
6:8:55:31:17493,93.16,-25.74,109.59,-0.43,0.91,-0.05,1.01,1.02
6:8:55:31:17605,94.15,-26.08,109.42,-0.44,0.88,-0.08,0.99,1.01
6:8:55:32:17979,101.71,-29.45,104.65,-0.52,0.85,-0.15,1.0,1.0
6:8:55:32:18091,102.41,-30.14,103.22,-0.49,0.88,-0.16,1.02,1.0
6:8:55:32:18202,102.46,-30.25,102.41,-0.56,0.9,-0.18,1.07,1.03
6:8:55:32:18282,100.96,-29.57,102.72,-0.52,0.89,-0.11,1.03,1.04
6:8:55:32:18394,99.91,-29.55,103.05,-0.51,0.9,-0.15,1.04,1.05
6:8:55:32:18490,98.77,-28.68,103.89,-0.47,0.91,-0.09,1.03,1.04
6:8:55:32:18586,99.26,-28.81,104.94,-0.45,0.89,-0.2,1.02,1.03
6:8:55:33:18985,89.88,-24.93,112.55,-0.4,0.89,0.07,0.98,1.01
6:8:55:33:19082,89.26,-25.91,113.97,-0.45,0.92,-0.03,1.02,1.01
6:8:55:33:19193,88.31,-26.38,115.22,-0.45,0.9,0.04,1.0,1.0
