sysTime,serialLOG
6:9:32:38:7348,"
"
6:9:32:38:7349,"OK
"
6:9:32:39:8307,"
"
6:9:32:39:8307,"OK
"
6:9:32:46:14736,"
"
6:9:32:46:14753,"CONNECT 0001953D04A9
"
6:9:32:46:15349,"Freefall detected
"
6:9:32:46:15350,"Freefall detected
"
6:9:32:46:15351,"Freefall detected
"
6:9:32:46:15353,"Freefall detected
"
6:9:32:46:15354,"Freefall detected
"
6:9:32:46:15356,"Freefall detected
"
6:9:32:46:15357,"Freefall detected
"
6:9:32:46:15358,"Freefall detected
"
6:9:32:46:15360,"Freefall detected
"
6:9:32:46:15364,"Freefall detected
"
6:9:32:46:15365,"Freefall detected
"
6:9:32:46:15368,"Freefall detected
"
6:9:32:46:15369,"Freefall detected
"
6:9:32:46:15370,"Freefall detected
"
6:9:32:46:15372,"Freefall detected
"
6:9:32:46:15373,"Freefall detected
"
6:9:32:46:15375,"Freefall detected
"
6:9:32:46:15377,"Freefall detected
"
6:9:32:46:15378,"Freefall detected
"
6:9:32:46:15379,"Freefall detected
"
6:9:32:46:15380,"Freefall detected
"
6:9:32:46:15380,"Freefall detected
"
6:9:32:46:15381,"Freefall detected
"
6:9:32:46:15382,"Freefall detected
"
6:9:32:46:15383,"Freefall detected
"
6:9:32:46:15384,"Freefall detected
"
6:9:32:46:15385,"Freefall detected
"
6:9:32:46:15385,"Freefall detected
"
6:9:32:46:15386,"Freefall detected
"
6:9:32:46:15386,"Freefall detected
"
6:9:32:46:15387,"Freefall detected
"
6:9:32:46:15388,"Freefall detected
"
6:9:32:46:15388,"Freefall detected
"
6:9:32:46:15389,"Freefall detected
"
6:9:32:46:15390,"Freefall detected
"
6:9:32:46:15391,"Freefall detected
"
6:9:32:46:15392,"Freefall detected
"
6:9:32:46:15393,"Freefall detected
"
6:9:32:46:15394,"Freefall detected
"
6:9:32:46:15395,"Freefall detected
"
6:9:32:46:15396,"Freefall detected
"
6:9:32:46:15397,"Freefall detected
"
6:9:32:46:15398,"Freefall detected
"
6:9:32:46:15399,"Freefall detected
"
6:9:32:46:15400,"Freefall detected
"
6:9:32:46:15401,"Freefall detected
"
6:9:32:46:15401,"Freefall detected
"
6:9:32:46:15402,"Freefall detected
"
6:9:32:46:15403,"Freefall detected
"
6:9:32:46:15403,"Freefall detected
"
6:9:32:46:15404,"Freefall detected
"
6:9:32:46:15405,"Freefall detected
"
6:9:32:46:15406,"Freefall detected
"
6:9:32:46:15406,"Freefall detected
"
6:9:32:46:15407,"Freefall detected
"
6:9:32:46:15409,"Freefall detected
"
6:9:32:46:15411,"Freefall detected
"
6:9:32:46:15412,"Freefall detected
"
6:9:32:46:15413,"Freefall detected
"
6:9:32:46:15414,"Freefall detected
"
6:9:32:46:15415,"Freefall detected
"
6:9:32:46:15416,"Freefall detected
"
6:9:32:46:15417,"Freefall detected
"
6:9:32:46:15417,"Freefall detected
"
6:9:32:46:15418,"Freefall detected
"
