sysTime,roll,pitch,yaw,ax,ay,az
4:7:52:52:40253,78.76,52.81,-125.87,0.6,0.04,0.04
4:7:52:53:40349,75.99,58.87,-136.92,0.11,-0.76,0.13
4:7:52:53:40478,66.34,57.71,-128.43,1.87,-0.34,0.97
4:7:52:53:40926,77.63,46.38,-117.2,0.93,0.18,-0.03
4:7:52:53:41053,86.58,51.89,-120.29,0.03,-0.65,0.27
4:7:52:53:41150,77.14,64.63,-110.46,1.31,-0.94,0.37
4:7:52:53:41246,62.22,50.93,-113.85,1.61,0.04,0.6
4:7:52:54:41358,44.64,47.43,-131.67,0.47,0.05,0.26
4:7:52:54:41438,56.2,45.98,-117.43,0.22,0.09,0.44
4:7:52:54:42091,65.18,52.27,-103.95,1.57,-0.06,0.5
4:7:52:54:42107,44.87,46.09,-119.32,0.75,0.09,0.31
4:7:52:54:42155,42.46,48.99,-115.85,0.16,0.15,0.32
4:7:52:54:42236,64.13,53.08,-94.99,1.38,-0.22,0.21
4:7:52:55:42364,75.17,40.33,-88.72,1.51,0.84,-0.07
4:7:52:55:42427,71.54,50.69,-106.97,0.22,-0.32,0.04
4:7:52:55:42949,61.65,58.65,-100.56,0.78,-0.14,-0.01
4:7:52:55:43061,74.68,50.62,-90.31,1.78,0.21,0.2
4:7:52:55:43124,62.95,56.52,-119.1,0.45,-0.26,-0.01
4:7:52:55:43236,80.69,60.75,-105.16,-0.11,-0.96,0.12
4:7:52:56:43365,62.24,59.25,-106.47,2.05,-0.3,0.82
4:7:52:56:43429,45.18,54.18,-115,0.9,0.01,0.01
4:7:52:56:43932,54.17,42.31,-133.52,0.23,-0.64,0.09
4:7:52:56:44043,53.71,44.96,-122.95,1.37,-0.4,1.1
4:7:52:56:44187,61.87,39.59,-95.38,1.47,0.33,0.49
4:7:52:56:44300,38.32,38.7,-112.49,0.75,0.18,0.36
4:7:52:57:44396,46.83,41.89,-101.17,0.04,0.19,0.41
4:7:52:57:44459,69.45,49.49,-86.33,1.31,-0.2,-0.01
4:7:52:57:45000,49.23,54,-99.85,0.98,0.01,0.08
4:7:52:57:45032,34.87,48.99,-110.38,0.29,0.08,0.43
4:7:52:57:45161,43.12,55.5,-98.66,0.66,0.24,0.26
4:7:52:57:45240,63.63,49.83,-82.3,1.99,0.37,0.26
4:7:52:58:45496,49.14,49.49,-110.55,0.68,0.05,0.07
4:7:52:58:45512,53.19,53.78,-117.71,0.13,-0.64,0.18
4:7:52:58:45937,76.29,56.26,-82.22,1.41,-0.24,-0.12
4:7:52:58:46049,71.86,50.85,-103.65,1.89,0.52,0.42
4:7:52:58:46161,66.66,59.89,-119.75,0.38,-0.38,0.09
4:7:52:58:46225,88.68,61.5,-95.55,-0.03,-0.34,0.1
4:7:52:59:46354,88.65,61.15,-83.85,1.99,-0.59,0.53
4:7:52:59:46449,60.11,56.16,-101.25,1.21,0.4,-0.03
4:7:52:59:46948,33.49,54.8,-149.31,0.59,-0.31,0.12
4:7:52:59:47043,41.46,57.6,-144.44,0.74,-0.61,0.48
4:7:52:59:47139,47.59,56.24,-129.17,1.02,-0.44,1.06
4:7:52:59:47268,39.49,49.34,-127.35,0.63,0.07,0.38
4:7:53:0:47348,30.57,42.75,-124.3,0.67,0.08,0.27
4:7:53:0:47427,30.31,38.38,-116.03,0.79,-0.31,0.48
