sysTime,roll,pitch,yaw,ax,ay,az,root,ave
4:10:5:5:199314,0.95,3.85,-145.08,0.13,0.08,0.98,0.991816515,1.01218894
4:10:5:5:199410,0.83,3.81,-145.11,0.04,-0.27,0.93,0.969226496,0.997790159
4:10:5:5:199490,0.87,3.49,-145.09,-0.02,-0.02,0.88,0.880454428,0.947165813
4:10:5:5:199618,0.95,3.29,-145.04,0.12,0.12,0.98,0.994585341,0.948088755
4:10:5:5:199697,1.21,3.27,-145.06,0.24,-0.12,1.01,1.045035885,0.973358551
4:10:5:5:199794,1.32,3.23,-145.14,-0.04,0.09,0.98,0.984936546,1.008185924
4:10:5:6:199906,1.27,3.25,-145.2,0.12,-0.02,0.89,0.898276127,0.976082853
4:10:5:6:200303,0.44,3.89,-145.27,0,-0.09,0.96,0.964209521,0.949140731
4:10:5:6:200447,0.37,3.83,-145.27,-0.01,0.05,1,1.001299156,0.954594935
4:10:5:6:200526,0.35,3.77,-145.28,0.34,-0.15,0.88,0.955248659,0.973585779
4:10:5:6:200590,0.27,3.82,-145.33,0.25,0.09,0.98,1.015381702,0.990643172
4:10:5:6:200703,0.22,3.73,-145.4,-0.13,0.05,0.97,0.979948978,0.983526446
4:10:5:6:200799,0.19,3.78,-145.44,0.24,-0.04,0.88,0.913016977,0.969449219
4:10:5:7:200895,0.18,3.61,-145.39,0.19,-0.16,0.98,1.010989614,0.96798519
4:10:5:7:201312,-0.16,2.78,-145.21,-0.13,0.01,1.02,1.028299567,0.984102053
4:10:5:7:201392,0.22,2.94,-145.17,-0.14,0.02,0.99,1.000049999,1.01311306
4:10:5:7:201521,0.52,3.28,-145.26,0.02,0.18,0.97,0.986762383,1.005037316
4:10:5:7:201617,0.71,3.71,-145.34,0.02,0.04,1.03,1.030970417,1.005927599
4:10:5:7:201696,0.9,3.59,-145.39,-0.12,-0.2,1,1.026839812,1.014857537
4:10:5:7:201840,0.77,3.43,-145.47,-0.11,0.14,0.98,0.996042168,1.017950799
4:10:5:8:201920,0.62,3.47,-145.55,0.1,-0.02,1.03,1.035036231,1.01930607
4:10:5:8:202312,-0.06,2.36,-145.59,0.12,0.19,1.02,1.044461584,1.025179994
4:10:5:8:202408,-0.4,2.49,-145.61,-0.13,0.1,1.09,1.102270384,1.0605894
