sysTime,roll,pitch,yaw,ax,ay,az,root,ave
4:10:5:38:232111,4.61,3.67,-145.13,-0.01,-0.02,0.96,0.960260381,0.911367288
4:10:5:38:232174,4.57,3.6,-145.17,0.06,0.17,0.84,0.859127464,0.911057063
4:10:5:38:232428,4.29,3.45,-145.25,0.07,0.17,0.95,0.967625961,0.929004602
4:10:5:38:232501,4.09,3.48,-145.38,-0.08,0.02,0.98,0.983463268,0.936738898
4:10:5:38:232502,3.9,3.4,-145.52,0.1,-0.08,0.86,0.869482605,0.940190611
4:10:5:38:232614,3.68,3.42,-145.68,-0.11,0.09,0.96,0.970463807,0.94113656
4:10:5:39:233109,3.59,3.23,-145.77,0.29,-0.02,1.06,1.099136024,0.979694145
4:10:5:39:233109,3.57,3.34,-145.9,-0.07,0.11,0.9,0.909395404,0.992998412
4:10:5:39:233305,3.53,3.42,-146.31,-0.16,0.21,0.93,0.966747123,0.991759517
4:10:5:39:233449,3.47,3.43,-146.38,-0.06,0.18,0.98,0.998198377,0.958113635
4:10:5:39:233561,3.38,3.4,-146.3,0.08,-0.16,0.98,0.996192752,0.987046084
4:10:5:39:233673,2.38,8.42,-142.55,-0.51,0.37,1.68,1.794268653,1.262886594
4:10:5:39:233754,-6.96,4.49,-124.42,-0.12,-0.01,0.07,0.139283883,0.976581763
4:10:5:39:233817,-31.12,35.47,-126.52,0.78,-0.34,-0.01,0.850940656,0.928164397
4:10:5:40:234296,-34.97,23.77,94.81,-0.07,0.01,-0.1,0.122474487,0.370899675
4:10:5:40:234505,-32.14,26.39,71.72,-0.1,0.01,-0.05,0.112249722,0.361888288
4:10:5:40:234520,-35.53,28.87,42.6,-0.04,-0.02,-0.01,0.045825757,0.093516655
4:10:5:40:234616,-41.84,27.05,12.66,-0.04,0.01,0,0.041231056,0.066435512
4:10:5:41:234920,-49.08,18.19,-15.69,0.04,0.02,-0.04,0.06,0.049018938
4:10:5:41:234952,-50.05,1.77,-35.79,0.02,-0.08,0.05,0.096436508,0.065889188
4:10:5:42:235928,16.93,-30.31,-59.48,0,0.1,0.32,0.335261092,0.1638992
4:10:5:42:235929,18.64,-23.92,-71.14,0.27,0.06,0.59,0.651613382,0.361103661
4:10:5:42:235957,23.85,-37.12,-93.24,-0.06,-0.14,1.55,1.55746589,0.848113455
4:10:5:42:235957,39.15,-47.32,-113.09,-0.45,-0.27,2.04,2.106418762,1.438499345
4:10:5:42:235973,27.98,-46.52,-107.26,-0.09,-0.08,1.93,1.933752828,1.86587916
4:10:5:42:236069,42.73,-48.7,-113.74,0.06,0.61,2.36,2.438298587,2.159490059
4:10:5:42:236330,16.82,-1.38,-111.28,-0.26,-0.17,1.63,1.659337217,2.010462877
4:10:5:42:236425,13.67,4.8,-94.23,-0.17,-0.14,1.03,1.053280589,1.716972131
4:10:5:42:236662,11.37,-0.4,-68.58,-0.22,-0.07,0.85,0.880795095,1.197804301
4:10:5:42:236662,6,-3.43,-39.71,-0.16,-0.13,0.69,0.720138875,0.884738187
4:10:5:42:236726,-1.65,-14.35,-6.4,-0.29,-0.13,0.89,0.945039682,0.848657884
4:10:5:42:236807,-17.93,-18.08,30.72,-0.58,-0.28,1.3,1.450792887,1.038657148
4:10:5:43:237346,79.46,-11.67,169.96,-0.33,-0.22,1.17,1.235394674,1.210409081
4:10:5:43:237410,101,-39.48,167.28,-0.27,-0.11,0.78,0.832706431,1.172964664
4:10:5:43:237522,151.11,-67.13,129.11,-0.27,-0.16,0.47,0.565154846,0.877751984
4:10:5:43:237618,-117.22,-40.42,49.14,-0.33,-0.14,0.3,0.467439836,0.621767038
4:10:5:43:237697,-90.18,16.75,43.17,-0.28,0.23,0.71,0.797119815,0.609904832
4:10:5:43:237826,-82.38,56.13,40.9,0,0.34,0.36,0.495176736,0.586578796
4:10:5:44:238324,-10.95,-31.5,12.01,0,0.07,1.2,1.202039933,0.831445495
4:10:5:44:238420,-78.27,17.51,54.87,-0.84,-1.31,2.26,2.743956997,1.480391222
4:10:5:44:238532,-57.73,42.25,97.96,-0.7,-0.63,1.11,1.455678536,1.800558488
4:10:5:44:238628,15.41,51.62,149.58,-0.52,-0.27,0.71,0.920543318,1.706726284
4:10:5:44:238820,61.25,15.53,-161.36,-0.58,-0.06,0.88,1.055651458,1.14395777
4:10:5:45:238916,60.07,-10.73,-136.12,-0.28,0.06,0.78,0.830903123,0.9356993
4:10:5:45:239315,-55.9,5.44,85.65,-0.37,-0.46,1.12,1.266056871,1.050870484
4:10:5:45:239443,-48.98,-15.64,77.14,-0.48,-0.48,1.26,1.431223253,1.176061082
4:10:5:45:239522,-52.57,-13.2,86.3,-0.6,-0.46,1.24,1.452308507,1.38319621
4:10:5:46:240082,-47.75,-10.72,96.04,-0.45,-0.37,1.04,1.192057046,1.358529602
4:10:5:46:240519,-48.81,-9.33,113.79,-0.47,-0.34,1.01,1.164731729,1.269699094
4:10:5:46:240519,-52.81,5.37,133.48,-0.5,-0.24,1.07,1.205197079,1.187328618
4:10:5:46:240695,-70.24,27.82,137.19,-0.13,-0.16,0.7,0.729725976,1.033218261
4:10:5:46:240743,-63.08,35.22,141.23,-0.18,-0.16,0.74,0.778203058,0.904375371
4:10:5:46:240792,-46.83,42.51,152.93,-0.26,-0.19,0.79,0.85311195,0.787013662
4:10:5:47:241127,-26.12,41.43,174.3,-0.38,-0.21,0.98,1.071867529,0.901060846
4:10:5:47:241341,-17.21,34.72,-175.39,-0.44,-0.22,1.06,1.168588893,1.031189457
4:10:5:47:241581,-20.96,24.68,179.78,-0.55,-0.3,1.14,1.300807442,1.180421288
4:10:5:48:242022,-39.8,-1.59,149.95,-0.31,-0.21,0.98,1.049094848,1.172830394
4:10:5:48:242090,-39.09,14.81,170.92,-0.33,-0.16,1,1.0651291,1.138343797
4:10:5:48:242090,-30.6,26.9,-170.21,-0.31,-0.09,1.01,1.060330137,1.058184695
4:10:5:48:242091,-28.15,31.59,-162.42,-0.31,-0.09,0.96,1.012817851,1.046092363
4:10:5:48:242091,-36.22,32.43,-166.44,-0.22,-0.1,0.85,0.883685464,0.985611151
4:10:5:48:242091,-47.89,29.75,-176.62,-0.17,-0.17,0.86,0.892972564,0.929825293
4:10:5:48:242372,18.37,26.03,-88.61,-0.33,-0.07,1.12,1.169700816,0.982119615
4:10:5:48:242670,8.32,19.52,-101.47,-0.45,-0.12,1.13,1.222211111,1.094961497
4:10:5:48:242686,-12.63,16.92,-125.09,-0.55,-0.3,1.17,1.327177456,1.239696461
4:10:5:48:242766,-30.1,7.44,-154.82,-0.56,-0.39,1.22,1.397891269,1.315759945
4:10:5:49:242844,-36.21,-3.17,-179.8,-0.4,-0.43,1.18,1.318066766,1.34771183
4:10:5:49:242844,-34.05,-5.27,170.3,-0.28,-0.4,1.14,1.24016128,1.318706438
4:10:5:49:243771,-0.57,-7.68,-133.03,-0.32,-0.12,0.86,0.925418824,1.161215623
4:10:5:49:243811,-4.57,-2.2,-148.07,-0.31,-0.18,0.84,0.913290753,1.026290286
4:10:5:49:243811,-12.19,4.55,-161.29,-0.26,-0.23,0.82,0.890449325,0.909719634
4:10:5:49:243841,-18.54,8.08,-166.15,-0.26,-0.25,0.87,0.941806774,0.915182284
4:10:5:49:243841,-19.5,7.95,-160.57,-0.26,-0.25,0.89,0.960312449,0.930856183
4:10:5:49:243841,-15.64,8.36,-144.73,-0.28,-0.21,0.91,0.974987179,0.959035468
4:10:5:50:244301,-9.47,-3.55,-128.04,-0.25,-0.19,0.95,1.000549849,0.978616492
4:10:5:50:244445,-10.62,-7.28,-132.99,-0.26,-0.22,0.94,0.99979998,0.991779003
4:10:5:50:244493,-10.8,-11.44,-130.29,-0.28,-0.21,0.98,1.040624812,1.013658214
4:10:5:50:244620,-9.66,-16.11,-123.78,-0.3,-0.19,1,1.06117859,1.033867794
4:10:5:50:244749,-9.28,-19.81,-118.39,-0.31,-0.15,1,1.05763888,1.053147427
4:10:5:51:244925,-9.98,-22.89,-118.82,-0.31,-0.15,1,1.05763888,1.058818783
4:10:5:51:245389,-12.49,-21.98,-122.29,-0.31,-0.2,0.91,0.981936862,1.032404874
4:10:5:51:245422,-13.18,-21.34,-111.39,-0.3,-0.16,0.89,0.952732911,0.997436217
4:10:5:51:245637,-12.12,-22.14,-107.42,-0.31,-0.13,0.88,0.942019108,0.958896294
4:10:5:51:245638,-11.9,-20.58,-110.89,-0.3,-0.16,0.86,0.924770242,0.939840754
4:10:5:51:245718,-11.9,-19.66,-118.86,-0.31,-0.19,0.84,0.915314154,0.927367835
4:10:5:51:245798,-13.25,-18.49,-126.33,-0.32,-0.23,0.89,0.973344749,0.937809715
4:10:5:52:246319,-7.7,-12.91,-98.44,-0.22,-0.13,0.8,0.83982141,0.909493437
4:10:5:52:246616,-6.08,-17.89,-91,-0.29,-0.13,0.82,0.879431635,0.897532598
4:10:5:52:246639,-6.55,-22.5,-87.7,-0.36,-0.16,0.88,0.964157663,0.894470236
4:10:5:52:246639,-6.98,-23.16,-90.76,-0.37,-0.19,0.98,1.064612606,0.969400635
4:10:5:52:246735,-7.92,-23.93,-97.94,-0.39,-0.22,1.06,1.150695442,1.059821904
4:10:5:52:246799,-10.42,-24.09,-105.29,-0.37,-0.25,1.09,1.177921899,1.131076649
4:10:5:53:247435,-19.74,-24.89,-90.21,-0.32,-0.17,0.96,1.026109156,1.118242166
4:10:5:53:247547,-21.07,-23.76,-83.46,-0.34,-0.19,1.01,1.082497113,1.095509389
4:10:5:53:247547,-24.09,-23.91,-79.97,-0.35,-0.18,0.98,1.056077649,1.054894639
4:10:5:53:247611,-26.93,-24.38,-81.45,-0.33,-0.22,1,1.075778788,1.071451183
4:10:5:54:248011,-25.87,-26.34,-87.85,-0.3,-0.2,0.93,0.99744674,1.043101059
4:10:5:54:248091,-22.78,-25.52,-94.78,-0.25,-0.22,0.91,0.969020124,1.014081884
4:10:5:54:248303,-14.55,-32.28,-72.97,-0.35,-0.19,1.01,1.085679511,1.017382125
4:10:5:54:248464,-12.45,-37.4,-78.43,-0.36,-0.18,1.03,1.105848091,1.053515908
4:10:5:54:248511,-5.95,-41.66,-91.92,-0.36,-0.23,1.01,1.096631205,1.096052936
4:10:5:54:248687,0.02,-41.8,-104.75,-0.35,-0.24,0.98,1.067941946,1.090140414
4:10:5:54:248704,2.09,-39.87,-110.97,-0.33,-0.26,0.96,1.047902667,1.070825273
4:10:5:54:248815,-1.89,-37.45,-108.71,-0.34,-0.25,0.97,1.057827963,1.057890859
4:10:5:55:249570,-23.2,-24.6,-75.58,-0.24,-0.17,0.81,0.861742421,0.989157684
4:10:5:55:249611,-24.63,-21.48,-69.98,-0.24,-0.16,0.78,0.831624915,0.9170651
4:10:5:55:249612,-24.52,-18.68,-64.83,-0.24,-0.16,0.78,0.831624915,0.841664084
4:10:5:55:249612,-24.38,-16.67,-59.22,-0.25,-0.17,0.82,0.873956521,0.845735451
4:10:5:55:249723,-23.74,-16.5,-53.54,-0.28,-0.16,0.85,0.909120454,0.871567297
4:10:5:55:249819,-23.39,-17.56,-49.66,-0.28,-0.17,0.88,0.938988818,0.907355264
4:10:5:56:250358,-21.16,-37.83,-69.98,-0.31,-0.24,1.06,1.130176977,0.992762083
4:10:5:56:250406,-21.84,-40.49,-68.27,-0.29,-0.23,1.04,1.10390217,1.057689322
4:10:5:56:250502,-23.18,-43.27,-63.02,-0.31,-0.21,1.01,1.077172224,1.103750457
4:10:5:56:250598,-26.61,-41.48,-56.22,-0.32,-0.2,0.97,1.040816987,1.073963793
4:10:5:57:250870,-27.17,-38.12,-53.7,-0.32,-0.18,0.93,0.999849989,1.039279733
4:10:5:57:250998,-26.06,-36.86,-55.62,-0.35,-0.19,0.96,1.039326705,1.02666456
4:10:5:57:251347,-32.07,-23.47,-56.22,-0.26,-0.21,0.88,0.941328848,0.993501847
4:10:5:57:251427,-32.04,-20.07,-50.01,-0.21,-0.19,0.8,0.84864598,0.943100511
4:10:5:57:251554,-32.2,-16.35,-40.8,-0.25,-0.19,0.88,0.93434469,0.908106506
4:10:5:57:251602,-29.02,-15.33,-31.11,-0.26,-0.17,0.93,0.980510071,0.921166914
4:10:5:57:251699,-24.06,-20.83,-24.95,-0.32,-0.17,1.01,1.073033084,0.995962615
4:10:5:57:251827,-22.25,-28.5,-23.91,-0.34,-0.18,1,1.071447619,1.041663592
4:10:5:58:252416,-26.91,-46.56,-46.36,-0.32,-0.25,0.97,1.051570254,1.065350319
4:10:5:58:252431,-33.94,-43.23,-42.77,-0.33,-0.26,0.98,1.066255129,1.063091001
4:10:5:58:252496,-41.83,-36.57,-34.27,-0.3,-0.26,0.99,1.066630208,1.061485197
4:10:5:58:252752,-46.12,-28.9,-23.54,-0.33,-0.25,0.96,1.045466403,1.05945058
4:10:5:59:252847,-45.21,-18.96,-13.06,-0.3,-0.18,0.88,0.946995248,1.019697286
4:10:5:59:252847,-47.15,-6.95,-1.74,-0.27,-0.17,0.85,0.907909687,0.966790446
4:10:5:59:253317,-47.75,5.94,36.68,-0.24,-0.14,0.9,0.941912947,0.932272627
4:10:5:59:253413,-44.58,0.09,41.85,-0.23,-0.15,0.99,1.027375297,0.959065977
4:10:5:59:253509,-41.66,-4.26,49.1,-0.25,-0.15,1.01,1.051237366,1.00684187
4:10:5:59:253637,-46.61,-5.87,59.89,-0.27,-0.14,1.08,1.12200713,1.066873264
4:10:5:59:253733,-53.16,-9.26,68.51,-0.32,-0.13,1.14,1.19117589,1.121473462
4:10:6:0:253893,-60.06,-16.78,71.83,-0.34,-0.18,1.18,1.241128519,1.184770513
4:10:6:0:254689,-83.23,-42.53,86.91,-0.28,-0.22,1,1.061508361,1.164604256
4:10:6:0:254816,-83.25,-38.31,93.03,-0.31,-0.21,0.98,1.049094848,1.117243909
4:10:6:0:254832,-71.83,-33.56,93.41,-0.32,-0.21,0.93,1.005683847,1.038762352
4:10:6:1:254849,-63.01,-29.85,96.97,-0.37,-0.23,0.94,1.036050192,1.030276296
4:10:6:1:255024,-55.61,-30.41,100.65,-0.37,-0.2,0.9,0.993428407,1.011720815
4:10:6:1:255057,-49.19,-32.57,99.56,-0.35,-0.21,0.84,0.933916484,0.987798361
4:10:6:1:255756,-38.27,-33.61,81.29,-0.31,-0.25,0.87,0.956817642,0.961387511
4:10:6:2:255845,-40.58,-31.1,86.15,-0.22,-0.18,0.8,0.848999411,0.913244513
4:10:6:2:255845,-45.9,-25.56,97.36,-0.25,-0.15,0.81,0.860871651,0.888896235
4:10:6:2:255846,-49.15,-18.55,107.04,-0.22,-0.14,0.77,0.812957563,0.840942875
4:10:6:2:255846,-50.28,-12.15,115.73,-0.21,-0.12,0.74,0.778524245,0.817451153
4:10:6:2:255846,-51.31,-5.41,123.59,-0.19,-0.11,0.73,0.762299154,0.784593654
4:10:6:2:256304,-60.83,-19.39,137.32,-0.32,-0.24,1.04,1.114271062,0.885031487
4:10:6:2:256580,-65.72,-22.55,141.32,-0.34,-0.23,1.13,1.202247895,1.026272704
4:10:6:2:256581,-69.79,-23.79,147.13,-0.31,-0.21,1.1,1.161981067,1.159500008
4:10:6:2:256788,-72.68,-21.54,151.57,-0.3,-0.21,1.12,1.178346299,1.18085842
4:10:6:3:257027,-74.39,-17.16,156.77,-0.29,-0.19,1.1,1.153342967,1.164556778
4:10:6:3:257044,-74.71,-14.26,161.64,-0.29,-0.19,1.03,1.086784247,1.139491171
4:10:6:3:257644,-61.58,-7.18,170.9,-0.28,-0.19,0.84,0.905593728,1.048573647
4:10:6:3:257660,-64.35,-7.28,172.16,-0.25,-0.16,0.84,0.890898423,0.961092133
4:10:6:3:257788,-63.45,-8.31,171.98,-0.22,-0.18,0.8,0.848999411,0.881830521
4:10:6:4:257916,-62.12,-4.42,174.3,-0.26,-0.19,0.86,0.918313672,0.886070502
4:10:6:4:257917,-58.21,-0.13,179.31,-0.25,-0.21,0.82,0.882609767,0.883307617
4:10:6:4:257933,-52.81,3.74,-174.58,-0.29,-0.17,0.88,0.942019108,0.914314182
4:10:6:4:258599,-43.66,-6.46,-172.21,-0.31,-0.23,0.99,1.062591173,0.962406682
4:10:6:4:258599,-41.58,-10.09,-175.79,-0.31,-0.21,0.96,1.030436801,1.01168236
4:10:6:4:258646,-40.42,-9.98,-174.6,-0.3,-0.14,0.99,1.043886967,1.045638313
4:10:6:4:258678,-40.93,-7.89,-169.41,-0.33,-0.21,1.06,1.129867249,1.068063672
4:10:6:5:259031,-37.3,-3.89,-164.04,-0.27,-0.09,0.91,0.953467357,1.042407191
4:10:6:5:259046,-33.3,-3.58,-154.1,-0.32,-0.16,0.98,1.043264108,1.042199571
4:10:6:6:259876,-26.16,-15.14,-149.06,-0.34,-0.18,0.91,0.987977733,0.994903066
4:10:6:6:260169,-27.81,-15.96,-149.62,-0.31,-0.29,0.88,0.977036335,1.002759392
4:10:6:6:260169,-27.82,-15.75,-148.57,-0.26,-0.25,0.87,0.941806774,0.968940281
4:10:6:6:260568,-24.84,-17.6,-145.85,-0.34,-0.24,0.9,0.99156442,0.970135843
4:10:6:6:260601,-22.59,-17.76,-140.14,-0.32,-0.28,0.89,0.986356933,0.973242709
4:10:6:6:260633,-21.65,-18.22,-133.83,-0.37,-0.25,0.88,0.986813052,0.988244802
4:10:6:6:260767,-20.15,-14.04,-130.19,-0.28,-0.26,0.79,0.877553417,0.950241134
4:10:6:6:260767,-20.37,-11.44,-129.42,-0.29,-0.17,0.83,0.895488693,0.919951721
4:10:6:6:260768,-22.3,-6.42,-123.54,-0.31,-0.18,0.83,0.904101764,0.892381292
4:10:6:6:260768,-21.45,-3.56,-116.62,-0.3,-0.18,0.84,0.909945053,0.903178504
4:10:6:6:260768,-18.01,-3.43,-109.5,-0.31,-0.23,0.89,0.970103087,0.928049968
4:10:6:6:260797,-13.9,-3.96,-102.79,-0.33,-0.23,0.95,1.031649165,0.970565769
4:10:6:7:261314,-7.79,-12.92,-84.48,-0.27,-0.18,0.86,0.919184421,0.973645558
4:10:6:7:261393,-8.18,-16.18,-75.51,-0.33,-0.19,0.94,1.014199191,0.988344259
4:10:6:7:261521,-10.92,-19.16,-67.63,-0.37,-0.16,0.96,1.041201229,0.991528281
4:10:6:7:261618,-15.41,-18.06,-65.3,-0.35,-0.18,0.98,1.056077649,1.037159356
4:10:6:7:261698,-21.26,-18.27,-65.84,-0.37,-0.18,1.07,1.146385624,1.081221501
4:10:6:7:261809,-24.93,-22.23,-71.77,-0.35,-0.22,1.07,1.147083258,1.11651551
4:10:6:8:262333,-28.84,-9.18,-32.83,-0.28,-0.14,0.89,0.943451112,1.078973331
4:10:6:8:262413,-28.78,-7.17,-17.25,-0.3,-0.1,0.89,0.944510455,1.011681608
4:10:6:8:262493,-26.92,-10.58,-12.1,-0.35,-0.13,0.95,1.020735029,0.969565532
4:10:6:8:262622,-27.8,-15.69,-16.58,-0.34,-0.16,0.97,1.040240357,1.001828614
4:10:6:8:262701,-32.41,-23.37,-23.88,-0.38,-0.21,1.05,1.136221809,1.065732398
4:10:6:9:262909,-33.02,-31.77,-35.03,-0.36,-0.23,1.04,1.124322018,1.100261395
4:10:6:9:263391,-27.45,-49.35,-34.09,-0.35,-0.2,0.99,1.068924693,1.10982284
4:10:6:9:263423,-29.09,-51.43,-31.25,-0.37,-0.19,0.98,1.064612606,1.085953106
4:10:6:9:263535,-26.69,-49.77,-36.5,-0.35,-0.23,0.96,1.047377678,1.060304992
4:10:6:9:263631,-22.86,-44.24,-44.99,-0.33,-0.23,0.94,1.022448043,1.044812775
4:10:6:9:263711,-21.95,-40.19,-49.96,-0.33,-0.24,0.95,1.033924562,1.034583428
4:10:6:9:263807,-24.63,-32.85,-49.29,-0.27,-0.24,0.9,0.969793793,1.008722132
4:10:6:10:264316,-30.3,-11.97,-3.93,-0.26,-0.14,0.87,0.91874915,0.974155835
4:10:6:10:264397,-31.1,-12.09,-0.38,-0.28,-0.16,0.89,0.946625586,0.945056176
4:10:6:10:264493,-33.22,-13.72,1.2,-0.29,-0.17,0.9,0.96072889,0.942034542
4:10:6:10:264605,-33.08,-16.01,-0.16,-0.28,-0.19,0.92,0.980255069,0.962536515
4:10:6:10:264717,-33.37,-17.51,0.56,-0.28,-0.2,0.96,1.019803903,0.986929287
4:10:6:10:264812,-34.45,-17.2,5.06,-0.28,-0.2,0.99,1.048093507,1.016050826
4:10:6:11:265308,-42.19,-16.73,40.37,-0.28,-0.17,1,1.052283232,1.040060214
4:10:6:11:265453,-45.23,-20.25,43.78,-0.3,-0.2,1.04,1.100727032,1.067034591
4:10:6:11:265500,-49.2,-22.38,47.96,-0.3,-0.19,1.02,1.080046295,1.07768552
4:10:6:11:265613,-52.27,-25.38,53.34,-0.3,-0.19,1.03,1.089495296,1.090089541
4:10:6:11:265709,-54.87,-28.76,58.58,-0.31,-0.19,1.02,1.082866566,1.084136052
4:10:6:11:265820,-57,-31.92,62.18,-0.32,-0.2,1.02,1.08756609,1.086642651
4:10:6:12:266368,-54.3,-45.56,67.31,-0.31,-0.31,0.97,1.0644717,1.078301452
4:10:6:12:266400,-45.99,-43.58,62.2,-0.32,-0.23,0.88,0.964209521,1.038749104
4:10:6:12:266544,-45.27,-42.74,62.22,-0.3,-0.21,0.86,0.934719209,0.987800143
4:10:6:12:266752,-45.64,-41.88,63.34,-0.29,-0.21,0.87,0.940797534,0.946575421
4:10:6:12:266800,-45.72,-41.45,65.44,-0.28,-0.2,0.87,0.93557469,0.937030478
4:10:6:12:266832,-46.62,-41.63,68.45,-0.27,-0.18,0.88,0.937923238,0.938098487
4:10:6:14:268451,-51.45,-26.88,85.81,-0.3,-0.19,0.91,0.976831613,0.950109847
4:10:6:14:268498,-50.16,-22.77,89.65,-0.31,-0.18,0.96,1.02474387,0.979832907
4:10:6:14:268675,-48.32,-21.6,91.35,-0.31,-0.2,0.97,1.037786105,1.013120529
4:10:6:14:268754,-47.28,-21.14,92.13,-0.28,-0.19,0.95,1.008464179,1.023664718
4:10:6:15:268905,-46.16,-21.34,93.66,-0.25,-0.1,0.97,1.006677704,1.017642663
4:10:6:15:268905,-42.8,-21.46,95.73,-0.23,-0.19,0.91,0.957653382,0.990931755
4:10:6:15:269087,-44.64,-10.19,140.53,-0.31,-0.14,1.03,1.084711943,1.016347676
4:10:6:15:269088,-50.06,-13.66,145.2,-0.29,-0.09,1.01,1.054656342,1.032340556
4:10:6:15:269088,-50.54,-19.2,145.47,-0.27,-0.14,1.03,1.073964618,1.071110968
4:10:6:15:269088,-53.04,-22.88,146.85,-0.28,-0.19,1.01,1.065176042,1.064599001
4:10:6:15:269088,-56,-26.16,152.64,-0.27,-0.16,0.98,1.029028668,1.056056443
4:10:6:15:269089,-58,-25.92,158.57,-0.32,-0.21,1.01,1.080092589,1.0580991
4:10:6:15:269600,-47.42,-25.24,173.82,-0.31,-0.23,0.88,0.960937043,1.023352767
4:10:6:15:269632,-46.74,-24.17,174.93,-0.3,-0.22,0.85,0.92784697,0.989625534
4:10:6:15:269648,-47.21,-22.21,178.03,-0.33,-0.21,0.85,0.93568157,0.941488528
4:10:6:15:269664,-47.17,-20.24,-179.01,-0.32,-0.2,0.84,0.920869155,0.928132565
4:10:6:15:269712,-47.75,-17.78,-176.58,-0.33,-0.2,0.82,0.906256034,0.920935586
4:10:6:15:269808,-46.7,-16.12,-175.51,-0.33,-0.19,0.86,0.940531764,0.922552318
4:10:6:16:270812,-39.23,-17.71,164.84,-0.31,-0.2,0.91,0.981936862,0.94290822
4:10:6:16:270812,-38.94,-17.8,160.81,-0.27,-0.21,0.9,0.962808392,0.961759006
4:10:6:16:270813,-38.73,-19.05,162.43,-0.28,-0.23,0.91,0.979489663,0.974744972
4:10:6:16:270813,-36.57,-16.12,169.24,-0.27,-0.23,0.9,0.967367562,0.969888539
4:10:6:16:270814,-34.14,-12.47,-176.16,-0.31,-0.14,0.89,0.95278539,0.966547538
4:10:6:16:270815,-31.36,-7.57,-157.01,-0.3,-0.23,0.88,0.957757798,0.959303584
4:10:6:17:271303,-25.69,-12.38,-120.3,-0.32,-0.19,1.01,1.076382832,0.995642007
4:10:6:17:271431,-27.17,-11.81,-115.53,-0.27,-0.26,0.95,1.021273715,1.018471448
4:10:6:17:271510,-27.63,-12.71,-104.12,-0.3,-0.23,0.98,1.050380883,1.04934581
4:10:6:17:271606,-25.38,-12.93,-91.34,-0.34,-0.12,0.98,1.044222199,1.038625599
4:10:6:17:271687,-23.87,-11.44,-79.73,-0.31,-0.19,0.94,1.007869039,1.034157374
4:10:6:17:271814,-22.39,-12.31,-71.96,-0.3,-0.18,0.94,1.002995513,1.01836225
4:10:6:18:272422,-19.68,-16.95,-44.1,-0.25,-0.1,0.91,0.948999473,0.986621342
4:10:6:18:272470,-21.07,-18.9,-35.99,-0.24,-0.08,0.89,0.925256721,0.959083903
4:10:6:18:272502,-24.48,-20.44,-30.45,-0.22,-0.12,0.89,0.924608025,0.93295474
4:10:6:18:272598,-27.13,-22.8,-25.27,-0.23,-0.12,0.89,0.927038295,0.925634347
4:10:6:18:272725,-29.2,-22.42,-19.63,-0.26,-0.15,0.93,0.977241014,0.942962445
4:10:6:18:272806,-29.95,-22,-13.5,-0.3,-0.15,0.99,1.045275083,0.983184797
4:10:6:19:273298,-53.76,-26.88,4.7,-0.31,-0.22,1.02,1.08853112,1.037015739
4:10:6:19:273423,-53.39,-23.5,8.7,-0.26,-0.25,0.99,1.053660287,1.06248883
4:10:6:19:273503,-50.82,-17.08,17.81,-0.3,-0.24,0.95,1.02474387,1.055645093
4:10:6:19:273599,-44.29,-11.33,31.22,-0.33,-0.2,0.9,0.979234395,1.019212851
4:10:6:19:273695,-38.16,-8.88,45.77,-0.33,-0.19,0.94,1.014199191,1.006059152
4:10:6:19:273806,-34.41,-9.82,57.21,-0.34,-0.18,0.93,1.006429332,0.999954306
4:10:6:20:274324,-39.73,-36,56.18,-0.31,-0.22,0.98,1.051142236,1.023923586
4:10:6:20:274435,-34.86,-35.21,54.45,-0.3,-0.28,0.97,1.053233118,1.036934895
4:10:6:20:274500,-34.96,-32.87,60.11,-0.31,-0.24,0.93,1.009257153,1.037877502
4:10:6:20:274708,-34.69,-28.44,68.85,-0.27,-0.22,0.95,1.011830025,1.024773432
4:10:6:20:274724,-34.72,-25.69,77.35,-0.31,-0.13,1.01,1.0644717,1.028519626
4:10:6:21:275075,-34.62,-23.12,82.45,-0.23,-0.09,0.89,0.923634127,0.999978617
4:10:6:22:276068,-49.27,-25.52,96.44,-0.29,-0.18,1.01,1.06611444,1.018073422
4:10:6:22:276068,-54.7,-21.27,103.49,-0.28,-0.19,1.02,1.074662738,1.021470435
4:10:6:22:276118,-55.24,-14.1,110.61,-0.25,-0.17,0.98,1.025573011,1.055450063
4:10:6:22:276119,-52.36,-13.25,119.14,-0.25,-0.13,1,1.038941769,1.046392506
4:10:6:22:276119,-47.65,-12.89,123.76,-0.2,-0.14,0.94,0.971184843,1.011899874
4:10:6:22:276119,-45.29,-11.06,129.36,-0.2,-0.16,0.93,0.964624279,0.991583631
4:10:6:22:276319,-45.73,-8.28,172.57,-0.27,-0.17,1.01,1.05919781,0.998335644
4:10:6:22:276415,-49.16,-10.58,174.37,-0.28,-0.21,1.03,1.0878419,1.03722133
4:10:6:22:276543,-51.48,-11.47,177.72,-0.26,-0.21,1,1.054371851,1.067137187
4:10:6:22:276607,-51.81,-12,-175.49,-0.27,-0.22,1.01,1.068363234,1.070192328
4:10:6:22:276704,-49.13,-8.15,-167.71,-0.27,-0.2,0.97,1.026547612,1.049760899
4:10:6:22:276815,-41.84,-5.4,-158.24,-0.3,-0.19,0.96,1.023572176,1.039494341
4:10:6:23:277291,-26.82,-9.01,-141.74,-0.28,-0.22,0.92,0.986508996,1.012209595
