sysTime,roll,pitch,yaw,ax,ay,az
4:8:56:23:27174,40.14,-26.56,-168.54,-0.45,0.57,0.66
4:8:56:24:27679,39.42,-26.39,-169.58,-0.46,0.56,0.7
4:8:56:24:27775,39.98,-27.27,-170.33,-0.57,0.65,0.71
4:8:56:24:27871,43.22,-28.03,-173.93,-0.45,0.57,0.59
4:8:56:24:27984,45.82,-29.05,-176.37,-0.45,0.61,0.59
4:8:56:24:28079,47.83,-29.57,-177.47,-0.51,0.66,0.63
4:8:56:25:28191,50.73,-30.77,-179.35,-0.6,0.72,0.62
4:8:56:25:28585,69.34,-38.49,167.9,-0.64,0.73,0.27
4:8:56:25:28662,71.12,-39.34,166.31,-0.57,0.72,0.23
4:8:56:25:28790,69.8,-39.12,167.28,-0.57,0.7,0.27
4:8:56:25:28886,65.54,-38.4,170.56,-0.64,0.69,0.34
4:8:56:25:28982,62.27,-37.99,172.5,-0.67,0.71,0.36
4:8:56:25:29094,60.15,-37.77,172.63,-0.62,0.7,0.46
4:8:56:25:29174,59.8,-38.01,172.17,-0.63,0.72,0.44
4:8:56:26:29687,67.4,-39.33,161.39,-0.64,0.68,0.31
4:8:56:26:29799,72.17,-39.95,154.38,-0.7,0.78,0.26
4:8:56:26:29895,71.61,-37.26,151.61,-0.42,0.7,0.32
4:8:56:26:29975,81.22,-42.3,141.35,-0.68,0.72,0.14
4:8:56:26:30072,91.64,-44.37,129.46,-0.63,0.71,-0.05
4:8:56:27:30184,99.74,-44.55,119.36,-0.59,0.71,-0.13
4:8:56:27:30579,105.4,-39.96,110.72,-0.62,0.78,-0.15
4:8:56:27:30690,104.61,-38.97,111.36,-0.65,0.75,-0.2
4:8:56:27:30786,104.92,-37.72,109.68,-0.63,0.79,-0.25
4:8:56:27:30882,104.27,-34.93,107.34,-0.49,0.79,-0.17
4:8:56:27:30978,102.04,-34.21,108.87,-0.55,0.79,-0.15
4:8:56:27:31075,103.4,-35.69,107.73,-0.62,0.85,-0.18
4:8:56:28:31186,103.58,-36.09,109.35,-0.57,0.79,-0.2
4:8:56:28:31666,111.32,-33.61,145.78,-0.66,0.82,-0.21
4:8:56:28:31763,116.88,-34.58,145.73,-0.65,0.71,-0.33
4:8:56:28:31875,125.87,-34.17,142.07,-0.56,0.59,-0.48
4:8:56:28:31971,134.15,-32.18,137.71,-0.52,0.51,-0.58
4:8:56:28:32067,136.35,-31.35,135.12,-0.55,0.62,-0.62
4:8:56:28:32163,137.27,-31.78,133.4,-0.6,0.65,-0.55
4:8:56:29:32609,141.73,-31.1,127.31,-0.52,0.55,-0.66
4:8:56:29:32672,141.25,-31.25,126.7,-0.49,0.58,-0.65
4:8:56:29:32784,140.29,-31.3,128.88,-0.45,0.59,-0.6
4:8:56:29:32880,140.84,-32.01,131.63,-0.52,0.72,-0.55
4:8:56:29:32976,140.47,-34.1,135.16,-0.69,0.6,-0.71
4:8:56:29:33088,140.8,-34.41,137.28,-0.56,0.67,-0.57
4:8:56:30:33184,144.31,-33.91,137.4,-0.58,0.55,-0.67
4:8:56:30:33662,149.52,-29.02,143.89,-0.5,0.42,-0.72
4:8:56:30:33790,149.37,-30.59,147.5,-0.57,0.4,-0.65
4:8:56:30:33886,149.13,-32.77,150.97,-0.61,0.42,-0.81
4:8:56:30:33982,149.4,-32.91,152.93,-0.56,0.43,-0.68
4:8:56:30:34077,152.41,-32.79,151.99,-0.51,0.2,-0.83
4:8:56:30:34174,155.15,-34.44,145.44,-0.52,0.33,-0.54
4:8:56:31:34684,123.43,-55.6,130.42,-1.11,0.56,-0.2
4:8:56:31:34780,112.44,-53.36,130.82,-1.12,0.46,0.12
4:8:56:31:34876,104.99,-51.89,128.98,-0.68,0.67,0.12
4:8:56:31:34987,109.5,-47.3,124.53,-0.43,0.57,-0.04
4:8:56:31:35068,115.94,-46.19,123.84,-0.7,0.43,-0.49
4:8:56:31:35179,117.05,-53.7,124.82,-1.35,0.46,0.08
4:8:56:32:35669,92.68,-56.44,140.62,-0.74,0.5,0.16
4:8:56:32:35765,83.28,-61.9,146.91,-1,0.46,0.13
4:8:56:32:35877,80.6,-60.46,148.37,-0.74,0.42,0.06
4:8:56:32:35973,81.36,-59.21,148.29,-0.75,0.37,0
4:8:56:32:36085,81.42,-57.77,150.55,-1.03,0.57,0.13
4:8:56:33:36181,86.39,-55.79,147.99,-1.15,0.57,0.3
4:8:56:33:36277,69.03,-56.86,160.29,-1.08,0.41,0.28
4:8:56:33:36670,66.56,-68.8,156.56,-1.13,0.25,0.2
4:8:56:33:36782,55.55,-64.75,161.22,-0.81,0.28,0.29
4:8:56:33:36861,52.66,-66.03,162.05,-0.71,0.32,0.07
4:8:56:33:36990,57.81,-66.1,158.51,-0.77,0.41,0.16
4:8:56:33:37086,57.54,-63.13,161.82,-1.18,0.48,0.17
4:8:56:34:37181,50.52,-59.71,169.32,-1.18,0.56,0.52
4:8:56:34:37682,32.11,-61.3,-167.73,-1.19,0.31,0.43
4:8:56:34:37779,35.56,-59.73,-171.22,-0.86,0.32,0.29
4:8:56:34:37874,41.61,-56.57,-175.74,-0.66,0.42,0.28
4:8:56:34:37986,44.48,-54.84,-176.13,-0.69,0.45,0.24
4:8:56:34:38082,46.59,-52.62,-173.61,-1.05,0.57,0.53
4:8:56:35:38226,44.59,-50.1,-168.95,-1.04,0.69,0.72
4:8:56:35:38696,34.38,-39.13,-161.83,-0.85,0.54,0.82
4:8:56:35:38761,32.41,-39.13,-160.77,-0.48,0.44,0.52
4:8:56:35:38889,31.33,-39.52,-156.78,-0.45,0.46,0.47
4:8:56:35:38985,31.16,-37.6,-153.35,-0.59,0.4,0.71
4:8:56:35:39113,31.72,-36.45,-148.62,-0.8,0.46,1.21
4:8:56:35:39161,30.95,-31.7,-142.9,-0.63,0.5,0.68
4:8:56:36:39677,35.1,-43.81,-147.75,-0.76,0.38,0.99
4:8:56:36:39789,33.02,-42.42,-147.15,-0.46,0.4,0.38
4:8:56:36:39870,32.3,-42.96,-146.77,-0.57,0.37,0.48
4:8:56:36:39981,32.94,-43.03,-147.41,-0.69,0.42,0.69
4:8:56:36:40078,35.97,-42.34,-147.36,-0.86,0.44,0.64
4:8:56:36:40174,38.46,-40.92,-148.19,-0.79,0.39,0.67
4:8:56:37:40669,32.12,-41.48,-164.94,-0.73,0.35,0.96
4:8:56:37:40764,29.16,-40.28,-168.57,-0.51,0.28,0.65
4:8:56:37:40860,28.94,-39.26,-169.87,-0.41,0.45,0.54
4:8:56:37:40988,33.43,-38.3,-170.15,-0.56,0.69,0.58
4:8:56:37:41085,36.39,-38.17,-165.51,-0.87,0.44,0.75
4:8:56:38:41180,38.39,-38.26,-161.71,-0.63,0.31,0.89
4:8:56:38:41673,36.72,-36.89,-162.14,-0.65,0.41,0.7
4:8:56:38:41769,32.39,-34.2,-164.93,-0.5,0.34,0.83
4:8:56:38:41865,28.39,-29.82,-166.01,-0.38,0.53,0.75
4:8:56:38:41977,29.86,-28.53,-166.83,-0.36,0.47,0.72
4:8:56:38:42089,30.66,-28.03,-163.2,-0.58,0.45,0.81
4:8:56:39:42200,31.99,-27.17,-159.96,-0.48,0.47,0.97
4:8:56:39:42681,22.38,-24.33,-149.64,-0.38,0.27,0.88
4:8:56:39:42792,17.88,-23.45,-149.44,-0.4,0.31,0.91
4:8:56:39:42872,14.52,-22.96,-149.21,-0.34,0.24,0.96
4:8:56:39:42969,13.22,-21.93,-147.77,-0.35,0.19,0.93
4:8:56:39:43080,12.38,-20.12,-144.77,-0.39,0.23,0.98
4:8:56:39:43176,12.71,-16.74,-143.4,-0.32,0.24,0.93
4:8:56:40:43677,14.25,-5.28,-145.41,-0.08,0.24,0.97
4:8:56:40:43773,14.33,-3.82,-144.86,-0.07,0.24,0.95
4:8:56:40:43869,15.65,-3.21,-144.15,-0.03,0.27,0.89
4:8:56:40:43965,16.89,-3.65,-142.55,-0.03,0.25,0.9
4:8:56:40:44077,16.39,-2.07,-140.83,-0.12,0.23,0.92
4:8:56:40:44173,13.87,-4.23,-140.93,-0.09,0.38,1
4:8:56:41:44598,-3.83,-8.42,-144.09,0.03,-0.11,0.95
4:8:56:41:44678,-7.86,-4.26,-153.07,-0.22,-0.25,0.86
4:8:56:41:44837,-9.87,-4.42,-153.19,-0.14,-0.04,1
4:8:56:41:44917,-13.79,-4.5,-150.75,-0.07,-0.21,0.94
4:8:56:41:44982,-12.1,-3.57,-149.12,-0.07,-0.18,0.98
4:8:56:41:45093,-15.15,-2.77,-146.33,-0.08,-0.28,0.96
4:8:56:42:45190,-17.63,-3.02,-145.18,-0.06,-0.3,0.94
4:8:56:42:45677,-15.12,0.74,-143.39,-0.01,-0.23,0.95
4:8:56:42:45789,-14.57,1.56,-143.53,0.03,-0.22,0.98
4:8:56:42:45884,-14.31,2.05,-143.31,0.03,-0.23,0.95
4:8:56:42:45980,-14.41,2.56,-142.56,0.04,-0.23,0.95
4:8:56:42:46076,-14.72,2.97,-141.21,0.03,-0.26,0.94
4:8:56:43:46188,-14.86,3.93,-139.87,0.05,-0.27,0.95
4:8:56:43:46596,-7.11,10.05,-132.39,0.19,-0.09,1.01
4:8:56:43:46690,-4.56,9.87,-129.95,0.19,-0.11,0.95
4:8:56:43:46769,-2.25,8.73,-129.99,0.1,-0.05,0.93
4:8:56:43:46914,-5.21,7.18,-130.48,0.09,-0.09,0.99
4:8:56:43:46962,-5.22,5.51,-133.5,0.12,-0.14,0.99
4:8:56:43:47089,-3.66,4.22,-137.91,0.11,-0.03,0.98
4:8:56:44:47185,-3.2,2.98,-141.82,0.03,-0.04,0.96
4:8:56:44:47687,-7.35,4.37,-157.63,0.05,-0.11,0.95
4:8:56:44:47782,-8.41,5.9,-154.05,0.08,-0.15,0.96
4:8:56:44:47879,-7.57,8.52,-149.89,0.14,0,1.05
4:8:56:44:47974,-6.94,12.35,-145.37,0.2,-0.11,1.04
4:8:56:44:48087,-4.47,13.73,-142.96,0.16,-0.04,0.98
4:8:56:45:48182,-2.14,16.96,-141.26,0.24,0.06,0.9
4:8:56:45:48617,-12.98,20.74,-141.61,0.34,-0.17,0.85
4:8:56:45:48679,-15.55,23.61,-140.96,0.46,-0.21,0.87
4:8:56:45:48790,-18.92,22.86,-142.06,0.39,-0.3,0.85
4:8:56:45:48887,-19.43,20.7,-144.6,0.28,-0.3,0.83
4:8:56:45:48982,-23.31,19.75,-146.44,0.3,-0.42,0.85
4:8:56:45:49094,-24.9,19.64,-146.43,0.35,-0.42,0.87
4:8:56:46:49190,-25.76,18.75,-146.35,0.3,-0.42,0.83
4:8:56:46:49682,-25.4,20.35,-152.02,0.32,-0.37,0.84
4:8:56:46:49778,-23.96,20.46,-152.48,0.32,-0.33,0.87
4:8:56:46:49890,-23.52,20.03,-152.18,0.31,-0.35,0.84
4:8:56:46:49986,-23.88,19.55,-151.87,0.31,-0.35,0.84
4:8:56:46:50082,-23.24,19.78,-151.24,0.33,-0.36,0.85
4:8:56:47:50225,-22.93,19.84,-150.72,0.31,-0.35,0.82
4:8:56:47:50620,-23.73,19.97,-145.91,0.34,-0.36,0.83
4:8:56:47:50681,-24.43,19.93,-144.56,0.32,-0.38,0.82
4:8:56:47:50777,-24.86,20.37,-143.53,0.34,-0.39,0.84
4:8:56:47:50890,-25.44,20.75,-143.3,0.31,-0.41,0.84
4:8:56:47:50970,-25.31,21.36,-143.22,0.33,-0.39,0.84
4:8:56:47:51081,-25.47,21.06,-143.01,0.33,-0.41,0.84
4:8:56:47:51177,-26.18,21.1,-142.84,0.37,-0.43,0.83
4:8:56:48:51681,-24.52,20.57,-144.19,0.33,-0.39,0.83
4:8:56:48:51777,-24.39,20.59,-144.46,0.33,-0.39,0.84
4:8:56:48:51889,-24.67,20.51,-144.59,0.34,-0.39,0.86
4:8:56:48:51985,-25.78,20.23,-144.48,0.31,-0.38,0.9
4:8:56:48:52081,-29.11,19.34,-143.99,0.28,-0.46,0.8
4:8:56:49:52192,-26.44,19.54,-142.46,0.33,-0.43,0.82
4:8:56:49:52674,-25.75,21.98,-150.7,0.34,-0.42,0.84
4:8:56:49:52771,-26.33,23.84,-152.9,0.4,-0.34,0.81
4:8:56:49:52899,-24.61,26.85,-154.32,0.52,-0.36,0.85
4:8:56:49:52979,-26.74,27.58,-157.1,0.45,-0.46,0.76
4:8:56:49:53074,-28.16,32.43,-156.15,0.55,-0.39,0.72
4:8:56:50:53202,-30.04,43.76,-153.88,0.7,-0.36,0.69
4:8:56:50:53681,81.9,54.02,-16.48,0.8,0.67,-0.06
4:8:56:50:53792,70.39,68.82,-31.46,0.82,0.43,0.19
4:8:56:50:53889,16.91,83.98,-91.22,0.91,-0.13,0.06
4:8:56:50:53970,-69.34,74.55,176.1,1.11,-0.42,0.08
4:8:56:50:54081,-72.96,67.35,170.76,0.95,-0.57,0.26
4:8:56:51:54193,-80.28,66.08,161.51,0.91,-0.42,0.02
4:8:56:51:54603,-95.32,67.56,154.54,0.93,-0.34,-0.06
4:8:56:51:54683,-91.15,71.05,160.54,0.93,-0.26,0.05
4:8:56:51:54763,-93.88,70.1,160.45,1.02,-0.44,-0.1
4:8:56:51:54891,-94.67,68.62,161.59,0.87,-0.34,0
4:8:56:51:54986,-93.36,71.28,164.58,0.94,-0.29,0.04
4:8:56:51:55082,-99.24,71.49,161.57,0.94,-0.35,-0.01
4:8:56:51:55178,-99.62,69.27,161.17,0.92,-0.38,-0.04
4:8:56:52:55677,-76.45,81.36,172.01,0.91,-0.16,0.14
4:8:56:52:55789,-98.69,78.14,149.45,0.91,-0.01,0.04
4:8:56:52:55902,-101.05,79.26,147.13,1.03,-0.27,-0.02
4:8:56:52:55997,-84.67,79.44,163.01,0.9,-0.13,0.02
4:8:56:52:56094,-84.11,80.02,164.22,0.94,-0.19,0
4:8:56:53:56221,-91.76,78.41,158.43,0.96,-0.17,0.03
4:8:56:54:57923,-106.46,71.88,148.95,0.95,-0.35,-0.06
4:8:56:54:57923,-108.06,73.58,148.67,0.87,-0.19,-0.03
4:8:56:54:57988,-108.57,74.96,151.26,1.03,-0.26,-0.09
4:8:56:54:57989,-100.06,73.31,159.51,0.96,-0.28,-0.03
4:8:56:54:57989,-97.84,73,162.1,0.94,-0.23,-0.06
4:8:56:54:57990,-98.48,72.33,162.61,0.95,-0.33,-0.06
4:8:56:54:57990,-99.05,71.71,162.85,0.92,-0.31,-0.07
4:8:56:54:58057,-97.21,70.55,165.21,0.95,-0.4,-0.05
4:8:56:54:58058,-97.74,70.92,164.39,0.9,-0.33,-0.09
4:8:56:54:58058,-93.62,71.23,167.16,0.95,-0.26,0
4:8:56:54:58059,-89.54,72.84,171.3,0.85,-0.31,-0.1
4:8:56:54:58059,-86.02,73.13,174.13,0.91,-0.34,-0.02
4:8:56:54:58134,-94.67,72,164.3,0.95,-0.26,0
4:8:56:55:58198,-104.07,73.7,157.61,0.93,-0.21,-0.08
4:8:56:55:58753,-114.54,84.54,143.73,1.01,-0.1,-0.06
4:8:56:55:58753,-154.6,84.52,104.38,1.06,-0.05,-0.11
4:8:56:55:58815,-164.06,82.76,95.16,1.04,-0.05,-0.21
4:8:56:55:58879,-117.32,85.42,141.73,0.98,0.08,-0.05
4:8:56:55:59007,-107.59,83.89,152.75,1,-0.15,-0.11
4:8:56:55:59087,-99.88,83.04,159.74,0.98,-0.14,-0.02
4:8:56:56:59199,-69.73,83.03,-170.69,0.97,-0.19,0
4:8:56:56:59604,-74.75,82.33,-173.68,1,-0.11,-0.03
4:8:56:56:59669,-61.74,80.75,-162.73,0.95,-0.09,0.04
4:8:56:56:59797,-64.28,78.61,-167.52,0.95,-0.18,0.08
4:8:56:56:59893,-74.65,77.26,-178.62,0.95,-0.22,0.03
4:8:56:56:59973,-75.33,77.57,179.71,0.94,-0.22,0.04
4:8:56:56:60101,-80.5,76.47,172.86,0.96,-0.32,-0.02
4:8:56:57:60197,-81.06,73.69,168.89,0.9,-0.3,0.08
4:8:56:57:60594,-86.1,70.83,165.65,0.85,-0.35,0.02
4:8:56:57:60705,-102.64,75.94,153.68,0.98,-0.32,-0.01
4:8:56:57:60786,-150.35,85,108.56,0.98,0.04,-0.09
4:8:56:57:60897,-125.72,78.85,131.57,1.06,-0.17,-0.1
4:8:56:57:60992,-112.94,64.3,146.15,0.88,-0.4,-0.18
4:8:56:57:61089,-113.37,62.78,147.11,0.95,-0.38,-0.13
4:8:56:58:61185,-113.29,63.42,148.01,0.9,-0.39,-0.19
4:8:56:58:61582,-113.05,66.4,149.33,0.89,-0.35,-0.16
4:8:56:58:61661,-112.34,66,150.06,0.89,-0.41,-0.16
4:8:56:58:61789,-111.3,65.82,151,0.9,-0.37,-0.12
4:8:56:58:61885,-110.15,64.87,152.39,0.88,-0.38,-0.13
4:8:56:58:61981,-110.48,63.43,153.03,0.89,-0.45,-0.19
4:8:56:58:62093,-109.97,63.24,153.68,0.86,-0.41,-0.14
4:8:56:59:62189,-109.88,63.02,154.06,0.87,-0.43,-0.17
4:8:56:59:62606,-110.23,57.03,157.67,0.83,-0.56,-0.28
4:8:56:59:62682,-106.79,55.6,160.79,0.78,-0.54,-0.14
4:8:56:59:62794,-104.43,58.3,161.42,0.74,-0.51,-0.19
4:8:56:59:62891,-104.75,62.15,158.24,0.87,-0.44,-0.15
4:8:56:59:62986,-105.35,61.35,155.89,0.87,-0.48,-0.17
4:8:56:59:63083,-103.9,60.94,155.92,0.85,-0.45,-0.13
4:8:57:0:63210,-103.92,60.59,154.43,0.9,-0.46,-0.11
4:8:57:0:63618,-101.66,57.13,156.54,0.76,-0.51,-0.13
4:8:57:0:63728,-101.75,58.23,156.81,0.8,-0.59,-0.16
4:8:57:0:63808,-101.51,59.95,156.21,0.82,-0.49,-0.13
4:8:57:0:63888,-105.54,60.69,151.07,0.83,-0.46,-0.13
4:8:57:0:64016,-111.66,61.94,144.82,0.88,-0.37,-0.18
4:8:57:0:64097,-118.43,58.1,139.58,0.92,-0.49,-0.35
4:8:57:1:64192,-117.91,54.17,141.86,0.71,-0.44,-0.29
4:8:57:1:64593,-127.14,59.05,132.91,1.01,-0.25,-0.11
4:8:57:1:64688,-128.16,55.61,134.41,0.6,-0.56,-0.33
4:8:57:1:64800,-137.83,64.3,121.61,1.01,-0.05,-0.23
4:8:57:1:64880,-139.79,65.47,119.6,0.91,-0.28,-0.33
4:8:57:1:64976,-140.3,66.79,121.34,0.98,-0.28,-0.25
4:8:57:1:65120,-131.64,67.67,134.67,0.95,-0.37,-0.2
4:8:57:1:65167,-128.81,67.17,141.89,0.79,-0.22,-0.2
4:8:57:2:65627,-156.54,61.08,127.59,0.91,-0.19,-0.55
4:8:57:2:65706,-157.88,61.45,128.14,0.89,-0.13,-0.47
4:8:57:2:65786,-156.07,63.21,130.06,1.04,-0.26,-0.43
4:8:57:2:65883,-145.9,67.81,138.37,0.94,-0.27,-0.22
4:8:57:2:65994,-143.68,70.52,138.58,0.81,-0.15,-0.26
4:8:57:2:66090,-144.56,69.12,135.54,0.88,-0.19,-0.38
4:8:57:3:66186,-144.38,69.97,133.06,0.93,-0.19,-0.33
4:8:57:3:66615,-133.65,64.2,139.32,1.04,-0.38,-0.34
4:8:57:3:66693,-128.07,65.54,144.23,0.8,-0.32,-0.24
4:8:57:3:66773,-131.46,65.28,140.53,0.84,-0.3,-0.34
4:8:57:3:66885,-136.41,64.8,135.59,0.92,-0.29,-0.38
4:8:57:3:66996,-136.95,64.13,135.39,0.91,-0.32,-0.34
4:8:57:3:67061,-135.79,63.18,136.91,0.92,-0.29,-0.36
4:8:57:4:67189,-131.93,63.3,139.5,1.07,-0.65,-0.38
4:8:57:4:67582,-125.93,58.26,141.07,0.82,-0.41,-0.35
4:8:57:4:67693,-127.11,57.73,140.35,0.85,-0.45,-0.34
4:8:57:4:67772,-124.38,56.94,143.43,0.92,-0.45,-0.26
4:8:57:4:67869,-120.93,55.04,145.97,0.69,-0.45,-0.25
4:8:57:4:67981,-122.49,59.94,143.2,0.87,-0.37,-0.25
4:8:57:4:68092,-123.63,58.87,141.86,0.81,-0.46,-0.31
4:8:57:5:68188,-124.94,59.08,139.75,0.87,-0.42,-0.3
4:8:57:5:68592,-125.78,58.37,137.75,0.86,-0.45,-0.3
4:8:57:5:68670,-126.63,61.02,137.54,1.24,-0.37,-0.25
4:8:57:5:68766,-122.77,58.85,141.94,0.65,-0.38,-0.27
4:8:57:5:68894,-129.67,65.53,138.06,0.99,-0.2,-0.3
4:8:57:5:68990,-135.07,66.38,133.64,0.89,-0.28,-0.32
4:8:57:5:69086,-131.28,67.8,136.54,0.95,-0.31,-0.29
4:8:57:6:69214,-125.41,70.49,142.14,0.94,-0.28,-0.18
4:8:57:6:69594,-121.8,72.38,145.03,0.94,-0.25,-0.16
4:8:57:6:69675,-118.94,72.41,148.05,0.95,-0.27,-0.14
4:8:57:6:69785,-115.35,72.46,151.53,0.95,-0.28,-0.14
4:8:57:6:69882,-110.81,72.29,155.59,0.94,-0.26,-0.12
4:8:57:6:69978,-107.34,71.96,158.92,0.92,-0.29,-0.1
4:8:57:6:70106,-106.82,71.65,159.46,0.93,-0.32,-0.1
4:8:57:6:70169,-107.11,71.5,159.13,0.92,-0.3,-0.09
4:8:57:7:70583,-110.22,71.16,155.69,0.93,-0.29,-0.11
4:8:57:7:70677,-110.59,71.19,155.25,0.94,-0.3,-0.12
4:8:57:7:70788,-111.05,71.29,154.72,0.93,-0.29,-0.12
4:8:57:7:70884,-111.1,71.39,154.69,0.94,-0.29,-0.11
