sysTime,serialLOG
4:11:20:14:7128,"
"
4:11:20:14:7128,"OK
"
4:11:20:15:7959,"
"
4:11:20:15:7959,"OK
"
4:11:20:16:9386,"
"
4:11:20:16:9402,"CONNECT 0001953D04A9
"
4:11:20:16:9848,"%,1,6,-91.80,-75.92,26.85,-0.85,-0.28,-0.09
"
4:11:20:16:9848,"%,1,6,-90.94,-73.34,23.28,-0.93,-0.27,-0.04
"
4:11:20:16:9896,"%,1,6,-102.41,-73.48,29.95,-1.06,-0.16,-0.02
"
4:11:20:17:9944,"%,1,6,-119.92,-74.13,43.18,-1.15,-0.14,-0.08
"
4:11:20:17:10088,"%,3,2,2,1
"
4:11:20:17:10088,"%,4,1,3
"
4:11:20:17:10296,"%,2,6,37.2895240,127.0656814,7.16,12,0.45,264.35
"
4:11:20:17:10321,"%,5,2,380.39,231.99
"
4:11:20:17:10322,"%,8,1,0
"
4:11:20:17:10323,"Distance=380.39
"
4:11:20:17:10323,"velocity_air=0.45
"
4:11:20:17:10323,"velocity_fall=-29.80
"
4:11:20:17:10324,"height=71.60
"
4:11:20:17:10324,"estimate_landing_point=-1.08
"
4:11:20:17:10325,"distance_delta=-381.47
"
4:11:20:17:10354,"%,1,6,-111.22,-79.50,30.92,-0.99,-0.25,-0.13
"
4:11:20:17:10450,"%,1,6,-98.78,-78.21,15.99,-1.01,-0.25,-0.01
"
4:11:20:17:10561,"%,1,6,-86.04,-74.22,3.46,-0.90,-0.37,0.09
"
4:11:20:17:10658,"%,1,6,-90.35,-70.85,5.97,-1.06,-0.31,0.08
"
4:11:20:17:10753,"%,1,6,-87.92,-70.12,5.48,-0.84,-0.34,0.18
"
4:11:20:17:10833,"%,1,6,-83.48,-69.61,6.48,-0.97,-0.35,0.17
"
4:11:20:18:10961,"%,1,6,-79.45,-71.44,12.43,-0.92,-0.49,0.13
"
4:11:20:18:11073,"%,3,2,2,1
"
4:11:20:18:11073,"%,4,1,3
"
4:11:20:18:11339,"%,2,6,37.2895240,127.0656661,7.19,12,0.78,247.26
"
4:11:20:18:11340,"%,5,2,379.21,231.89
"
4:11:20:18:11340,"%,8,1,0
"
4:11:20:18:11341,"Distance=379.21
"
4:11:20:18:11341,"velocity_air=0.78
"
4:11:20:18:11341,"velocity_fall=-43.60
"
4:11:20:18:11342,"height=71.90
"
4:11:20:18:11342,"estimate_landing_point=-1.29
"
4:11:20:18:11355,"distance_delta=-380.50
"
4:11:20:18:11355,"%,1,6,-66.21,-62.04,33.97,-1.13,-0.08,0.18
"
4:11:20:18:11451,"%,1,6,-64.69,-63.63,44.51,-0.87,-0.10,0.20
"
4:11:20:18:11563,"%,1,6,-59.30,-67.62,48.30,-0.96,-0.10,0.12
"
4:11:20:18:11659,"%,1,6,-59.03,-68.68,55.35,-0.97,-0.18,0.19
"
4:11:20:18:11755,"%,1,6,-51.55,-66.56,54.61,-0.98,-0.35,0.24
"
4:11:20:18:11851,"%,1,6,-52.53,-60.09,63.75,-1.25,-0.56,0.19
"
4:11:20:19:11963,"%,1,6,-52.57,-59.67,73.89,-0.90,-0.30,0.19
"
4:11:20:19:12074,"%,3,2,2,1
"
4:11:20:19:12090,"%,4,1,3
"
4:11:20:19:12090,"%,7,1,8
"
4:11:20:19:12323,"%,2,6,37.2895202,127.0656509,7.05,12,0.95,229.90
"
4:11:20:19:12323,"%,5,2,377.91,231.80
"
4:11:20:19:12323,"%,8,1,0
"
4:11:20:19:12324,"Distance=377.91
"
4:11:20:19:12324,"velocity_air=0.95
"
4:11:20:19:12324,"velocity_fall=-57.80
"
4:11:20:19:12324,"height=70.50
"
4:11:20:19:12325,"estimate_landing_point=-1.16
"
4:11:20:19:12338,"distance_delta=-379.07
"
4:11:20:19:12354,"%,1,6,-29.27,-72.53,81.44,-1.16,0.06,0.38
"
4:11:20:19:12434,"%,1,6,-34.84,-73.96,85.85,-1.08,0.03,0.23
"
4:11:20:19:12546,"%,1,6,-37.10,-75.33,85.25,-0.83,-0.00,0.17
"
4:11:20:19:12642,"%,1,6,-35.56,-75.42,80.16,-0.61,0.02,0.30
"
4:11:20:19:12738,"%,1,6,-31.74,-74.64,73.58,-1.04,-0.01,0.35
"
4:11:20:19:12834,"%,1,6,-39.64,-75.20,84.22,-1.01,-0.05,0.52
"
4:11:20:20:12962,"%,1,6,-62.42,-74.53,109.55,-1.08,-0.29,0.36
"
4:11:20:20:13073,"%,3,2,2,1
"
4:11:20:20:13073,"%,4,1,3
"
4:11:20:20:13340,"%,2,6,37.2895088,127.0656433,7.18,12,1.16,208.09
"
4:11:20:20:13341,"%,5,2,376.80,231.85
"
4:11:20:20:13341,"%,8,1,0
"
4:11:20:20:13341,"Distance=376.80
"
4:11:20:20:13341,"velocity_air=1.16
"
4:11:20:20:13342,"velocity_fall=-69.80
"
4:11:20:20:13342,"height=71.80
"
4:11:20:20:13342,"estimate_landing_point=-1.19
"
4:11:20:20:13356,"distance_delta=-377.99
"
4:11:20:20:13357,"%,1,6,-69.87,-73.02,123.72,-1.09,-0.12,0.34
"
4:11:20:20:13452,"%,1,6,-67.99,-72.61,120.40,-1.31,-0.25,0.27
"
4:11:20:20:13563,"%,1,6,-77.59,-72.53,127.25,-0.95,-0.12,0.22
"
4:11:20:20:13643,"%,1,6,-78.81,-74.86,127.61,-0.71,-0.09,0.22
"
4:11:20:20:13740,"%,1,6,-78.68,-75.09,127.70,-0.89,-0.01,0.33
"
4:11:20:20:13835,"%,1,6,-70.03,-76.22,124.33,-1.16,0.08,0.49
"
4:11:20:21:13947,"%,1,6,-42.31,-78.80,105.47,-1.18,-0.00,0.38
"
4:11:20:21:14059,"%,3,2,2,1
"
4:11:20:21:14059,"%,4,1,3
"
4:11:20:21:14330,"%,2,6,37.2894973,127.0656280,7.18,12,0.98,219.61
"
4:11:20:21:14331,"%,5,2,374.91,231.89
"
4:11:20:21:14332,"%,8,1,0
"
4:11:20:21:14332,"Distance=374.91
"
4:11:20:21:14332,"velocity_air=0.98
"
4:11:20:21:14333,"velocity_fall=-70.40
"
4:11:20:21:14333,"height=71.80
"
4:11:20:21:14333,"estimate_landing_point=-1.00
"
4:11:20:21:14334,"distance_delta=-375.91
"
4:11:20:21:14345,"%,1,6,-35.41,-61.97,105.98,-0.76,0.11,0.63
"
4:11:20:21:14442,"%,1,6,-26.32,-63.51,98.34,-0.74,0.14,0.66
"
4:11:20:21:14553,"%,1,6,-24.42,-65.59,96.39,-0.80,0.17,0.67
"
4:11:20:21:14649,"%,1,6,-33.59,-67.12,102.98,-0.96,0.11,0.62
"
4:11:20:21:14761,"%,1,6,-31.35,-69.62,99.91,-0.66,0.17,0.52
"
4:11:20:21:14857,"%,1,6,-41.25,-69.96,108.72,-0.59,0.04,0.54
"
