sysTime,roll,pitch,yaw,ax,ay,az
10:19:28:28:65797,-8.87,-4.9,-86.87,-0.08,-0.15,0.97
10:19:28:28:65857,-8.85,-4.91,-86.74,-0.08,-0.16,0.97
10:19:28:28:65935,-8.85,-4.91,-86.76,-0.08,-0.16,0.97
10:19:28:28:66031,-8.85,-4.91,-86.74,-0.08,-0.15,0.97
10:19:28:28:66129,-8.85,-4.91,-86.76,-0.08,-0.15,0.97
10:19:28:29:66350,-8.85,-4.91,-86.77,-0.08,-0.15,0.97
10:19:28:29:66447,-8.85,-4.91,-86.78,-0.08,-0.16,0.97
10:19:28:29:66543,-8.86,-4.92,-86.81,-0.08,-0.16,0.97
10:19:28:29:66637,-8.86,-4.91,-86.8,-0.09,-0.15,0.97
10:19:28:29:66734,-8.86,-4.91,-86.8,-0.08,-0.15,0.97
10:19:28:29:67053,-8.86,-4.92,-86.81,-0.09,-0.15,0.97
10:19:28:29:67054,-8.86,-4.91,-86.8,-0.08,-0.15,0.96
10:19:28:30:67533,-8.84,-4.91,-86.77,-0.08,-0.15,0.97
10:19:28:30:67628,-8.84,-4.91,-86.77,-0.09,-0.16,0.97
10:19:28:30:67739,-8.84,-4.91,-86.77,-0.09,-0.15,0.97
10:19:28:30:67851,-8.84,-4.91,-86.76,-0.09,-0.15,0.97
10:19:28:30:67948,-8.84,-4.9,-86.76,-0.08,-0.16,0.97
10:19:28:30:68042,-8.84,-4.9,-86.74,-0.08,-0.15,0.97
10:19:28:30:68139,-8.85,-4.9,-86.73,-0.08,-0.15,0.97
10:19:28:31:68331,-8.85,-4.9,-86.73,-0.08,-0.16,0.97
10:19:28:31:68442,-8.85,-4.9,-86.71,-0.08,-0.16,0.97
10:19:28:31:68538,-8.85,-4.9,-86.72,-0.08,-0.15,0.97
10:19:28:31:68649,-8.85,-4.91,-86.73,-0.08,-0.15,0.97
10:19:28:31:68747,-8.84,-4.91,-86.73,-0.08,-0.15,0.97
10:19:28:31:68841,-8.83,-4.92,-86.74,-0.08,-0.15,0.96
10:19:28:31:68936,-8.83,-4.92,-86.75,-0.08,-0.15,0.94
10:19:28:32:69544,-8.84,-4.89,-86.76,-0.08,-0.15,0.97
10:19:28:32:69639,-8.85,-4.89,-86.75,-0.08,-0.16,0.97
10:19:28:32:69751,-8.85,-4.89,-86.75,-0.08,-0.15,0.96
10:19:28:32:69845,-8.85,-4.88,-86.71,-0.08,-0.16,0.97
10:19:28:32:69943,-8.86,-4.87,-86.71,-0.08,-0.16,0.97
10:19:28:32:70038,-8.87,-4.89,-86.74,-0.08,-0.15,0.96
10:19:28:32:70135,-8.86,-4.88,-86.74,-0.08,-0.15,0.96
10:19:28:33:70326,-8.87,-4.88,-86.79,-0.08,-0.16,0.98
10:19:28:33:70437,-8.87,-4.89,-86.82,-0.09,-0.16,0.97
10:19:28:33:70533,-8.86,-4.9,-86.84,-0.08,-0.15,0.96
10:19:28:33:70646,-8.86,-4.89,-86.82,-0.08,-0.16,0.98
10:19:28:33:70742,-8.87,-4.89,-86.83,-0.08,-0.15,0.97
10:19:28:33:70837,-8.87,-4.89,-86.83,-0.08,-0.16,0.97
10:19:28:33:70949,-8.86,-4.88,-86.83,-0.09,-0.16,0.97
10:19:28:34:71556,-8.87,-4.89,-86.76,-0.08,-0.16,0.96
10:19:28:34:71636,-8.87,-4.89,-86.76,-0.08,-0.16,0.97
10:19:28:34:71732,-8.87,-4.89,-86.78,-0.08,-0.15,0.97
10:19:28:34:71844,-8.87,-4.9,-86.78,-0.08,-0.15,0.97
10:19:28:34:71939,-8.87,-4.9,-86.79,-0.08,-0.15,0.97
10:19:28:34:72049,-8.86,-4.9,-86.77,-0.09,-0.15,0.97
10:19:28:34:72131,-8.86,-4.9,-86.77,-0.09,-0.15,0.97
10:19:28:35:72338,-8.87,-4.89,-86.76,-0.08,-0.15,0.97
10:19:28:35:72435,-8.87,-4.89,-86.75,-0.08,-0.16,0.96
10:19:28:35:72564,-8.87,-4.89,-86.75,-0.08,-0.15,0.97
10:19:28:35:72641,-8.87,-4.88,-86.73,-0.08,-0.15,0.97
10:19:28:35:72737,-8.87,-4.88,-86.72,-0.08,-0.15,0.97
10:19:28:35:72865,-8.88,-4.88,-86.72,-0.08,-0.15,0.97
10:19:28:35:72929,-8.88,-4.89,-86.73,-0.08,-0.16,0.96
10:19:28:36:73535,-8.87,-4.87,-86.71,-0.08,-0.16,0.97
10:19:28:36:73630,-8.88,-4.88,-86.72,-0.08,-0.15,0.97
10:19:28:36:73760,-8.88,-4.88,-86.7,-0.08,-0.16,0.97
10:19:28:36:73838,-8.87,-4.87,-86.7,-0.08,-0.16,0.96
10:19:28:36:73935,-8.87,-4.87,-86.67,-0.08,-0.16,0.97
10:19:28:36:74030,-8.87,-4.87,-86.68,-0.08,-0.15,0.97
10:19:28:36:74158,-8.87,-4.87,-86.66,-0.08,-0.16,0.97
10:19:28:37:74334,-8.87,-4.88,-86.66,-0.08,-0.16,0.97
10:19:28:37:74430,-8.87,-4.88,-86.65,-0.08,-0.16,0.96
10:19:28:37:74541,-8.88,-4.88,-86.65,-0.08,-0.16,0.96
10:19:28:37:74636,-8.89,-4.87,-86.61,-0.08,-0.16,0.97
10:19:28:37:74732,-8.89,-4.88,-86.61,-0.08,-0.15,0.97
