sysTime,serialLOG
6:10:10:55:27257,"
"
6:10:10:55:27257,"OK
"
6:10:10:56:28246,"
"
6:10:10:56:28246,"OK
"
6:10:10:57:29507,"
"
6:10:10:57:29523,"CONNECT 0001953D04A9
"
6:10:10:57:30054,"%,2,6,37.2895011,127.0657196,72.80,12,0.06,0.00
"
6:10:10:57:30055,"%,5,2,381.56,232.59
"
6:10:10:57:30055,"%,8,1,0
"
6:10:10:57:30055,"Distance=381.56
"
6:10:10:57:30056,"velocity_air=0.06
"
6:10:10:57:30056,"velocity_fall=-60.60
"
6:10:10:57:30056,"height=72.80
"
6:10:10:57:30057,"estimate_landing_point=-0.07
"
6:10:10:57:30057,"distance_delta=-381.63
"
6:10:10:57:30118,"%,1,6,-91.99,-37.97,-121.56,-0.65,-0.77,-0.01,1.01,1.00
"
6:10:10:58:30214,"%,1,6,-92.04,-37.83,-121.29,-0.64,-0.77,-0.01,1.00,1.01
"
6:10:10:58:30326,"%,1,6,-91.89,-38.06,-121.19,-0.65,-0.76,-0.01,1.00,1.00
"
6:10:10:58:30422,"%,1,6,-91.70,-38.20,-121.09,-0.65,-0.76,-0.01,1.00,1.00
"
6:10:10:58:30517,"%,1,6,-91.74,-38.16,-120.90,-0.64,-0.77,-0.00,1.00,1.00
"
6:10:10:58:30613,"%,1,6,-91.86,-38.18,-120.69,-0.64,-0.76,-0.01,1.00,1.00
"
6:10:10:58:30725,"%,1,6,-91.93,-38.13,-120.41,-0.65,-0.77,-0.01,1.01,1.00
"
6:10:10:58:30726,"%,3,2,3,1
"
6:10:10:58:30726,"%,4,1,3
"
6:10:10:58:31013,"%,2,6,37.2895011,127.0657196,72.80,11,0.04,0.00
"
6:10:10:58:31039,"%,5,2,381.56,232.59
"
6:10:10:58:31039,"%,8,1,0
"
6:10:10:58:31040,"Distance=381.56
"
6:10:10:58:31040,"velocity_air=0.04
"
6:10:10:58:31040,"velocity_fall=-72.20
"
6:10:10:58:31041,"height=72.80
"
6:10:10:58:31041,"estimate_landing_point=-0.04
"
6:10:10:58:31055,"distance_delta=-381.60
"
6:10:10:58:31120,"%,1,6,-93.53,-38.34,-119.04,-0.66,-0.76,-0.05,1.00,1.01
"
6:10:10:59:31215,"%,1,6,-94.50,-37.79,-118.55,-0.64,-0.78,-0.05,1.01,1.01
"
6:10:10:59:31327,"%,1,6,-94.88,-37.54,-118.38,-0.63,-0.78,-0.05,1.01,1.01
"
6:10:10:59:31424,"%,1,6,-95.04,-37.68,-118.30,-0.64,-0.77,-0.06,1.00,1.00
"
