sysTime,roll,pitch,yaw,ax,ay,az
3:16:58:46:8764,179.01,-3.7,97.81,-0.06,0.02,-1.02
3:16:58:46:8847,179.01,-3.7,97.85,-0.06,0.02,-1.02
3:16:58:46:8926,179.01,-3.69,97.86,-0.06,0.02,-1.01
3:16:58:46:9063,179.01,-3.69,97.9,-0.06,0.02,-1.02
3:16:58:46:9254,179.01,-3.68,97.94,-0.06,0.02,-1.01
3:16:58:46:9333,179.01,-3.68,97.97,-0.06,0.02,-1.02
3:16:58:46:9446,179.01,-3.68,97.98,-0.06,0.02,-1.01
3:16:58:46:9557,179.01,-3.66,98.0,-0.06,0.02,-1.01
3:16:58:46:9638,179.01,-3.66,98.02,-0.06,0.02,-1.02
3:16:58:46:9750,179.01,-3.66,98.05,-0.06,0.02,-1.02
3:16:58:47:9830,179.01,-3.63,98.05,-0.07,0.01,-1.01
3:16:58:47:10438,179.02,-3.61,98.08,-0.06,0.02,-1.02
3:16:58:47:10534,179.02,-3.61,98.09,-0.06,0.02,-1.02
3:16:58:47:10646,179.02,-3.61,98.1,-0.06,0.02,-1.02
3:16:58:48:10774,179.02,-3.61,98.1,-0.06,0.02,-1.02
3:16:58:48:10853,179.03,-3.59,98.1,-0.06,0.02,-1.01
3:16:58:48:10950,179.04,-3.53,98.04,-0.06,0.02,-1.02
3:16:58:48:11058,179.04,-3.49,98.0,-0.06,0.02,-1.01
3:16:58:48:11234,179.04,-3.48,97.95,-0.06,0.02,-1.02
3:16:58:48:11330,179.04,-3.47,97.92,-0.06,0.02,-1.01
3:16:58:48:11442,179.04,-3.46,97.9,-0.06,0.02,-1.02
3:16:58:48:11537,179.03,-3.46,97.88,-0.06,0.02,-1.02
3:16:58:48:11664,179.04,-3.46,97.85,-0.06,0.02,-1.02
3:16:58:48:11745,179.04,-3.47,97.84,-0.06,0.02,-1.02
3:16:58:49:11857,179.04,-3.47,97.82,-0.06,0.02,-1.01
3:16:58:49:12464,179.04,-3.46,97.71,-0.06,0.02,-1.01
3:16:58:49:12530,179.03,-3.46,97.7,-0.06,0.02,-1.02
3:16:58:49:12656,179.04,-3.45,97.67,-0.06,0.02,-1.02
3:16:58:49:12753,179.04,-3.46,97.67,-0.06,0.02,-1.02
3:16:58:50:12833,179.04,-3.46,97.64,-0.06,0.02,-1.02
3:16:58:50:12944,179.04,-3.47,97.64,-0.06,0.02,-1.02
3:16:58:50:13041,179.04,-3.48,97.62,-0.07,0.02,-1.02
3:16:58:50:13232,179.03,-3.5,97.61,-0.07,0.02,-1.01
3:16:58:50:13329,179.02,-3.51,97.59,-0.06,0.02,-1.02
3:16:58:50:13440,179.03,-3.51,97.58,-0.06,0.02,-1.02
3:16:58:50:13552,179.02,-3.51,97.58,-0.06,0.02,-1.02
3:16:58:50:13648,179.02,-3.51,97.57,-0.06,0.02,-1.02
3:16:58:50:13744,179.02,-3.49,97.54,-0.06,0.02,-1.01
3:16:58:51:13823,179.02,-3.49,97.52,-0.06,0.02,-1.02
3:16:58:51:14432,179.01,-3.55,97.51,-0.06,0.02,-1.02
3:16:58:51:14529,179.01,-3.56,97.53,-0.06,0.02,-1.02
3:16:58:51:14639,179.0,-3.64,97.62,-0.06,0.02,-1.01
3:16:58:51:14735,178.99,-3.69,97.7,-0.06,0.02,-1.01
3:16:58:52:14832,178.98,-3.74,97.78,-0.06,0.02,-1.01
3:16:58:52:14943,178.98,-3.76,97.85,-0.06,0.02,-1.02
3:16:58:52:15040,178.98,-3.78,97.91,-0.06,0.02,-1.02
3:16:58:52:15247,178.98,-3.8,98.04,-0.06,0.02,-1.01
3:16:58:52:15343,178.97,-3.81,98.11,-0.07,0.02,-1.02
3:16:58:52:15439,178.97,-3.82,98.17,-0.06,0.02,-1.02
3:16:58:52:15551,178.97,-3.83,98.24,-0.06,0.02,-1.02
3:16:58:52:15647,178.97,-3.83,98.29,-0.06,0.02,-1.01
3:16:58:52:15743,178.97,-3.84,98.36,-0.06,0.02,-1.02
3:16:58:53:15838,178.97,-3.82,98.41,-0.06,0.02,-1.02
3:16:58:53:16447,178.98,-3.76,98.65,-0.06,0.03,-1.01
3:16:58:53:16528,178.98,-3.75,98.68,-0.06,0.02,-1.01
3:16:58:53:16654,178.98,-3.75,98.72,-0.06,0.02,-1.02
3:16:58:53:16750,178.99,-3.73,98.75,-0.06,0.02,-1.02
3:16:58:54:16846,178.98,-3.73,98.78,-0.06,0.02,-1.01
3:16:58:54:16974,178.99,-3.7,98.8,-0.06,0.02,-1.01
3:16:58:54:17054,178.99,-3.7,98.82,-0.06,0.02,-1.01
3:16:58:54:17263,178.99,-3.69,98.87,-0.06,0.02,-1.02
3:16:58:54:17358,179.0,-3.68,98.89,-0.06,0.02,-1.01
3:16:58:54:17438,179.0,-3.68,98.91,-0.07,0.02,-1.02
3:16:58:54:17550,179.0,-3.68,98.94,-0.06,0.02,-1.01
3:16:58:54:17646,179.0,-3.67,98.96,-0.06,0.02,-1.01
3:16:58:54:17742,178.99,-3.66,98.97,-0.06,0.02,-1.01
3:16:58:55:17853,179.0,-3.66,99.0,-0.07,0.02,-1.01
3:16:58:55:18446,179.02,-3.52,98.94,-0.06,0.02,-1.01
3:16:58:55:18541,179.02,-3.51,98.93,-0.06,0.02,-1.02
3:16:58:55:18637,179.03,-3.47,98.87,-0.06,0.02,-1.02
3:16:58:55:18733,179.04,-3.44,98.82,-0.06,0.02,-1.01
3:16:58:56:18830,179.04,-3.42,98.78,-0.06,0.02,-1.01
3:16:58:56:18941,179.05,-3.4,98.73,-0.06,0.02,-1.02
3:16:58:56:19037,179.05,-3.38,98.67,-0.06,0.02,-1.01
3:16:58:56:19261,179.05,-3.36,98.58,-0.07,0.02,-1.02
3:16:58:56:19341,179.05,-3.36,98.54,-0.06,0.02,-1.01
3:16:58:56:19453,179.05,-3.35,98.49,-0.06,0.02,-1.01
3:16:58:56:19549,179.05,-3.37,98.47,-0.07,0.02,-1.02
3:16:58:56:19628,179.05,-3.38,98.44,-0.07,0.02,-1.02
3:16:58:56:19740,179.05,-3.38,98.41,-0.06,0.02,-1.01
3:16:58:57:19836,179.04,-3.38,98.38,-0.06,0.02,-1.02
3:16:58:57:20429,179.04,-3.4,98.22,-0.06,0.02,-1.02
3:16:58:57:20541,179.04,-3.4,98.19,-0.06,0.02,-1.01
3:16:58:57:20636,179.04,-3.41,98.17,-0.06,0.02,-1.02
3:16:58:57:20733,179.04,-3.42,98.15,-0.06,0.02,-1.02
3:16:58:58:20844,179.04,-3.42,98.12,-0.06,0.02,-1.02
3:16:58:58:20940,179.04,-3.42,98.1,-0.06,0.02,-1.02
3:16:58:58:21036,179.04,-3.41,98.07,-0.06,0.02,-1.02
3:16:58:58:21228,179.04,-3.4,98.0,-0.06,0.02,-1.02
3:16:58:58:21355,179.04,-3.41,97.98,-0.08,0.0,-1.02
3:16:58:58:21452,179.03,-3.44,97.98,-0.07,0.02,-1.02
3:16:58:58:21547,179.03,-3.52,98.04,-0.06,0.02,-1.02
3:16:58:58:21644,179.02,-3.59,98.1,-0.06,0.02,-1.02
