sysTime,roll,pitch,yaw,ax,ay,az
3:17:45:53:16405,-93.29,-74.48,119.35,-0.96,-0.26,-0.02
3:17:45:53:16502,-93.29,-74.48,119.37,-0.95,-0.26,-0.02
3:17:45:53:16596,-93.3,-74.49,119.39,-0.96,-0.26,-0.01
3:17:45:53:16708,-93.3,-74.48,119.45,-0.96,-0.27,-0.02
3:17:45:53:16805,-93.3,-74.5,119.46,-0.96,-0.26,-0.02
3:17:45:54:16900,-93.3,-74.45,119.62,-0.96,-0.27,-0.02
3:17:45:54:16996,-93.31,-74.48,119.73,-0.96,-0.26,-0.02
3:17:45:58:21409,-94.25,-71.06,119.34,-1.0,-0.3,-0.07
3:17:45:58:21506,-91.27,-70.18,116.91,-1.19,-0.42,-0.0
3:17:45:58:21601,-90.92,-71.01,117.52,-1.0,-0.42,-0.02
3:17:45:58:21699,-91.61,-70.27,118.35,-0.94,-0.38,-0.07
3:17:45:58:21809,-91.87,-68.9,118.17,-0.91,-0.4,-0.01
3:17:45:59:21905,-91.8,-66.06,117.28,-0.91,-0.42,-0.02
3:17:45:59:22001,-91.83,-64.66,117.01,-0.9,-0.42,-0.02
3:17:46:3:26399,169.78,-45.4,-126.72,-0.76,0.1,-0.8
3:17:46:3:26495,169.31,-12.24,-137.26,-0.19,0.24,-0.86
3:17:46:3:26606,172.5,3.09,-137.18,0.12,0.11,-1.04
3:17:46:3:26703,175.87,9.59,-135.8,0.13,0.1,-1.01
3:17:46:3:26798,-178.7,-9.81,-126.11,-0.23,-0.02,-0.98
3:17:46:4:26910,174.93,-40.39,-113.26,-0.61,0.05,-0.88
3:17:46:4:27006,161.55,-56.52,-103.52,-0.79,0.15,-0.62
3:17:46:8:31404,146.86,-15.4,-139.57,-0.27,0.54,-0.83
3:17:46:8:31500,143.88,2.42,-148.24,0.02,0.6,-0.81
3:17:46:8:31596,142.35,15.52,-154.7,0.28,0.58,-0.78
3:17:46:8:31707,143.57,20.35,-155.79,0.35,0.58,-0.78
3:17:46:8:31802,142.05,29.48,-161.95,0.46,0.54,-0.73
3:17:46:9:31899,141.35,39.42,-169.39,0.61,0.45,-0.59
3:17:46:9:31995,161.02,37.68,-161.19,0.6,0.27,-0.74
3:17:47:1:84699,19.51,-40.61,82.9,-0.62,0.26,0.68
3:17:47:1:84810,19.77,-41.69,83.12,-0.66,0.26,0.68
3:17:47:2:84907,19.81,-43.68,83.07,-0.65,0.26,0.67
3:17:47:2:85002,18.85,-43.78,84.86,-0.66,0.22,0.68
3:17:47:2:85099,18.05,-44.17,86.98,-0.72,0.25,0.73
3:17:47:2:85210,17.11,-41.5,89.82,-0.63,0.18,0.75
3:17:47:2:85306,16.62,-35.27,93.86,-0.49,0.13,0.97
3:17:47:6:89703,174.18,26.39,102.39,0.39,0.23,-0.96
3:17:47:6:89799,172.25,13.29,93.06,0.21,0.24,-1.1
3:17:47:7:89896,173.08,6.63,88.25,0.07,0.19,-1.22
3:17:47:7:90008,174.67,8.46,85.05,0.1,0.1,-1.07
3:17:47:7:90103,179.83,7.75,81.79,0.07,0.0,-1.04
3:17:47:7:90199,-171.47,9.97,81.54,0.14,-0.23,-0.92
3:17:47:7:90310,-155.5,12.82,79.03,0.17,-0.36,-0.9
3:17:47:11:94709,-150.6,-25.56,50.98,-0.31,-0.37,-0.65
3:17:47:11:94805,-140.81,-20.34,57.02,-0.32,-0.68,-0.63
3:17:47:12:94901,-140.69,-19.5,58.96,-0.3,-0.7,-0.79
3:17:47:12:94997,-146.14,-17.88,58.95,-0.3,-0.57,-0.93
3:17:47:12:95108,-153.18,-12.54,63.29,-0.25,-0.5,-0.95
3:17:47:12:95204,-170.77,2.26,75.52,0.09,-0.22,-0.91
3:17:47:12:95300,167.37,16.48,84.33,0.3,0.19,-0.94
3:17:47:16:99698,178.87,-4.13,38.43,-0.09,0.03,-1.02
3:17:47:16:99809,179.99,-3.48,38.72,-0.06,-0.02,-1.04
