sysTime,roll,pitch,yaw,ax,ay,az
4:19:10:17:12780,176.1,1.59,-120.54,0.03,0.07,-1.03
4:19:10:17:12876,176.16,1.69,-120.53,0.03,0.07,-1.03
4:19:10:17:12975,176.2,1.75,-120.51,0.03,0.07,-1.03
4:19:10:18:13070,176.19,1.73,-120.51,0.03,0.07,-1.03
4:19:10:18:13180,176.14,1.65,-120.52,0.03,0.07,-1.04
4:19:10:18:13279,176.11,1.61,-120.52,0.03,0.07,-1.04
4:19:10:18:13372,176.15,1.67,-120.52,0.03,0.07,-1.03
4:19:10:22:17770,176.17,1.68,-120.73,0.03,0.07,-1.04
4:19:10:22:17880,176.23,1.78,-120.81,0.04,0.07,-1.04
4:19:10:22:17977,176.15,1.69,-120.87,0.03,0.07,-1.04
4:19:10:23:18073,175.99,1.41,-120.78,0.02,0.07,-1.04
4:19:10:23:18169,175.98,1.36,-120.74,0.02,0.07,-1.03
4:19:10:23:18281,176.12,1.61,-120.81,0.03,0.07,-1.04
4:19:10:23:18377,176.27,1.85,-120.85,0.04,0.07,-1.04
