sysTime,roll,pitch,yaw,ax,ay,az
11:22:42:17:8462,2.61,-3.22,-78.74,-0.04,0.05,0.97
11:22:42:17:8578,2.58,-3.23,-78.74,-0.05,0.06,1.0
11:22:42:17:8671,2.59,-3.23,-78.74,-0.04,0.03,1.0
11:22:42:17:8765,2.6,-3.23,-78.74,-0.06,0.04,0.98
11:22:42:17:8877,2.6,-3.23,-78.75,-0.06,0.05,0.99
11:22:42:17:8973,2.59,-3.23,-78.76,-0.05,0.05,1.0
11:22:42:18:9070,2.59,-3.23,-78.77,-0.06,0.03,0.98
11:22:42:19:10372,2.58,-3.25,-78.73,-0.07,0.03,0.99
11:22:42:19:10481,2.6,-3.25,-78.76,-0.07,0.03,1.0
11:22:42:19:10592,2.6,-3.24,-78.76,-0.07,0.04,0.97
11:22:42:19:10671,2.6,-3.25,-78.77,-0.04,0.04,0.98
11:22:42:19:10766,2.58,-3.24,-78.78,-0.06,0.05,0.99
11:22:42:19:10862,2.59,-3.24,-78.78,-0.06,0.02,0.99
11:22:42:19:10959,2.6,-3.25,-78.78,-0.07,0.04,0.97
11:22:42:20:11069,2.61,-3.24,-78.79,-0.04,0.05,0.98
11:22:42:21:12387,2.59,-3.24,-78.89,-0.04,0.05,0.98
11:22:42:21:12467,2.58,-3.24,-78.89,-0.05,0.06,0.99
11:22:42:21:12564,2.58,-3.24,-78.9,-0.05,0.03,1.0
11:22:42:21:12675,2.6,-3.24,-78.89,-0.06,0.04,0.97
11:22:42:21:12786,2.6,-3.23,-78.88,-0.05,0.04,0.99
11:22:42:21:12865,2.59,-3.24,-78.88,-0.05,0.05,0.99
11:22:42:21:12962,2.59,-3.24,-78.87,-0.06,0.03,0.98
11:22:42:22:13089,2.6,-3.24,-78.88,-0.06,0.03,0.99
11:22:42:23:14380,2.61,-3.26,-78.5,-0.06,0.03,0.99
11:22:42:23:14475,2.6,-3.24,-78.48,-0.07,0.04,0.97
11:22:42:23:14603,2.59,-3.26,-78.47,-0.05,0.05,0.98
11:22:42:23:14667,2.58,-3.27,-78.46,-0.06,0.05,0.99
11:22:42:23:14778,2.59,-3.26,-78.45,-0.05,0.02,0.99
11:22:42:23:14874,2.6,-3.25,-78.46,-0.06,0.04,0.97
11:22:42:23:14972,2.61,-3.24,-78.46,-0.03,0.05,0.97
11:22:42:24:15068,2.6,-3.25,-78.45,-0.05,0.06,0.99
