sysTime,serialLOG
11:15:16:55:11534,"�Cansat start
"
11:15:16:57:12911,"vincenty OK
"
11:15:16:57:12912,"[1401] Turn winch(manu):
"
11:15:16:57:12913,"[1401] 0.00
"
11:15:16:57:13374,"%,5,2,13204130.00,46.33
"
11:15:16:57:13375,"%,6,2,46.33,-60.00
"
11:15:16:57:13423,"%,1,6,-8.76,-3.85,-78.14,-0.07,-0.15,0.97
"
11:15:16:57:13535,"%,1,6,-8.77,-3.84,-78.12,-0.06,-0.15,0.97
"
11:15:16:58:13631,"%,1,6,-8.76,-3.85,-78.12,-0.06,-0.16,0.97
"
11:15:16:58:13727,"%,1,6,-8.77,-3.86,-78.15,-0.07,-0.15,0.97
"
11:15:16:58:13823,"%,1,6,-8.77,-3.86,-78.15,-0.06,-0.15,0.98
"
11:15:16:58:13900,"%,3,1,3
"
11:15:16:58:13918,"%,4,1,0
"
11:15:16:58:13933,"%,1,6,-8.76,-3.87,-78.17,-0.07,-0.15,0.97
"
11:15:16:58:14030,"%,1,6,-8.77,-3.86,-78.18,-0.06,-0.16,0.97
"
11:15:16:58:14221,"%,5,2,13204130.00,46.33
"
11:15:16:58:14223,"%,6,2,46.33,-60.00
"
11:15:16:58:14333,"%,1,6,-8.78,-3.86,-78.21,-0.06,-0.15,0.97
"
11:15:16:58:14429,"%,1,6,-8.77,-3.85,-78.20,-0.07,-0.15,0.97
"
11:15:16:58:14523,"%,1,6,-8.78,-3.85,-78.20,-0.07,-0.15,0.97
"
11:15:16:59:14620,"%,1,6,-8.78,-3.84,-78.20,-0.06,-0.16,0.97
"
11:15:16:59:14731,"%,1,6,-8.77,-3.84,-78.20,-0.07,-0.15,0.96
"
11:15:16:59:14828,"%,1,6,-8.77,-3.85,-78.21,-0.07,-0.16,0.97
"
11:15:16:59:14907,"%,3,1,3
"
11:15:16:59:14908,"%,4,1,0
"
11:15:16:59:15387,"%,5,2,13204130.00,46.33
"
11:15:16:59:15388,"%,6,2,46.33,-60.00
"
11:15:16:59:15434,"%,1,6,-8.76,-3.85,-78.24,-0.07,-0.15,0.97
"
11:15:16:59:15529,"%,1,6,-8.76,-3.84,-78.22,-0.06,-0.15,0.97
"
11:15:17:0:15626,"%,1,6,-8.76,-3.84,-78.22,-0.06,-0.15,0.97
"
11:15:17:0:15721,"%,1,6,-8.76,-3.84,-78.21,-0.06,-0.15,0.97
"
11:15:17:0:15833,"%,1,6,-8.77,-3.84,-78.21,-0.07,-0.15,0.97
"
11:15:17:0:15896,"%,3,1,3
"
11:15:17:0:15896,"%,4,1,0
"
11:15:17:0:15929,"%,1,6,-8.77,-3.85,-78.21,-0.07,-0.15,0.97
"
11:15:17:0:16024,"%,1,6,-8.77,-3.85,-78.21,-0.07,-0.16,0.97
"
11:15:17:0:16217,"%,5,2,13204130.00,46.33
"
11:15:17:0:16218,"%,6,2,46.33,-60.00
"
11:15:17:0:16329,"%,1,6,-8.78,-3.97,-78.65,-0.07,-0.16,0.96
"
11:15:17:0:16426,"%,1,6,-8.79,-4.02,-78.86,-0.06,-0.15,0.97
"
11:15:17:0:16534,"%,1,6,-8.80,-4.05,-79.04,-0.06,-0.15,0.97
"
11:15:17:1:16631,"%,1,6,-8.80,-4.07,-79.21,-0.06,-0.16,0.97
"
11:15:17:1:16727,"%,1,6,-8.80,-4.07,-79.36,-0.06,-0.15,0.97
"
11:15:17:1:16823,"%,1,6,-8.79,-4.08,-79.49,-0.06,-0.15,0.97
"
11:15:17:1:16902,"%,3,1,3
"
11:15:17:1:16903,"%,4,1,0
"
11:15:17:1:17381,"%,5,2,13204130.00,46.33
"
11:15:17:1:17382,"%,6,2,46.33,-60.00
"
11:15:17:1:17431,"%,1,6,-8.81,-4.06,-80.19,-0.07,-0.15,0.97
"
11:15:17:1:17525,"%,1,6,-8.80,-4.04,-80.27,-0.06,-0.15,0.97
"
11:15:17:2:17621,"%,1,6,-8.80,-4.02,-80.34,-0.06,-0.15,0.97
"
11:15:17:2:17733,"%,1,6,-8.80,-4.01,-80.40,-0.06,-0.15,0.97
"
11:15:17:2:17830,"%,1,6,-8.80,-4.01,-80.45,-0.07,-0.16,0.97
"
11:15:17:2:17892,"%,3,1,3
"
11:15:17:2:17892,"%,4,1,0
"
11:15:17:2:17924,"%,1,6,-8.77,-3.91,-80.25,-0.07,-0.20,0.98
"
11:15:17:2:18019,"%,1,6,-8.76,-3.83,-80.01,-0.06,-0.15,0.97
"
11:15:17:2:18211,"%,5,2,13204130.00,46.33
"
11:15:17:2:18227,"%,6,2,46.33,-60.00
"
11:15:17:2:18323,"%,1,6,-8.74,-3.68,-79.30,-0.07,-0.15,0.97
"
11:15:17:2:18433,"%,1,6,-8.75,-3.71,-79.25,-0.07,-0.16,0.98
"
11:15:17:2:18530,"%,1,6,-8.74,-3.69,-79.13,-0.07,-0.16,0.97
"
11:15:17:3:18626,"%,1,6,-8.75,-3.70,-79.09,-0.07,-0.16,0.97
"
11:15:17:3:18723,"%,1,6,-8.74,-3.69,-78.98,-0.06,-0.16,0.97
"
11:15:17:3:18834,"%,1,6,-8.74,-3.71,-78.94,-0.07,-0.15,0.97
"
11:15:17:3:18881,"%,3,1,3
"
11:15:17:3:18881,"%,4,1,0
"
11:15:17:3:19376,"%,5,2,13204130.00,46.33
"
11:15:17:3:19377,"%,6,2,46.33,-60.00
"
11:15:17:3:19425,"%,1,6,-8.76,-3.80,-78.87,-0.07,-0.15,0.97
"
11:15:17:3:19521,"%,1,6,-8.77,-3.83,-78.91,-0.07,-0.15,0.97
"
11:15:17:4:19633,"%,1,6,-8.76,-3.84,-78.93,-0.07,-0.16,0.96
"
11:15:17:4:19729,"%,1,6,-8.77,-3.85,-78.97,-0.07,-0.15,0.97
"
11:15:17:4:19824,"%,1,6,-8.77,-3.86,-78.99,-0.06,-0.15,0.97
"
11:15:17:4:19887,"%,3,1,3
"
11:15:17:4:19887,"%,4,1,0
"
11:15:17:4:19920,"%,1,6,-8.78,-3.86,-79.02,-0.07,-0.15,0.97
"
11:15:17:4:20032,"%,1,6,-8.77,-3.87,-79.05,-0.06,-0.16,0.98
"
11:15:17:4:20224,"%,5,2,13204130.00,46.33
"
11:15:17:4:20225,"%,6,2,46.33,-60.00
"
11:15:17:4:20335,"%,1,6,-8.77,-3.89,-79.15,-0.07,-0.16,0.97
"
11:15:17:4:20431,"%,1,6,-8.77,-3.88,-79.14,-0.07,-0.15,0.98
"
11:15:17:4:20526,"%,1,6,-8.77,-3.87,-79.15,-0.06,-0.15,0.97
"
11:15:17:5:20623,"%,1,6,-8.78,-3.87,-79.15,-0.07,-0.15,0.97
"
11:15:17:5:20734,"%,1,6,-8.77,-3.87,-79.17,-0.06,-0.15,0.97
"
11:15:17:5:20830,"%,1,6,-8.77,-3.88,-79.23,-0.07,-0.15,0.97
"
11:15:17:5:20876,"%,3,1,3
"
11:15:17:5:20877,"%,4,1,0
"
11:15:17:5:21372,"%,5,2,13204130.00,46.33
"
11:15:17:5:21387,"%,6,2,46.33,-60.00
"
11:15:17:5:21420,"%,1,6,-8.78,-3.87,-79.28,-0.07,-0.15,0.97
"
11:15:17:5:21532,"%,1,6,-8.77,-3.87,-79.30,-0.07,-0.15,0.97
"
11:15:17:6:21629,"%,1,6,-8.77,-3.87,-79.28,-0.07,-0.15,0.98
"
11:15:17:6:21724,"%,1,6,-8.78,-3.87,-79.32,-0.07,-0.16,0.97
"
11:15:17:6:21835,"%,1,6,-8.77,-3.86,-79.32,-0.07,-0.16,0.98
"
11:15:17:6:21866,"%,3,1,3
"
11:15:17:6:21882,"%,4,1,0
"
11:15:17:6:21932,"%,1,6,-8.76,-3.85,-79.31,-0.06,-0.15,0.97
"
11:15:17:6:22027,"%,1,6,-8.76,-3.86,-79.33,-0.07,-0.15,0.97
"
11:15:17:6:22218,"%,5,2,13204130.00,46.33
"
11:15:17:6:22218,"%,6,2,46.33,-60.00
"
11:15:17:6:22330,"%,1,6,-8.74,-3.80,-79.21,-0.03,-0.11,0.97
"
11:15:17:6:22427,"%,1,6,-8.80,-3.89,-79.29,-0.07,-0.14,0.97
"
11:15:17:6:22523,"%,1,6,-8.79,-3.87,-79.29,-0.07,-0.16,0.97
"
11:15:17:7:22633,"%,1,6,-8.77,-3.84,-79.21,-0.06,-0.15,0.97
"
11:15:17:7:22730,"%,1,6,-8.77,-3.84,-79.17,-0.07,-0.15,0.98
"
11:15:17:7:22825,"%,1,6,-8.77,-3.82,-79.12,-0.07,-0.15,0.97
"
11:15:17:7:22872,"%,3,1,3
"
11:15:17:7:22873,"%,4,1,0
"
11:15:17:7:23383,"%,5,2,13204130.00,46.33
"
11:15:17:7:23384,"%,6,2,46.33,-60.00
"
11:15:17:7:23432,"%,1,6,-8.76,-3.79,-78.84,-0.07,-0.15,0.97
"
11:15:17:7:23528,"%,1,6,-8.75,-3.80,-78.84,-0.07,-0.15,0.97
"
11:15:17:8:23623,"%,1,6,-8.75,-3.79,-78.82,-0.06,-0.15,0.97
"
11:15:17:8:23735,"%,1,6,-8.75,-3.79,-78.79,-0.06,-0.15,0.97
"
11:15:17:8:23832,"%,1,6,-8.74,-3.80,-78.79,-0.06,-0.15,0.97
"
11:15:17:8:23862,"%,3,1,3
"
11:15:17:8:23862,"%,4,1,0
"
11:15:17:8:23927,"%,1,6,-8.73,-3.80,-78.78,-0.06,-0.15,0.97
"
11:15:17:8:24023,"%,1,6,-8.73,-3.81,-78.79,-0.07,-0.15,0.97
"
11:15:17:8:24214,"%,5,2,13204130.00,46.33
"
11:15:17:8:24214,"%,6,2,46.33,-60.00
"
11:15:17:8:24326,"%,1,6,-8.74,-3.82,-78.76,-0.07,-0.15,0.97
"
11:15:17:8:24421,"%,1,6,-8.74,-3.82,-78.74,-0.07,-0.15,0.97
"
11:15:17:8:24532,"%,1,6,-8.73,-3.82,-78.74,-0.06,-0.15,0.96
"
11:15:17:9:24629,"%,1,6,-8.74,-3.83,-78.74,-0.07,-0.15,0.97
"
11:15:17:9:24726,"%,1,6,-8.74,-3.83,-78.74,-0.06,-0.15,0.97
"
11:15:17:9:24822,"%,1,6,-8.76,-3.84,-78.75,-0.07,-0.15,0.97
"
11:15:17:9:24867,"%,3,1,3
"
11:15:17:9:24868,"%,4,1,0
"
