sysTime,roll,pitch,yaw,ax,ay,az,sqrt(ax^2+ay^2+az^2),average
5:20:46:44:11284,1.38,-2.92,-91.78,-0.05,0.02,0.98,0.98,NaN
5:20:46:45:12112,1.36,-2.8,-91.54,-0.05,0.02,0.98,0.99,NaN
5:20:46:46:13102,1.36,-2.8,-91.15,-0.05,0.02,0.98,0.98,NaN
5:20:46:47:14110,1.37,-2.85,-90.9,-0.05,0.02,0.99,0.99,NaN
5:20:46:48:15102,1.36,-2.87,-90.75,-0.05,0.02,0.98,0.98,NaN
5:20:46:49:16107,1.21,-4.58,-93.01,-0.1,-0.03,0.96,0.97,NaN
5:20:46:50:17098,24.27,-20.65,-159.98,-0.32,0.45,0.81,0.98,NaN
5:20:46:50:18074,26.62,-16.73,-148.64,-0.23,0.4,0.77,0.9,NaN
5:20:46:52:19082,49.93,-23.54,-102.27,-0.45,0.74,0.4,0.95,NaN
5:20:46:53:20089,13.2,7.27,-96.2,0.21,0.27,0.83,0.9,NaN
5:20:46:54:21080,13.9,-13.22,-100.56,-0.38,0.22,0.97,1.07,NaN
5:20:46:54:22071,1.18,-0.18,-125.22,-0.14,-0.04,1.21,1.22,NaN
5:20:46:55:23063,1.67,-1.3,-120.62,-0.04,0.03,0.98,0.98,NaN
5:20:46:56:24070,-22.4,46.59,-142.15,0.75,-0.31,0.5,0.95,NaN
5:20:46:57:25060,40.12,15.15,-129.74,0.24,0.71,0.73,1.05,NaN
5:20:46:58:26068,-11.68,21.47,165.82,0.27,-0.19,0.95,1.01,NaN
5:20:46:59:27044,-43.22,37.6,-171.19,0.71,-0.47,0.3,0.9,NaN
5:20:47:0:28036,-26.32,26.08,-175.08,0.12,-0.23,-0.72,0.76,NaN
5:20:47:1:29026,29.23,-13.96,-153.42,-0.28,0.87,0.59,1.09,NaN
5:20:47:2:30034,0.9,3.8,-175.31,-0.93,0.26,0.93,1.34,NaN
5:20:47:3:31024,0.7,1.62,-140.91,-0.57,0.42,0.94,1.18,NaN
5:20:47:4:32032,14.3,6.88,-102.7,0.05,0.17,1.06,1.08,NaN
5:20:47:5:33006,3.26,-5.56,-81.88,-0.07,0.03,1.01,1.02,NaN
5:20:47:6:33998,4.76,-6.85,-105.34,-0.05,0.05,0.98,0.98,NaN
5:20:47:7:35021,3.97,-4.53,-114.93,-0.04,0.05,0.98,0.98,NaN
5:20:47:8:36011,3.46,-3.29,-119.98,-0.05,0.05,0.98,0.98,NaN
5:20:47:9:36891,3.22,-2.86,-121.71,-0.04,0.05,0.98,0.98,NaN
5:20:47:10:38026,3.12,-2.69,-122.79,-0.04,0.05,0.98,0.98,NaN
5:20:47:11:38985,3.08,-2.61,-123.22,-0.04,0.05,0.98,0.99,NaN
5:20:47:12:39993,3.03,-2.55,-123.28,-0.04,0.05,0.98,0.98,NaN
5:20:47:13:41000,3.07,-2.56,-123.42,-0.04,0.05,0.98,0.98,NaN
5:20:47:14:41990,3.05,-2.56,-123.61,-0.04,0.05,0.98,0.98,NaN
5:20:47:15:42982,3.05,-2.55,-123.63,-0.04,0.05,0.98,0.98,NaN
5:20:47:16:44005,3.04,-2.54,-123.62,-0.05,0.06,0.98,0.99,NaN
5:20:47:17:44980,3.04,-2.56,-123.5,-0.05,0.05,0.98,0.99,NaN
5:20:47:18:45975,3.06,-2.56,-123.46,-0.04,0.05,0.98,0.99,NaN
5:20:47:19:46979,3.07,-2.57,-123.56,-0.04,0.04,0.98,0.98,NaN
5:20:47:20:47986,3.06,-2.58,-123.73,-0.04,0.05,0.98,0.98,NaN
5:20:47:21:48961,3.06,-2.56,-123.7,-0.04,0.05,0.98,0.98,NaN
5:20:47:22:49984,3.07,-2.58,-123.68,-0.04,0.04,0.98,0.98,NaN
5:20:47:23:50927,3.05,-2.55,-123.62,-0.04,0.05,0.98,0.98,NaN
