sysTime,serialLOG
4:23:51:34:533385,"
"
4:23:51:34:533385,"OK
"
4:23:51:35:534380,"
"
4:23:51:35:534381,"OK
"
4:23:51:36:535350,"
"
4:23:51:36:535366,"CONNECT 0001953D04A9
"
4:23:51:36:535617,"%,1,6,77.36,56.86,27.56,0.84,0.52,0.09
"
4:23:51:36:535618,"%,1,6,77.08,56.70,27.60,0.83,0.53,0.16
"
4:23:51:36:535665,"%,1,6,77.33,56.36,28.24,0.81,0.56,0.11
"
4:23:51:37:535743,"%,1,6,77.02,56.65,28.01,0.83,0.52,0.15
"
4:23:51:37:535856,"%,1,6,76.75,56.70,27.88,0.83,0.53,0.12
"
4:23:51:37:535952,"%,1,6,76.94,56.85,28.21,0.84,0.53,0.12
"
4:23:51:37:536047,"%,1,6,76.94,56.81,28.14,0.84,0.53,0.12
"
4:23:51:37:536240,"%,1,6,76.56,57.64,27.99,0.87,0.47,0.12
"
4:23:51:37:536335,"%,1,6,77.19,57.39,28.48,0.83,0.54,0.11
"
4:23:51:37:536448,"%,1,6,77.16,56.34,27.67,0.84,0.52,0.13
"
4:23:51:37:536542,"%,1,6,77.50,55.09,26.91,0.80,0.58,0.12
"
4:23:51:37:536640,"%,1,6,77.26,55.17,27.39,0.82,0.55,0.13
"
4:23:51:38:536735,"%,1,6,77.48,55.59,28.15,0.82,0.55,0.12
"
4:23:51:38:536847,"%,1,6,77.27,55.60,27.88,0.82,0.54,0.14
"
4:23:51:38:536926,"%,3,2,3,1
"
4:23:51:38:536927,"%,4,1,1
"
4:23:51:38:536927,"%,7,1,0
"
4:23:51:38:537294,"%,3,2,3,1
"
4:23:51:38:537294,"%,4,1,1
"
4:23:51:38:537439,"%,1,6,79.40,56.96,30.55,0.85,0.51,0.09
"
4:23:51:38:537534,"%,1,6,78.44,56.48,28.95,0.81,0.55,0.17
"
4:23:51:38:537646,"%,1,6,78.43,55.90,30.04,0.83,0.55,0.10
"
4:23:51:39:537742,"%,1,6,79.17,56.00,30.67,0.83,0.54,0.12
"
4:23:51:39:537839,"%,1,6,80.29,56.08,33.99,0.83,0.55,0.06
"
4:23:51:39:537949,"%,1,6,79.90,54.81,34.73,0.80,0.57,0.18
"
4:23:51:39:538046,"%,1,6,79.77,53.59,33.50,0.79,0.60,0.08
"
4:23:51:39:538238,"%,1,6,77.95,55.14,30.31,0.82,0.55,0.12
"
4:23:51:39:538349,"%,1,6,77.46,55.48,29.54,0.81,0.55,0.14
"
4:23:51:39:538430,"%,1,6,77.15,56.00,29.34,0.84,0.52,0.11
"
4:23:51:39:538542,"%,1,6,76.77,56.05,28.77,0.83,0.54,0.14
"
4:23:51:39:538654,"%,1,6,77.03,55.64,28.51,0.82,0.55,0.12
"
4:23:51:40:538749,"%,1,6,76.83,55.51,28.17,0.82,0.55,0.13
"
4:23:51:40:538845,"%,1,6,76.99,54.98,28.19,0.82,0.55,0.13
"
4:23:51:40:538925,"%,3,2,3,1
"
4:23:51:40:538925,"%,4,1,1
"
4:23:51:40:539277,"%,3,2,3,1
"
4:23:51:40:539277,"%,4,1,1
"
4:23:51:40:539437,"%,1,6,75.89,56.99,27.59,0.84,0.52,0.13
"
4:23:51:40:539533,"%,1,6,75.86,57.04,27.36,0.84,0.52,0.14
"
4:23:51:40:539645,"%,1,6,75.75,57.14,27.38,0.84,0.52,0.13
"
4:23:51:41:539740,"%,1,6,75.77,57.03,27.41,0.82,0.54,0.14
"
4:23:51:41:539836,"%,1,6,75.39,57.47,26.98,0.85,0.50,0.16
"
4:23:51:41:539932,"%,1,6,75.54,57.15,26.72,0.83,0.53,0.14
"
4:23:51:41:540060,"%,1,6,75.72,56.82,27.09,0.84,0.51,0.14
"
4:23:51:41:540284,"%,3,2,3,1
"
4:23:51:41:540284,"%,4,1,1
"
4:23:51:41:540348,"%,1,6,75.98,56.12,26.53,0.83,0.53,0.16
"
4:23:51:41:540444,"%,1,6,76.11,55.63,26.44,0.83,0.54,0.12
"
4:23:51:41:540540,"%,1,6,76.64,54.67,27.09,0.81,0.57,0.15
"
4:23:51:41:540652,"%,1,6,76.47,53.67,26.97,0.79,0.58,0.17
"
4:23:51:42:540748,"%,1,6,77.31,51.96,28.42,0.80,0.58,0.12
"
4:23:51:42:540844,"%,1,6,78.49,48.24,27.81,0.70,0.71,0.13
"
4:23:51:42:540956,"%,1,6,78.74,46.85,28.95,0.72,0.68,0.11
"
4:23:51:42:541275,"%,3,2,3,1
"
4:23:51:42:541275,"%,4,1,1
"
4:23:51:42:541275,"%,7,1,0
"
4:23:51:42:541451,"%,1,6,78.03,49.06,30.24,0.73,0.67,0.14
"
4:23:51:42:541547,"%,1,6,77.53,51.28,30.47,0.80,0.58,0.13
"
4:23:51:42:541643,"%,1,6,77.43,51.84,29.48,0.77,0.62,0.11
"
4:23:51:43:541707,"1,Command without attached callback;
"
4:23:51:43:541740,"%,1,6,76.99,52.24,28.66,0.79,0.60,0.10
"
4:23:51:43:541835,"%,1,6,75.21,52.87,25.97,0.78,0.58,0.18
"
4:23:51:43:541946,"%,1,6,75.59,54.10,28.64,0.83,0.55,0.12
"
4:23:51:43:542043,"%,1,6,76.26,54.09,30.06,0.79,0.59,0.13
"
4:23:51:43:542251,"%,1,6,77.33,54.36,32.18,0.82,0.57,0.07
"
4:23:51:43:542347,"%,1,6,78.48,52.33,32.52,0.78,0.60,0.15
"
4:23:51:43:542443,"%,1,6,78.44,51.25,32.55,0.77,0.62,0.11
"
4:23:51:43:542539,"%,1,6,78.35,49.72,32.72,0.77,0.61,0.14
"
4:23:51:43:542635,"%,1,6,78.78,47.40,32.33,0.70,0.70,0.12
"
4:23:51:44:542730,"%,1,6,78.35,47.80,32.25,0.73,0.67,0.14
"
4:23:51:44:542858,"%,1,6,77.38,49.51,32.78,0.78,0.60,0.14
"
4:23:51:44:542966,"%,3,2,3,1
"
4:23:51:44:542966,"%,4,1,1
"
4:23:51:44:542966,"37.2898483,127.0650863,68.50
"
4:23:51:44:542967,"0,Home Position updated;
"
4:23:51:44:543269,"%,3,2,3,1
"
4:23:51:44:543269,"%,4,1,1
"
4:23:51:44:543446,"%,1,6,78.39,47.48,34.88,0.74,0.66,0.13
"
4:23:51:44:543542,"%,1,6,78.52,47.21,35.05,0.72,0.67,0.13
"
4:23:51:44:543654,"%,1,6,78.46,47.19,34.96,0.73,0.66,0.13
"
4:23:51:45:543750,"%,1,6,78.43,47.02,34.87,0.72,0.67,0.13
"
4:23:51:45:543845,"%,1,6,78.06,47.05,34.44,0.72,0.66,0.15
"
4:23:51:45:543957,"%,1,6,78.07,46.97,34.74,0.74,0.66,0.13
"
4:23:51:45:544038,"%,1,6,77.94,46.17,33.42,0.70,0.69,0.17
"
4:23:51:45:544245,"%,1,6,77.59,47.41,33.37,0.74,0.65,0.12
"
4:23:51:45:544341,"%,1,6,77.15,49.22,33.20,0.77,0.62,0.13
"
4:23:51:45:544453,"%,1,6,77.36,49.42,33.52,0.77,0.62,0.15
"
4:23:51:45:544549,"%,1,6,77.43,48.64,31.98,0.74,0.66,0.13
"
4:23:51:45:544645,"%,1,6,76.61,49.37,32.22,0.76,0.62,0.17
"
4:23:51:46:544741,"%,1,6,77.18,49.78,33.04,0.73,0.64,0.15
"
4:23:51:46:544837,"%,1,6,77.33,50.03,34.61,0.79,0.60,0.09
"
4:23:51:46:544916,"%,3,2,3,1
"
4:23:51:46:544917,"%,4,1,1
"
4:23:51:46:545268,"%,3,2,3,1
"
4:23:51:46:545268,"%,4,1,1
"
4:23:51:46:545444,"%,1,6,77.36,47.93,33.29,0.74,0.65,0.15
"
4:23:51:46:545540,"%,1,6,77.32,48.29,33.21,0.75,0.64,0.15
"
4:23:51:46:545637,"%,1,6,77.23,48.52,33.58,0.75,0.64,0.16
"
4:23:51:47:545763,"%,1,6,77.33,48.59,33.43,0.76,0.64,0.15
"
4:23:51:47:545860,"%,1,6,77.19,48.93,33.19,0.76,0.61,0.14
"
4:23:51:47:545956,"%,1,6,77.43,48.11,32.47,0.72,0.67,0.16
"
4:23:51:47:546052,"%,1,6,77.25,47.87,32.73,0.74,0.64,0.15
"
4:23:51:47:546260,"%,1,6,77.61,47.26,33.18,0.72,0.67,0.15
"
4:23:51:47:546355,"%,1,6,77.73,47.23,33.79,0.74,0.65,0.15
"
4:23:51:47:546452,"%,1,6,77.88,47.24,34.06,0.73,0.66,0.14
"
4:23:51:47:546547,"%,1,6,77.70,47.51,33.96,0.75,0.67,0.15
"
4:23:51:47:546643,"%,1,6,77.57,47.72,34.01,0.73,0.65,0.15
"
4:23:51:48:546740,"%,1,6,77.47,47.86,34.06,0.74,0.65,0.15
"
4:23:51:48:546851,"%,1,6,77.61,47.91,33.28,0.73,0.66,0.15
"
4:23:51:48:546914,"%,3,2,3,1
"
4:23:51:48:546915,"%,4,1,1
"
4:23:51:48:546915,"%,7,1,0
"
4:23:51:48:547250,"%,3,2,3,1
"
4:23:51:48:547250,"%,4,1,1
"
4:23:51:48:547443,"%,1,6,77.75,48.52,35.65,0.72,0.67,0.18
"
4:23:51:48:547538,"%,1,6,78.13,48.33,35.99,0.75,0.62,0.14
"
4:23:51:48:547635,"%,1,6,78.17,48.16,35.84,0.74,0.65,0.14
"
4:23:51:49:547746,"%,1,6,78.20,47.52,35.73,0.73,0.66,0.15
"
4:23:51:49:547858,"%,1,6,78.33,46.80,35.92,0.73,0.66,0.13
"
4:23:51:49:547954,"%,1,6,78.36,46.20,35.97,0.72,0.67,0.13
"
4:23:51:49:548050,"%,1,6,78.30,45.82,35.98,0.71,0.68,0.14
"
4:23:51:49:548242,"%,1,6,78.41,45.25,36.49,0.70,0.69,0.13
"
4:23:51:49:548372,"%,1,6,78.37,44.93,36.53,0.71,0.68,0.14
"
4:23:51:49:548372,"[18050] Turn winch(manu):
"
4:23:51:49:548372,"[18050] -89.00
"
4:23:51:49:548373,"0,manual Contol Ok;
"
4:23:51:49:548373,"Control angle=-89.00
"
4:23:51:49:548437,"%,1,6,78.66,44.15,36.49,0.72,0.69,0.13
"
4:23:51:49:548532,"%,1,6,78.71,43.15,35.85,0.70,0.69,0.13
"
4:23:51:49:548659,"%,1,6,78.57,42.65,35.99,0.64,0.74,0.14
"
4:23:51:50:548755,"%,1,6,78.48,42.39,36.14,0.65,0.70,0.16
"
4:23:51:50:548852,"%,1,6,78.43,42.11,36.61,0.68,0.71,0.12
"
4:23:51:50:548931,"%,3,2,3,1
"
4:23:51:50:548931,"%,4,1,1
"
4:23:51:50:549235,"[18918] winch callback
"
4:23:51:50:549236,"%,3,2,4,1
"
4:23:51:50:549236,"%,4,1,1
"
4:23:51:50:549460,"%,1,6,78.63,40.32,37.39,0.63,0.70,0.11
"
4:23:51:50:549539,"%,1,6,78.41,40.29,37.74,0.64,0.74,0.15
"
4:23:51:50:549651,"%,1,6,78.61,39.82,38.31,0.62,0.76,0.15
"
4:23:51:51:549747,"%,1,6,78.47,39.62,38.41,0.63,0.77,0.16
"
4:23:51:51:549843,"%,1,6,78.49,39.60,38.82,0.65,0.72,0.15
"
4:23:51:51:549939,"%,1,6,78.51,39.71,38.82,0.65,0.72,0.15
"
4:23:51:51:550051,"%,1,6,78.50,39.57,38.97,0.63,0.78,0.11
"
4:23:51:51:550242,"%,1,6,78.75,39.04,39.94,0.60,0.78,0.14
"
4:23:51:51:550338,"%,1,6,78.42,39.50,40.18,0.63,0.76,0.15
"
4:23:51:51:550435,"%,1,6,78.35,40.03,40.65,0.63,0.76,0.13
"
4:23:51:51:550546,"%,1,6,78.43,40.12,41.23,0.63,0.76,0.12
"
4:23:51:51:550642,"%,1,6,78.55,40.17,40.99,0.64,0.76,0.14
"
4:23:51:52:550738,"%,1,6,78.53,40.04,40.74,0.63,0.76,0.13
"
4:23:51:52:550835,"%,1,6,78.59,40.37,40.88,0.63,0.76,0.13
"
4:23:51:52:550913,"%,3,2,4,1
"
4:23:51:52:550914,"%,4,1,1
"
4:23:51:52:551233,"%,3,2,4,1
"
4:23:51:52:551234,"%,4,1,1
"
4:23:51:52:551234,"%,7,1,0
"
4:23:51:52:551442,"%,1,6,78.32,44.30,39.22,0.70,0.70,0.15
"
4:23:51:52:551538,"%,1,6,78.22,45.13,38.92,0.70,0.69,0.14
"
4:23:51:52:551634,"%,1,6,78.07,45.93,38.48,0.72,0.67,0.15
"
4:23:51:53:551745,"%,1,6,78.04,45.84,37.95,0.73,0.67,0.14
"
4:23:51:53:551858,"%,1,6,78.28,45.16,37.85,0.69,0.71,0.13
"
4:23:51:53:551953,"%,1,6,78.19,45.14,37.85,0.71,0.69,0.14
"
4:23:51:53:552049,"%,1,6,78.20,45.16,38.21,0.71,0.69,0.15
"
4:23:51:53:552225,"%,3,2,4,1
"
4:23:51:53:552225,"%,4,1,1
"
4:23:51:53:552241,"%,1,6,78.52,44.96,39.01,0.71,0.68,0.14
"
4:23:51:53:552337,"%,1,6,78.51,44.96,38.98,0.71,0.69,0.14
"
4:23:51:53:552433,"%,1,6,78.68,44.70,39.29,0.70,0.69,0.15
"
4:23:51:53:552544,"%,1,6,78.78,44.57,39.35,0.67,0.68,0.14
"
4:23:51:53:552657,"%,1,6,78.81,44.76,39.07,0.71,0.69,0.14
"
4:23:51:54:552753,"%,1,6,78.79,44.94,38.65,0.70,0.69,0.15
"
4:23:51:54:552848,"%,1,6,78.69,45.01,38.23,0.71,0.69,0.14
"
4:23:51:54:553232,"%,3,2,4,1
"
4:23:51:54:553232,"%,4,1,1
"
4:23:51:54:553440,"%,1,6,78.77,44.46,37.69,0.70,0.68,0.15
"
4:23:51:54:553552,"%,1,6,78.81,44.15,37.31,0.69,0.71,0.14
"
4:23:51:54:553648,"%,1,6,78.64,44.50,36.90,0.70,0.69,0.15
"
4:23:51:55:553744,"%,1,6,78.52,44.73,36.80,0.69,0.68,0.15
"
4:23:51:55:553840,"%,1,6,78.35,44.95,36.75,0.70,0.69,0.15
"
4:23:51:55:553951,"%,1,6,78.28,45.04,36.54,0.71,0.68,0.14
"
4:23:51:55:554048,"%,1,6,78.11,45.26,36.46,0.73,0.65,0.14
"
4:23:51:55:554223,"%,3,2,3,1
"
4:23:51:55:554223,"%,4,1,1
"
4:23:51:55:554239,"%,1,6,78.20,44.28,36.51,0.70,0.70,0.14
"
4:23:51:55:554336,"%,1,6,78.27,44.03,36.72,0.70,0.69,0.14
"
4:23:51:55:554447,"%,1,6,78.43,43.10,36.58,0.66,0.73,0.15
"
4:23:51:55:554543,"%,1,6,78.74,42.71,36.96,0.67,0.72,0.15
"
4:23:51:55:554639,"%,1,6,78.59,42.56,37.05,0.66,0.73,0.16
"
4:23:51:56:554751,"%,1,6,78.54,43.36,38.31,0.72,0.67,0.12
"
4:23:51:56:554847,"%,1,6,78.53,42.87,37.32,0.67,0.72,0.13
"
4:23:51:56:555214,"%,3,2,3,1
"
4:23:51:56:555214,"%,4,1,1
"
4:23:51:56:555455,"%,1,6,78.53,42.70,37.24,0.68,0.72,0.14
"
4:23:51:56:555551,"%,1,6,78.86,41.95,37.82,0.67,0.72,0.14
"
4:23:51:56:555646,"%,1,6,79.48,40.23,39.08,0.68,0.70,0.15
"
4:23:51:57:555742,"%,1,6,81.69,35.50,41.72,0.55,0.82,0.09
"
4:23:51:57:555854,"%,1,6,84.14,31.06,43.80,0.45,0.91,0.04
"
4:23:51:57:555934,"%,1,6,84.75,30.90,45.00,0.49,0.89,0.02
"
4:23:51:57:556062,"%,1,6,83.03,33.30,44.46,0.53,0.84,0.10
"
4:23:51:57:556206,"%,3,2,3,1
"
4:23:51:57:556221,"%,4,1,1
"
4:23:51:57:556221,"%,7,1,0
"
4:23:51:57:556238,"%,1,6,80.41,37.97,43.68,0.61,0.77,0.13
"
4:23:51:57:556350,"%,1,6,79.13,40.34,42.46,0.64,0.75,0.15
"
4:23:51:57:556446,"%,1,6,78.76,41.60,42.34,0.66,0.73,0.15
"
4:23:51:57:556542,"%,1,6,78.17,43.08,41.76,0.69,0.70,0.14
"
4:23:51:57:556638,"%,1,6,78.26,43.12,41.48,0.68,0.73,0.13
"
4:23:51:58:556734,"%,1,6,78.26,43.21,41.42,0.68,0.71,0.15
"
4:23:51:58:556829,"%,1,6,78.42,43.53,41.31,0.68,0.73,0.14
"
4:23:51:58:557213,"%,3,2,3,1
"
4:23:51:58:557213,"%,4,1,1
"
4:23:51:58:557437,"%,1,6,78.68,40.97,40.04,0.67,0.71,0.15
"
4:23:51:58:557533,"%,1,6,78.94,40.91,39.73,0.65,0.74,0.14
"
4:23:51:58:557660,"%,1,6,78.94,41.08,39.95,0.65,0.74,0.13
"
4:23:51:59:557757,"%,1,6,78.95,41.33,40.18,0.66,0.73,0.15
"
4:23:51:59:557853,"%,1,6,79.12,41.11,40.20,0.64,0.75,0.13
"
4:23:51:59:557949,"%,1,6,78.96,41.28,40.33,0.67,0.74,0.15
"
4:23:51:59:558045,"%,1,6,78.98,41.32,40.34,0.65,0.73,0.16
"
4:23:51:59:558204,"%,3,2,3,1
"
4:23:51:59:558205,"%,4,1,1
"
4:23:51:59:558252,"%,1,6,79.48,41.17,40.54,0.66,0.73,0.14
"
4:23:51:59:558349,"%,1,6,79.75,40.83,40.62,0.65,0.74,0.13
"
4:23:51:59:558444,"%,1,6,80.18,40.35,40.97,0.65,0.75,0.12
"
4:23:51:59:558540,"%,1,6,80.36,40.01,41.33,0.64,0.76,0.12
"
4:23:51:59:558652,"%,1,6,80.05,40.10,41.39,0.63,0.76,0.14
"
4:23:52:0:558748,"%,1,6,79.94,40.25,41.66,0.64,0.76,0.12
"
4:23:52:0:558844,"%,1,6,79.83,40.16,41.82,0.64,0.75,0.13
"
4:23:52:0:559195,"%,3,2,3,1
"
4:23:52:0:559196,"%,4,1,1
"
4:23:52:0:559467,"%,1,6,80.10,39.26,43.71,0.63,0.76,0.13
"
4:23:52:0:559547,"%,1,6,80.27,38.80,43.89,0.61,0.79,0.11
"
4:23:52:0:559643,"%,1,6,79.93,39.30,43.07,0.64,0.74,0.15
"
4:23:52:1:559739,"%,1,6,79.95,39.26,43.12,0.62,0.77,0.13
"
4:23:52:1:559851,"%,1,6,80.05,39.13,43.36,0.63,0.76,0.13
"
4:23:52:1:559947,"%,1,6,79.99,39.37,43.78,0.63,0.76,0.12
"
4:23:52:1:560058,"%,1,6,80.06,39.41,44.18,0.63,0.76,0.14
"
4:23:52:1:560186,"%,3,2,3,1
"
4:23:52:1:560187,"%,4,1,1
"
4:23:52:1:560251,"%,1,6,80.31,39.09,44.31,0.62,0.77,0.14
"
4:23:52:1:560347,"%,1,6,80.45,39.10,44.71,0.63,0.76,0.13
"
4:23:52:1:560443,"%,1,6,80.60,38.76,45.15,0.62,0.77,0.12
"
4:23:52:1:560539,"%,1,6,80.63,38.42,45.39,0.61,0.78,0.13
"
4:23:52:1:560651,"%,1,6,80.67,38.29,45.51,0.61,0.78,0.12
"
4:23:52:2:560762,"%,1,6,80.55,38.48,45.49,0.62,0.76,0.14
"
4:23:52:2:560842,"%,1,6,80.46,38.82,45.40,0.63,0.76,0.13
"
4:23:52:2:561194,"%,3,2,3,1
"
4:23:52:2:561194,"%,4,1,1
"
4:23:52:2:561194,"%,7,1,0
"
4:23:52:2:561434,"%,1,6,80.29,40.27,45.22,0.66,0.73,0.13
"
4:23:52:2:561546,"%,1,6,80.49,39.98,45.26,0.64,0.75,0.13
"
4:23:52:2:561642,"%,1,6,80.61,39.58,45.16,0.64,0.75,0.12
"
4:23:52:3:561754,"%,1,6,80.75,39.24,45.36,0.62,0.77,0.12
"
4:23:52:3:561865,"%,1,6,80.76,39.14,45.50,0.63,0.76,0.13
"
4:23:52:3:561930,"%,1,6,80.82,39.22,45.66,0.63,0.76,0.13
"
4:23:52:3:562057,"%,1,6,80.78,39.28,45.54,0.63,0.76,0.13
"
4:23:52:3:562185,"%,3,2,3,1
"
4:23:52:3:562185,"%,4,1,1
"
4:23:52:3:562250,"%,1,6,81.07,38.99,45.89,0.63,0.77,0.11
"
4:23:52:3:562345,"%,1,6,81.28,38.28,46.11,0.62,0.78,0.13
"
4:23:52:3:562457,"%,1,6,81.35,38.06,46.18,0.62,0.77,0.12
"
4:23:52:3:562553,"%,1,6,81.29,37.69,46.38,0.60,0.78,0.13
"
4:23:52:3:562649,"%,1,6,81.58,37.16,46.72,0.60,0.79,0.11
"
4:23:52:4:562745,"%,1,6,81.55,37.19,46.77,0.59,0.80,0.11
"
4:23:52:4:562841,"%,1,6,81.39,37.54,46.50,0.60,0.78,0.13
"
4:23:52:4:563160,"%,3,2,3,1
"
4:23:52:4:563176,"%,4,1,1
"
4:23:52:4:563433,"%,1,6,81.31,37.37,46.87,0.61,0.78,0.10
"
4:23:52:4:563544,"%,1,6,81.27,37.39,46.94,0.59,0.79,0.13
"
4:23:52:4:563640,"%,1,6,81.19,37.46,46.97,0.61,0.78,0.11
"
4:23:52:5:563752,"%,1,6,80.99,37.87,46.76,0.60,0.79,0.12
"
4:23:52:5:563848,"%,1,6,80.60,39.71,45.91,0.62,0.78,0.09
"
4:23:52:5:563944,"%,1,6,79.14,43.47,43.81,0.70,0.69,0.15
"
4:23:52:5:564040,"%,1,6,78.28,47.27,42.23,0.75,0.63,0.14
"
4:23:52:5:564184,"%,3,2,3,1
"
4:23:52:5:564184,"%,4,1,1
"
4:23:52:5:564248,"%,1,6,77.09,51.81,39.44,0.79,0.58,0.14
"
4:23:52:5:564344,"%,1,6,76.84,53.18,38.57,0.79,0.57,0.15
"
4:23:52:5:564440,"%,1,6,76.27,55.21,37.33,0.82,0.54,0.15
"
4:23:52:5:564536,"%,1,6,75.89,57.65,35.63,0.83,0.53,0.11
"
4:23:52:5:564648,"%,1,6,74.44,60.45,33.13,0.88,0.40,0.21
"
4:23:52:6:564743,"%,1,6,73.11,62.77,30.08,0.89,0.40,0.18
"
4:23:52:6:564855,"%,1,6,72.30,65.01,27.90,0.92,0.35,0.16
"
4:23:52:6:565175,"%,3,2,3,1
"
4:23:52:6:565175,"%,4,1,1
"
4:23:52:6:565447,"%,1,6,71.65,66.49,22.52,0.91,0.37,0.13
"
4:23:52:6:565558,"%,1,6,71.80,66.16,22.17,0.91,0.36,0.16
"
4:23:52:6:565655,"%,1,6,71.57,66.19,21.57,0.91,0.36,0.15
"
4:23:52:7:565750,"%,1,6,71.10,66.20,20.86,0.90,0.36,0.15
"
4:23:52:7:565847,"%,1,6,70.21,66.63,19.59,0.90,0.37,0.15
"
4:23:52:7:565943,"%,1,6,68.56,67.67,17.26,0.95,0.30,0.17
"
4:23:52:7:566038,"%,1,6,68.11,68.34,16.78,0.97,0.28,0.15
"
4:23:52:7:566150,"%,3,2,3,1
"
4:23:52:7:566150,"%,4,1,1
"
4:23:52:7:566150,"%,7,1,0
"
4:23:52:7:566231,"%,1,6,65.92,68.98,12.65,0.96,0.27,0.18
"
4:23:52:7:566342,"%,1,6,65.76,70.05,12.22,0.95,0.28,0.12
"
4:23:52:7:566438,"%,1,6,64.92,70.36,11.22,0.90,0.28,0.17
"
4:23:52:7:566550,"%,1,6,64.54,71.01,11.05,0.96,0.27,0.15
"
4:23:52:7:566646,"%,1,6,63.75,71.79,10.72,0.97,0.21,0.15
"
4:23:52:8:566742,"%,1,6,65.24,69.96,11.43,0.89,0.36,0.18
"
4:23:52:8:566853,"%,1,6,64.34,70.09,10.95,0.93,0.30,0.15
"
4:23:52:8:567141,"%,3,2,3,1
"
4:23:52:8:567141,"%,4,1,1
"
4:23:52:8:567446,"%,1,6,61.36,71.89,9.12,0.93,0.26,0.17
"
4:23:52:8:567541,"%,1,6,59.68,71.98,7.94,0.94,0.23,0.21
"
4:23:52:8:567637,"%,1,6,62.46,71.03,8.56,0.92,0.34,0.09
"
4:23:52:9:567749,"%,1,6,64.26,70.16,10.07,0.93,0.29,0.17
"
4:23:52:9:567846,"%,1,6,63.93,70.30,9.59,0.94,0.27,0.15
"
4:23:52:9:567941,"%,1,6,64.77,69.50,10.14,0.93,0.31,0.15
"
4:23:52:9:568053,"%,1,6,65.65,68.64,10.66,0.92,0.32,0.15
"
4:23:52:9:568164,"%,3,2,3,1
"
4:23:52:9:568164,"%,4,1,1
"
4:23:52:9:568245,"%,1,6,67.82,66.26,12.53,0.90,0.38,0.16
"
4:23:52:9:568341,"%,1,6,68.02,65.59,12.71,0.89,0.38,0.17
"
4:23:52:9:568437,"%,1,6,69.46,64.50,13.46,0.87,0.43,0.15
"
4:23:52:9:568533,"%,1,6,70.04,63.70,14.16,0.84,0.48,0.15
"
4:23:52:9:568644,"%,1,6,70.20,63.58,14.40,0.87,0.43,0.11
"
