sysTime,serialLOG
3:16:58:46:8764,"%,1,6,179.01,-3.70,97.81,-0.06,0.02,-1.02
"
3:16:58:46:8847,"%,1,6,179.01,-3.70,97.85,-0.06,0.02,-1.02
"
3:16:58:46:8926,"%,1,6,179.01,-3.69,97.86,-0.06,0.02,-1.01
"
3:16:58:46:9063,"%,1,6,179.01,-3.69,97.90,-0.06,0.02,-1.02
"
3:16:58:46:9063,"%,3,2,0,1
"
3:16:58:46:9063,"%,4,1,1
"
3:16:58:46:9254,"%,1,6,179.01,-3.68,97.94,-0.06,0.02,-1.01
"
3:16:58:46:9333,"%,1,6,179.01,-3.68,97.97,-0.06,0.02,-1.02
"
3:16:58:46:9446,"%,1,6,179.01,-3.68,97.98,-0.06,0.02,-1.01
"
3:16:58:46:9557,"%,1,6,179.01,-3.66,98.00,-0.06,0.02,-1.01
"
3:16:58:46:9637,"%,1,6,179.01,-3.66,98.02,-0.06,0.02,-1.02
"
3:16:58:46:9749,"%,1,6,179.01,-3.66,98.05,-0.06,0.02,-1.02
"
3:16:58:47:9830,"%,1,6,179.01,-3.63,98.05,-0.07,0.01,-1.01
"
3:16:58:47:9909,"%,3,2,0,1
"
3:16:58:47:9909,"%,4,1,1
"
3:16:58:47:10438,"%,1,6,179.02,-3.61,98.08,-0.06,0.02,-1.02
"
3:16:58:47:10534,"%,1,6,179.02,-3.61,98.09,-0.06,0.02,-1.02
"
3:16:58:47:10645,"%,1,6,179.02,-3.61,98.10,-0.06,0.02,-1.02
"
3:16:58:48:10773,"%,1,6,179.02,-3.61,98.10,-0.06,0.02,-1.02
"
3:16:58:48:10852,"%,1,6,179.03,-3.59,98.10,-0.06,0.02,-1.01
"
3:16:58:48:10950,"%,1,6,179.04,-3.53,98.04,-0.06,0.02,-1.02
"
3:16:58:48:11057,"%,1,6,179.04,-3.49,98.00,-0.06,0.02,-1.01
"
3:16:58:48:11058,"%,3,2,0,1
"
3:16:58:48:11059,"%,4,1,1
"
3:16:58:48:11233,"%,1,6,179.04,-3.48,97.95,-0.06,0.02,-1.02
"
3:16:58:48:11330,"%,1,6,179.04,-3.47,97.92,-0.06,0.02,-1.01
"
3:16:58:48:11441,"%,1,6,179.04,-3.46,97.90,-0.06,0.02,-1.02
"
3:16:58:48:11537,"%,1,6,179.03,-3.46,97.88,-0.06,0.02,-1.02
"
3:16:58:48:11664,"%,1,6,179.04,-3.46,97.85,-0.06,0.02,-1.02
"
3:16:58:48:11745,"%,1,6,179.04,-3.47,97.84,-0.06,0.02,-1.02
"
3:16:58:49:11857,"%,1,6,179.04,-3.47,97.82,-0.06,0.02,-1.01
"
3:16:58:49:11888,"%,3,2,0,1
"
3:16:58:49:11889,"%,4,1,1
"
3:16:58:49:11889,"%,7,1,8
"
3:16:58:49:12464,"%,1,6,179.04,-3.46,97.71,-0.06,0.02,-1.01
"
3:16:58:49:12530,"%,1,6,179.03,-3.46,97.70,-0.06,0.02,-1.02
"
3:16:58:49:12656,"%,1,6,179.04,-3.45,97.67,-0.06,0.02,-1.02
"
3:16:58:49:12753,"%,1,6,179.04,-3.46,97.67,-0.06,0.02,-1.02
"
3:16:58:50:12833,"%,1,6,179.04,-3.46,97.64,-0.06,0.02,-1.02
"
3:16:58:50:12944,"%,1,6,179.04,-3.47,97.64,-0.06,0.02,-1.02
"
3:16:58:50:13040,"%,1,6,179.04,-3.48,97.62,-0.07,0.02,-1.02
"
3:16:58:50:13056,"%,3,2,0,1
"
3:16:58:50:13056,"%,4,1,1
"
3:16:58:50:13232,"%,1,6,179.03,-3.50,97.61,-0.07,0.02,-1.01
"
3:16:58:50:13329,"%,1,6,179.02,-3.51,97.59,-0.06,0.02,-1.02
"
3:16:58:50:13440,"%,1,6,179.03,-3.51,97.58,-0.06,0.02,-1.02
"
3:16:58:50:13552,"%,1,6,179.02,-3.51,97.58,-0.06,0.02,-1.02
"
3:16:58:50:13648,"%,1,6,179.02,-3.51,97.57,-0.06,0.02,-1.02
"
3:16:58:50:13743,"%,1,6,179.02,-3.49,97.54,-0.06,0.02,-1.01
"
3:16:58:51:13823,"%,1,6,179.02,-3.49,97.52,-0.06,0.02,-1.02
"
3:16:58:51:13887,"%,3,2,0,1
"
3:16:58:51:13887,"%,4,1,1
"
3:16:58:51:14431,"%,1,6,179.01,-3.55,97.51,-0.06,0.02,-1.02
"
3:16:58:51:14529,"%,1,6,179.01,-3.56,97.53,-0.06,0.02,-1.02
"
3:16:58:51:14639,"%,1,6,179.00,-3.64,97.62,-0.06,0.02,-1.01
"
3:16:58:51:14735,"%,1,6,178.99,-3.69,97.70,-0.06,0.02,-1.01
"
3:16:58:52:14832,"%,1,6,178.98,-3.74,97.78,-0.06,0.02,-1.01
"
3:16:58:52:14943,"%,1,6,178.98,-3.76,97.85,-0.06,0.02,-1.02
"
3:16:58:52:15040,"%,1,6,178.98,-3.78,97.91,-0.06,0.02,-1.02
"
3:16:58:52:15040,"%,3,2,0,1
"
3:16:58:52:15040,"%,4,1,1
"
3:16:58:52:15087,"1,Command without attached callback;
"
3:16:58:52:15247,"%,1,6,178.98,-3.80,98.04,-0.06,0.02,-1.01
"
3:16:58:52:15343,"%,1,6,178.97,-3.81,98.11,-0.07,0.02,-1.02
"
3:16:58:52:15439,"%,1,6,178.97,-3.82,98.17,-0.06,0.02,-1.02
"
3:16:58:52:15551,"%,1,6,178.97,-3.83,98.24,-0.06,0.02,-1.02
"
3:16:58:52:15647,"%,1,6,178.97,-3.83,98.29,-0.06,0.02,-1.01
"
3:16:58:52:15743,"%,1,6,178.97,-3.84,98.36,-0.06,0.02,-1.02
"
3:16:58:53:15838,"%,1,6,178.97,-3.82,98.41,-0.06,0.02,-1.02
"
3:16:58:53:15919,"%,3,2,0,1
"
3:16:58:53:15919,"%,4,1,1
"
3:16:58:53:16447,"%,1,6,178.98,-3.76,98.65,-0.06,0.03,-1.01
"
3:16:58:53:16527,"%,1,6,178.98,-3.75,98.68,-0.06,0.02,-1.01
"
3:16:58:53:16654,"%,1,6,178.98,-3.75,98.72,-0.06,0.02,-1.02
"
3:16:58:53:16750,"%,1,6,178.99,-3.73,98.75,-0.06,0.02,-1.02
"
3:16:58:54:16846,"%,1,6,178.98,-3.73,98.78,-0.06,0.02,-1.01
"
3:16:58:54:16974,"%,1,6,178.99,-3.70,98.80,-0.06,0.02,-1.01
"
3:16:58:54:17054,"%,1,6,178.99,-3.70,98.82,-0.06,0.02,-1.01
"
3:16:58:54:17054,"%,3,2,0,1
"
3:16:58:54:17054,"%,4,1,1
"
3:16:58:54:17086,"%,7,1,7
"
3:16:58:54:17263,"%,1,6,178.99,-3.69,98.87,-0.06,0.02,-1.02
"
3:16:58:54:17358,"%,1,6,179.00,-3.68,98.89,-0.06,0.02,-1.01
"
3:16:58:54:17438,"%,1,6,179.00,-3.68,98.91,-0.07,0.02,-1.02
"
3:16:58:54:17550,"%,1,6,179.00,-3.68,98.94,-0.06,0.02,-1.01
"
3:16:58:54:17646,"%,1,6,179.00,-3.67,98.96,-0.06,0.02,-1.01
"
3:16:58:54:17742,"%,1,6,178.99,-3.66,98.97,-0.06,0.02,-1.01
"
3:16:58:55:17853,"%,1,6,179.00,-3.66,99.00,-0.07,0.02,-1.01
"
3:16:58:55:17901,"%,3,2,0,1
"
3:16:58:55:17901,"%,4,1,1
"
3:16:58:55:18446,"%,1,6,179.02,-3.52,98.94,-0.06,0.02,-1.01
"
3:16:58:55:18541,"%,1,6,179.02,-3.51,98.93,-0.06,0.02,-1.02
"
3:16:58:55:18637,"%,1,6,179.03,-3.47,98.87,-0.06,0.02,-1.02
"
3:16:58:55:18733,"%,1,6,179.04,-3.44,98.82,-0.06,0.02,-1.01
"
3:16:58:56:18830,"%,1,6,179.04,-3.42,98.78,-0.06,0.02,-1.01
"
3:16:58:56:18941,"%,1,6,179.05,-3.40,98.73,-0.06,0.02,-1.02
"
3:16:58:56:19037,"%,1,6,179.05,-3.38,98.67,-0.06,0.02,-1.01
"
3:16:58:56:19052,"%,3,2,0,1
"
3:16:58:56:19053,"%,4,1,1
"
3:16:58:56:19261,"%,1,6,179.05,-3.36,98.58,-0.07,0.02,-1.02
"
3:16:58:56:19341,"%,1,6,179.05,-3.36,98.54,-0.06,0.02,-1.01
"
3:16:58:56:19453,"%,1,6,179.05,-3.35,98.49,-0.06,0.02,-1.01
"
3:16:58:56:19549,"%,1,6,179.05,-3.37,98.47,-0.07,0.02,-1.02
"
3:16:58:56:19628,"%,1,6,179.05,-3.38,98.44,-0.07,0.02,-1.02
"
3:16:58:56:19740,"%,1,6,179.05,-3.38,98.41,-0.06,0.02,-1.01
"
3:16:58:57:19836,"%,1,6,179.04,-3.38,98.38,-0.06,0.02,-1.02
"
3:16:58:57:19901,"%,3,2,0,1
"
3:16:58:57:19901,"%,4,1,1
"
3:16:58:57:20428,"%,1,6,179.04,-3.40,98.22,-0.06,0.02,-1.02
"
3:16:58:57:20541,"%,1,6,179.04,-3.40,98.19,-0.06,0.02,-1.01
"
3:16:58:57:20636,"%,1,6,179.04,-3.41,98.17,-0.06,0.02,-1.02
"
3:16:58:57:20732,"%,1,6,179.04,-3.42,98.15,-0.06,0.02,-1.02
"
3:16:58:58:20844,"%,1,6,179.04,-3.42,98.12,-0.06,0.02,-1.02
"
3:16:58:58:20940,"%,1,6,179.04,-3.42,98.10,-0.06,0.02,-1.02
"
3:16:58:58:21036,"%,1,6,179.04,-3.41,98.07,-0.06,0.02,-1.02
"
