sysTime,roll,pitch,yaw,ax,ay,az
4:11:20:16:9848,-91.8,-75.92,26.85,-0.85,-0.28,-0.09
4:11:20:16:9848,-90.94,-73.34,23.28,-0.93,-0.27,-0.04
4:11:20:16:9896,-102.41,-73.48,29.95,-1.06,-0.16,-0.02
4:11:20:17:9944,-119.92,-74.13,43.18,-1.15,-0.14,-0.08
4:11:20:17:10354,-111.22,-79.5,30.92,-0.99,-0.25,-0.13
4:11:20:17:10450,-98.78,-78.21,15.99,-1.01,-0.25,-0.01
4:11:20:17:10561,-86.04,-74.22,3.46,-0.9,-0.37,0.09
4:11:20:17:10658,-90.35,-70.85,5.97,-1.06,-0.31,0.08
4:11:20:17:10753,-87.92,-70.12,5.48,-0.84,-0.34,0.18
4:11:20:17:10833,-83.48,-69.61,6.48,-0.97,-0.35,0.17
4:11:20:18:10962,-79.45,-71.44,12.43,-0.92,-0.49,0.13
4:11:20:18:11355,-66.21,-62.04,33.97,-1.13,-0.08,0.18
4:11:20:18:11451,-64.69,-63.63,44.51,-0.87,-0.1,0.2
4:11:20:18:11563,-59.3,-67.62,48.3,-0.96,-0.1,0.12
4:11:20:18:11659,-59.03,-68.68,55.35,-0.97,-0.18,0.19
4:11:20:18:11755,-51.55,-66.56,54.61,-0.98,-0.35,0.24
4:11:20:18:11851,-52.53,-60.09,63.75,-1.25,-0.56,0.19
4:11:20:19:11963,-52.57,-59.67,73.89,-0.9,-0.3,0.19
4:11:20:19:12354,-29.27,-72.53,81.44,-1.16,0.06,0.38
4:11:20:19:12434,-34.84,-73.96,85.85,-1.08,0.03,0.23
4:11:20:19:12546,-37.1,-75.33,85.25,-0.83,-0.0,0.17
4:11:20:19:12642,-35.56,-75.42,80.16,-0.61,0.02,0.3
4:11:20:19:12738,-31.74,-74.64,73.58,-1.04,-0.01,0.35
4:11:20:19:12834,-39.64,-75.2,84.22,-1.01,-0.05,0.52
4:11:20:20:12962,-62.42,-74.53,109.55,-1.08,-0.29,0.36
4:11:20:20:13357,-69.87,-73.02,123.72,-1.09,-0.12,0.34
4:11:20:20:13452,-67.99,-72.61,120.4,-1.31,-0.25,0.27
4:11:20:20:13563,-77.59,-72.53,127.25,-0.95,-0.12,0.22
4:11:20:20:13643,-78.81,-74.86,127.61,-0.71,-0.09,0.22
