sysTime,roll,pitch,yaw,ax,ay,az
4:19:11:7:13653,176.17,1.65,-121.36,0.03,0.07,-1.03
4:19:11:7:13762,176.17,1.65,-121.36,0.03,0.07,-1.03
4:19:11:7:13860,176.16,1.65,-121.36,0.03,0.07,-1.03
4:19:11:8:13955,176.17,1.65,-121.36,0.03,0.07,-1.04
4:19:11:8:14048,176.16,1.66,-121.36,0.03,0.07,-1.04
4:19:11:8:14162,176.16,1.66,-121.36,0.03,0.07,-1.04
4:19:11:8:14257,176.16,1.66,-121.36,0.03,0.07,-1.04
4:19:11:12:18655,176.18,1.64,-121.36,0.03,0.07,-1.04
4:19:11:12:18748,176.18,1.64,-121.36,0.03,0.07,-1.04
4:19:11:12:18860,176.18,1.65,-121.36,0.03,0.07,-1.04
4:19:11:13:18956,176.18,1.64,-121.36,0.03,0.07,-1.04
4:19:11:13:19052,176.18,1.65,-121.36,0.03,0.07,-1.04
4:19:11:13:19163,176.18,1.64,-121.36,0.03,0.07,-1.03
4:19:11:13:19259,176.18,1.65,-121.36,0.03,0.07,-1.04
4:19:11:17:23656,176.16,1.63,-121.51,0.03,0.07,-1.04
4:19:11:17:23754,176.17,1.63,-121.51,0.03,0.07,-1.03
4:19:11:17:23862,176.16,1.63,-121.51,0.03,0.07,-1.04
4:19:11:18:23959,176.16,1.62,-121.51,0.03,0.07,-1.04
4:19:11:18:24056,176.17,1.62,-121.51,0.03,0.07,-1.04
4:19:11:18:24152,176.15,1.6,-121.48,0.03,0.07,-1.03
4:19:11:18:24263,176.12,1.56,-121.45,0.02,0.07,-1.04
4:19:11:22:28659,176.13,1.58,-121.41,0.03,0.07,-1.04
4:19:11:22:28756,176.13,1.58,-121.41,0.03,0.07,-1.03
4:19:11:22:28852,176.14,1.59,-121.41,0.03,0.07,-1.03
4:19:11:23:28962,176.13,1.59,-121.41,0.03,0.07,-1.03
4:19:11:23:29059,176.13,1.59,-121.41,0.03,0.07,-1.04
4:19:11:23:29155,176.14,1.59,-121.41,0.03,0.07,-1.04
4:19:11:23:29249,176.14,1.6,-121.41,0.03,0.07,-1.03
4:19:11:27:33662,176.16,1.63,-121.41,0.03,0.07,-1.03
4:19:11:27:33758,176.16,1.63,-121.41,0.03,0.07,-1.04
4:19:11:27:33853,176.16,1.63,-121.41,0.03,0.07,-1.03
4:19:11:28:33950,176.16,1.63,-121.41,0.03,0.07,-1.04
4:19:11:28:34062,176.16,1.63,-121.41,0.03,0.07,-1.03
4:19:11:28:34158,176.16,1.63,-121.41,0.03,0.07,-1.04
4:19:11:28:34255,176.16,1.63,-121.41,0.03,0.07,-1.04
4:19:11:33:38989,176.15,1.62,-121.41,0.03,0.07,-1.04
4:19:11:33:38990,176.15,1.62,-121.41,0.03,0.07,-1.04
4:19:11:33:38991,176.15,1.62,-121.41,0.03,0.07,-1.04
4:19:11:33:38992,176.15,1.62,-121.41,0.03,0.07,-1.04
4:19:11:33:39049,176.15,1.62,-121.41,0.03,0.07,-1.04
4:19:11:33:39160,176.15,1.62,-121.41,0.03,0.07,-1.04
4:19:11:33:39255,176.16,1.62,-121.41,0.03,0.07,-1.04
