sysTime,serialLOG
10:19:28:28:65795,"%,3,1,4
"
10:19:28:28:65796,"%,4,1,1
"
10:19:28:28:65797,"%,1,6,-8.87,-4.90,-86.87,-0.08,-0.15,0.97
"
10:19:28:28:65823,"%%,3,1,4
"
10:19:28:28:65824,"%,4,1,1
"
10:19:28:28:65857,"%,1,6,-8.85,-4.91,-86.74,-0.08,-0.16,0.97
"
10:19:28:28:65935,"%,1,6,-8.85,-4.91,-86.76,-0.08,-0.16,0.97
"
10:19:28:28:66031,"%,1,6,-8.85,-4.91,-86.74,-0.08,-0.15,0.97
"
10:19:28:28:66129,"%,1,6,-8.85,-4.91,-86.76,-0.08,-0.15,0.97
"
10:19:28:29:66350,"%,1,6,-8.85,-4.91,-86.77,-0.08,-0.15,0.97
"
10:19:28:29:66447,"%,1,6,-8.85,-4.91,-86.78,-0.08,-0.16,0.97
"
10:19:28:29:66543,"%,1,6,-8.86,-4.92,-86.81,-0.08,-0.16,0.97
"
10:19:28:29:66637,"%,1,6,-8.86,-4.91,-86.80,-0.09,-0.15,0.97
"
10:19:28:29:66733,"%,1,6,-8.86,-4.91,-86.80,-0.08,-0.15,0.97
"
10:19:28:29:66780,"%,3,1,3
"
10:19:28:29:66798,"%,4,1,1
"
10:19:28:29:67053,"%,1,6,-8.86,-4.92,-86.81,-0.09,-0.15,0.97
"
10:19:28:29:67054,"%,1,6,-8.86,-4.91,-86.80,-0.08,-0.15,0.96
"
10:19:28:30:67533,"%,1,6,-8.84,-4.91,-86.77,-0.08,-0.15,0.97
"
10:19:28:30:67628,"%,1,6,-8.84,-4.91,-86.77,-0.09,-0.16,0.97
"
10:19:28:30:67739,"%,1,6,-8.84,-4.91,-86.77,-0.09,-0.15,0.97
"
10:19:28:30:67787,"%,3,1,4
"
10:19:28:30:67787,"%,4,1,1
"
10:19:28:30:67851,"%,1,6,-8.84,-4.91,-86.76,-0.09,-0.15,0.97
"
10:19:28:30:67948,"%,1,6,-8.84,-4.90,-86.76,-0.08,-0.16,0.97
"
10:19:28:30:68042,"%,1,6,-8.84,-4.90,-86.74,-0.08,-0.15,0.97
"
10:19:28:30:68139,"%,1,6,-8.85,-4.90,-86.73,-0.08,-0.15,0.97
"
10:19:28:31:68331,"%,1,6,-8.85,-4.90,-86.73,-0.08,-0.16,0.97
"
10:19:28:31:68441,"%,1,6,-8.85,-4.90,-86.71,-0.08,-0.16,0.97
"
10:19:28:31:68538,"%,1,6,-8.85,-4.90,-86.72,-0.08,-0.15,0.97
"
10:19:28:31:68649,"%,1,6,-8.85,-4.91,-86.73,-0.08,-0.15,0.97
"
10:19:28:31:68746,"%,1,6,-8.84,-4.91,-86.73,-0.08,-0.15,0.97
"
10:19:28:31:68792,"%,3,1,4
"
10:19:28:31:68793,"%,4,1,1
"
10:19:28:31:68840,"%,1,6,-8.83,-4.92,-86.74,-0.08,-0.15,0.96
"
10:19:28:31:68936,"%,1,6,-8.83,-4.92,-86.75,-0.08,-0.15,0.94
"
10:19:28:32:69544,"%,1,6,-8.84,-4.89,-86.76,-0.08,-0.15,0.97
"
10:19:28:32:69639,"%,1,6,-8.85,-4.89,-86.75,-0.08,-0.16,0.97
"
10:19:28:32:69751,"%,1,6,-8.85,-4.89,-86.75,-0.08,-0.15,0.96
"
10:19:28:32:69782,"%,3,1,4
"
10:19:28:32:69783,"%,4,1,1
"
10:19:28:32:69845,"%,1,6,-8.85,-4.88,-86.71,-0.08,-0.16,0.97
"
10:19:28:32:69943,"%,1,6,-8.86,-4.87,-86.71,-0.08,-0.16,0.97
"
10:19:28:32:70038,"%,1,6,-8.87,-4.89,-86.74,-0.08,-0.15,0.96
"
