sysTime,roll,pitch,yaw,ax,ay,az
4:20:20:45:13900,-1.45,-44.64,116.39,-0.62,-0.03,0.68
4:20:20:45:14012,-0.3,-46.97,115.78,-0.7,-0.02,0.63
4:20:20:45:14092,0.53,-50.5,115.71,-0.74,0.04,0.58
4:20:20:45:14188,1.58,-52.66,113.98,-0.86,0.01,0.62
4:20:20:45:14300,-1.44,-55.17,116.17,-0.8,-0.01,0.51
4:20:20:45:14413,-3.47,-57.13,117.81,-0.86,-0.04,0.52
4:20:20:45:14507,-3.71,-56.72,117.83,-0.82,-0.03,0.51
4:20:21:1:29902,99.63,-18.45,31.43,-0.23,0.87,-0.39
4:20:21:1:29998,94.84,-21.69,32.51,-0.18,0.79,-0.34
4:20:21:1:30093,94.0,-21.16,30.57,-0.2,0.88,-0.34
4:20:21:1:30205,95.85,-19.97,21.99,-0.26,1.11,-0.45
4:20:21:1:30301,100.18,-16.57,10.06,-0.35,1.01,-0.28
4:20:21:1:30397,102.96,-14.69,1.68,-0.39,1.14,0.18
4:20:21:1:30493,91.35,-16.11,7.82,-0.53,1.11,0.37
