sysTime,serialLOG
4:20:15:12:51905,"%,3,2,3,1
"
4:20:15:12:51906,"%,4,1,1
"
4:20:15:13:52896,"%,3,2,3,1
"
4:20:15:13:52897,"%,4,1,1
"
4:20:15:14:53903,"%,3,2,3,1
"
4:20:15:14:53903,"%,4,1,1
"
4:20:15:14:53904,"%,7,1,197
"
4:20:15:15:54255,"%,1,6,161.02,-16.08,86.46,-0.31,0.38,-0.93
"
4:20:15:15:54367,"%,1,6,168.83,-11.73,91.52,-0.26,0.21,-0.99
"
4:20:15:15:54481,"%,1,6,171.69,-4.20,92.56,-0.01,0.21,-1.06
"
4:20:15:15:54559,"%,1,6,171.36,0.30,92.78,-0.03,0.17,-1.19
"
