sysTime,roll,pitch,yaw,ax,ay,az
4:23:51:49:548050,78.3,45.82,35.98,0.71,0.68,0.14
4:23:51:49:548242,78.41,45.25,36.49,0.7,0.69,0.13
4:23:51:49:548372,78.37,44.93,36.53,0.71,0.68,0.14
4:23:51:49:548437,78.66,44.15,36.49,0.72,0.69,0.13
4:23:51:49:548532,78.71,43.15,35.85,0.7,0.69,0.13
4:23:51:49:548659,78.57,42.65,35.99,0.64,0.74,0.14
4:23:51:50:548755,78.48,42.39,36.14,0.65,0.7,0.16
4:23:51:50:548852,78.43,42.11,36.61,0.68,0.71,0.12
4:23:51:50:549460,78.63,40.32,37.39,0.63,0.7,0.11
4:23:51:50:549539,78.41,40.29,37.74,0.64,0.74,0.15
4:23:51:50:549651,78.61,39.82,38.31,0.62,0.76,0.15
4:23:51:51:549747,78.47,39.62,38.41,0.63,0.77,0.16
4:23:51:51:549843,78.49,39.6,38.82,0.65,0.72,0.15
4:23:51:51:549939,78.51,39.71,38.82,0.65,0.72,0.15
4:23:51:51:550051,78.5,39.57,38.97,0.63,0.78,0.11
4:23:51:51:550242,78.75,39.04,39.94,0.6,0.78,0.14
4:23:51:51:550338,78.42,39.5,40.18,0.63,0.76,0.15
4:23:51:51:550435,78.35,40.03,40.65,0.63,0.76,0.13
4:23:51:51:550546,78.43,40.12,41.23,0.63,0.76,0.12
4:23:51:51:550642,78.55,40.17,40.99,0.64,0.76,0.14
4:23:51:52:550738,78.53,40.04,40.74,0.63,0.76,0.13
4:23:51:52:550835,78.59,40.37,40.88,0.63,0.76,0.13
4:23:51:52:551442,78.32,44.3,39.22,0.7,0.7,0.15
4:23:51:52:551538,78.22,45.13,38.92,0.7,0.69,0.14
4:23:51:52:551634,78.07,45.93,38.48,0.72,0.67,0.15
4:23:51:53:551745,78.04,45.84,37.95,0.73,0.67,0.14
4:23:51:53:551858,78.28,45.16,37.85,0.69,0.71,0.13
4:23:51:53:551953,78.19,45.14,37.85,0.71,0.69,0.14
4:23:51:53:552049,78.2,45.16,38.21,0.71,0.69,0.15
4:23:51:53:552241,78.52,44.96,39.01,0.71,0.68,0.14
4:23:51:53:552337,78.51,44.96,38.98,0.71,0.69,0.14
4:23:51:53:552434,78.68,44.7,39.29,0.7,0.69,0.15
4:23:51:53:552544,78.78,44.57,39.35,0.67,0.68,0.14
4:23:51:53:552657,78.81,44.76,39.07,0.71,0.69,0.14
4:23:51:54:552753,78.79,44.94,38.65,0.7,0.69,0.15
4:23:51:54:552849,78.69,45.01,38.23,0.71,0.69,0.14
4:23:51:54:553440,78.77,44.46,37.69,0.7,0.68,0.15
4:23:51:54:553552,78.81,44.15,37.31,0.69,0.71,0.14
4:23:51:54:553648,78.64,44.5,36.9,0.7,0.69,0.15
4:23:51:55:553744,78.52,44.73,36.8,0.69,0.68,0.15
4:23:51:55:553840,78.35,44.95,36.75,0.7,0.69,0.15
4:23:51:55:553951,78.28,45.04,36.54,0.71,0.68,0.14
4:23:51:55:554048,78.11,45.26,36.46,0.73,0.65,0.14
4:23:51:55:554240,78.2,44.28,36.51,0.7,0.7,0.14
4:23:51:55:554336,78.27,44.03,36.72,0.7,0.69,0.14
4:23:51:55:554447,78.43,43.1,36.58,0.66,0.73,0.15
4:23:51:55:554543,78.74,42.71,36.96,0.67,0.72,0.15
4:23:51:55:554640,78.59,42.56,37.05,0.66,0.73,0.16
4:23:51:56:554751,78.54,43.36,38.31,0.72,0.67,0.12
4:23:51:56:554847,78.53,42.87,37.32,0.67,0.72,0.13
4:23:51:56:555455,78.53,42.7,37.24,0.68,0.72,0.14
4:23:51:56:555551,78.86,41.95,37.82,0.67,0.72,0.14
4:23:51:56:555646,79.48,40.23,39.08,0.68,0.7,0.15
4:23:51:57:555742,81.69,35.5,41.72,0.55,0.82,0.09
4:23:51:57:555854,84.14,31.06,43.8,0.45,0.91,0.04
4:23:51:57:555934,84.75,30.9,45.0,0.49,0.89,0.02
4:23:51:57:556062,83.03,33.3,44.46,0.53,0.84,0.1
4:23:51:57:556238,80.41,37.97,43.68,0.61,0.77,0.13
4:23:51:57:556350,79.13,40.34,42.46,0.64,0.75,0.15
4:23:51:57:556446,78.76,41.6,42.34,0.66,0.73,0.15
4:23:51:57:556542,78.17,43.08,41.76,0.69,0.7,0.14
4:23:51:57:556638,78.26,43.12,41.48,0.68,0.73,0.13
4:23:51:58:556734,78.26,43.21,41.42,0.68,0.71,0.15
4:23:51:58:556829,78.42,43.53,41.31,0.68,0.73,0.14
4:23:51:58:557437,78.68,40.97,40.04,0.67,0.71,0.15
4:23:51:58:557533,78.94,40.91,39.73,0.65,0.74,0.14
4:23:51:58:557660,78.94,41.08,39.95,0.65,0.74,0.13
4:23:51:59:557757,78.95,41.33,40.18,0.66,0.73,0.15
4:23:51:59:557853,79.12,41.11,40.2,0.64,0.75,0.13
4:23:51:59:557949,78.96,41.28,40.33,0.67,0.74,0.15
4:23:51:59:558045,78.98,41.32,40.34,0.65,0.73,0.16
4:23:51:59:558252,79.48,41.17,40.54,0.66,0.73,0.14
4:23:51:59:558349,79.75,40.83,40.62,0.65,0.74,0.13
4:23:51:59:558444,80.18,40.35,40.97,0.65,0.75,0.12
4:23:51:59:558540,80.36,40.01,41.33,0.64,0.76,0.12
4:23:51:59:558652,80.05,40.1,41.39,0.63,0.76,0.14
4:23:52:0:558748,79.94,40.25,41.66,0.64,0.76,0.12
4:23:52:0:558844,79.83,40.16,41.82,0.64,0.75,0.13
4:23:52:0:559467,80.1,39.26,43.71,0.63,0.76,0.13
4:23:52:0:559547,80.27,38.8,43.89,0.61,0.79,0.11
4:23:52:0:559643,79.93,39.3,43.07,0.64,0.74,0.15
4:23:52:1:559739,79.95,39.26,43.12,0.62,0.77,0.13
4:23:52:1:559851,80.05,39.13,43.36,0.63,0.76,0.13
4:23:52:1:559947,79.99,39.37,43.78,0.63,0.76,0.12
4:23:52:1:560058,80.06,39.41,44.18,0.63,0.76,0.14
4:23:52:1:560251,80.31,39.09,44.31,0.62,0.77,0.14
4:23:52:1:560347,80.45,39.1,44.71,0.63,0.76,0.13
4:23:52:1:560443,80.6,38.76,45.15,0.62,0.77,0.12
4:23:52:1:560539,80.63,38.42,45.39,0.61,0.78,0.13
4:23:52:1:560651,80.67,38.29,45.51,0.61,0.78,0.12
4:23:52:2:560762,80.55,38.48,45.49,0.62,0.76,0.14
4:23:52:2:560842,80.46,38.82,45.4,0.63,0.76,0.13
4:23:52:2:561434,80.29,40.27,45.22,0.66,0.73,0.13
4:23:52:2:561546,80.49,39.98,45.26,0.64,0.75,0.13
4:23:52:2:561642,80.61,39.58,45.16,0.64,0.75,0.12
4:23:52:3:561754,80.75,39.24,45.36,0.62,0.77,0.12
4:23:52:3:561865,80.76,39.14,45.5,0.63,0.76,0.13
4:23:52:3:561930,80.82,39.22,45.66,0.63,0.76,0.13
4:23:52:3:562057,80.78,39.28,45.54,0.63,0.76,0.13
4:23:52:3:562250,81.07,38.99,45.89,0.63,0.77,0.11
