sysTime,serialLOG
4:10:1:52:5990,"%,1,6,27.87,-52.35,-146.45,-0.81,0.20,0.52
"
4:10:1:52:5992,"%,1,6,35.95,-53.36,-149.35,-0.76,0.27,0.44
"
4:10:1:52:5993,"%,3,2,2,1
"
4:10:1:52:5993,"%,4,1,3
"
4:10:1:52:6185,"%,2,6,37.2895698,127.0656661,7.58,12,0.35,104.91
"
4:10:1:52:6200,"%,5,2,382.16,231.33
"
4:10:1:52:6201,"%,8,1,0
"
4:10:1:52:6202,"Distance=382.16
"
4:10:1:52:6221,"velocity_air=0.35
"
4:10:1:52:6222,"velocity_fall=-74.20
"
4:10:1:52:6223,"height=75.80
"
4:10:1:52:6224,"estimate_landing_point=-0.36
"
4:10:1:52:6224,"distance_delta=-382.51
"
4:10:1:52:6254,"%,1,6,32.29,-52.14,-128.90,-0.79,0.44,0.53
"
4:10:1:52:6351,"%,1,6,31.46,-50.56,-123.20,-0.70,0.36,0.60
"
4:10:1:52:6464,"%,1,6,28.73,-48.56,-116.01,-0.71,0.34,0.60
"
4:10:1:52:6542,"%,1,6,24.36,-48.11,-108.60,-0.70,0.24,0.65
"
4:10:1:52:6654,"%,1,6,21.43,-48.05,-101.26,-0.67,0.20,0.67
"
4:10:1:52:6735,"%,1,6,15.89,-49.30,-94.16,-0.73,0.21,0.65
"
4:10:1:53:6846,"%,1,6,7.90,-50.53,-86.86,-0.75,0.18,0.67
"
4:10:1:53:6894,"%,3,2,2,1
"
4:10:1:53:6894,"%,4,1,3
"
4:10:1:53:7199,"%,2,6,37.2895622,127.0656661,7.57,12,0.48,133.92
"
4:10:1:53:7214,"%,5,2,381.92,231.37
"
4:10:1:53:7215,"%,8,1,0
"
4:10:1:53:7216,"Distance=381.92
"
4:10:1:53:7235,"velocity_air=0.48
"
4:10:1:53:7236,"velocity_fall=-74.00
"
4:10:1:53:7237,"height=75.70
"
4:10:1:53:7238,"estimate_landing_point=-0.49
"
4:10:1:53:7251,"distance_delta=-382.41
"
4:10:1:53:7253,"%,1,6,47.06,-62.59,-84.97,-0.72,0.36,0.42
"
4:10:1:53:7331,"%,1,6,65.04,-64.59,-90.28,-0.90,0.46,0.34
"
4:10:1:53:7443,"%,1,6,66.49,-64.65,-85.86,-0.91,0.55,0.19
"
4:10:1:53:7539,"%,1,6,60.89,-64.98,-74.34,-0.94,0.69,0.18
"
4:10:1:53:7636,"%,1,6,61.68,-63.53,-72.16,-0.52,0.85,0.20
"
4:10:1:53:7745,"%,1,6,60.81,-62.31,-72.21,-0.62,0.73,0.29
"
4:10:1:54:7842,"%,1,6,59.63,-61.26,-74.02,-0.59,0.75,0.28
"
4:10:1:54:7906,"%,3,2,2,1
"
4:10:1:54:7906,"%,4,1,3
"
4:10:1:54:8211,"%,2,6,37.2895507,127.0656661,7.52,12,0.54,155.60
"
4:10:1:54:8212,"%,5,2,380.86,231.57
"
4:10:1:54:8213,"%,8,1,0
"
4:10:1:54:8213,"Distance=380.86
"
4:10:1:54:8214,"velocity_air=0.54
"
4:10:1:54:8214,"velocity_fall=-74.80
"
4:10:1:54:8215,"height=75.20
"
4:10:1:54:8215,"estimate_landing_point=-0.54
"
4:10:1:54:8227,"distance_delta=-381.40
"
4:10:1:54:8243,"%,1,6,56.20,-70.92,-76.98,-0.88,0.78,0.25
"
4:10:1:54:8355,"%,1,6,55.49,-71.85,-76.37,-0.70,0.44,0.16
"
4:10:1:54:8451,"%,1,6,61.37,-72.94,-79.91,-0.81,0.60,0.27
"
4:10:1:54:8531,"%,1,6,63.43,-73.42,-79.07,-0.73,0.49,0.25
"
4:10:1:54:8659,"%,1,6,69.04,-72.61,-81.98,-0.79,0.50,0.25
"
4:10:1:54:8738,"%,1,6,68.30,-70.89,-79.73,-0.87,0.50,0.24
"
4:10:1:54:8835,"%,1,6,65.05,-69.18,-75.97,-0.78,0.65,0.29
"
4:10:1:55:8899,"%,3,2,2,1
"
4:10:1:55:8899,"%,4,1,3
"
4:10:1:55:9187,"%,2,6,37.2895469,127.0656661,7.52,12,0.60,187.15
"
4:10:1:55:9237,"%,5,2,380.86,231.57
"
4:10:1:55:9237,"%,8,1,0
"
4:10:1:55:9238,"Distance=380.86
"
4:10:1:55:9238,"velocity_air=0.60
"
4:10:1:55:9238,"velocity_fall=-74.20
"
4:10:1:55:9239,"height=75.20
"
4:10:1:55:9239,"estimate_landing_point=-0.61
"
4:10:1:55:9252,"distance_delta=-381.46
"
4:10:1:55:9253,"%,1,6,67.79,-69.24,-78.97,-0.68,0.68,0.17
"
4:10:1:55:9333,"%,1,6,73.15,-69.29,-82.81,-0.65,0.64,0.26
"
4:10:1:55:9445,"%,1,6,65.60,-70.45,-76.30,-0.68,0.61,0.28
"
4:10:1:55:9556,"%,1,6,57.74,-72.93,-68.38,-0.95,0.61,0.44
"
4:10:1:55:9653,"%,1,6,47.25,-74.93,-57.74,-0.77,0.81,-0.09
"
4:10:1:55:9748,"%,1,6,55.09,-75.26,-62.11,-0.82,0.82,0.20
"
4:10:1:56:9844,"%,1,6,61.26,-76.83,-65.83,-0.68,0.46,0.16
"
4:10:1:56:9908,"%,3,2,2,1
"
4:10:1:56:9908,"%,4,1,3
"
4:10:1:56:9908,"%,7,1,0
"
4:10:1:56:10214,"%,2,6,37.2895431,127.0656509,7.50,12,0.76,209.66
"
4:10:1:56:10215,"%,5,2,379.92,231.42
"
4:10:1:56:10215,"%,8,1,0
"
4:10:1:56:10215,"Distance=379.92
"
4:10:1:56:10215,"velocity_air=0.76
"
4:10:1:56:10216,"velocity_fall=-74.40
"
4:10:1:56:10216,"height=75.00
"
4:10:1:56:10216,"estimate_landing_point=-0.77
"
4:10:1:56:10216,"distance_delta=-380.68
"
4:10:1:56:10246,"%,1,6,98.14,-79.88,-106.38,-0.69,0.90,0.00
"
4:10:1:56:10358,"%,1,6,91.26,-77.84,-103.81,-0.78,0.55,0.01
"
4:10:1:56:10454,"%,1,6,113.47,-76.31,-129.55,-0.61,0.54,0.12
"
4:10:1:56:10550,"%,1,6,122.48,-73.74,-137.75,-0.70,0.61,0.30
"
4:10:1:56:10630,"%,1,6,122.52,-75.27,-139.51,-0.83,0.85,0.16
"
4:10:1:56:10742,"%,1,6,113.17,-79.17,-131.66,-0.98,1.11,-0.29
"
4:10:1:57:10854,"%,1,6,103.44,-79.94,-122.20,-0.74,0.75,0.03
"
4:10:1:57:10870,"%,3,2,2,1
"
4:10:1:57:10870,"%,4,1,3
"
4:10:1:57:11186,"%,2,6,37.2895317,127.0656509,7.44,12,1.21,219.01
"
4:10:1:57:11187,"%,5,2,378.62,231.67
"
4:10:1:57:11187,"%,8,1,0
"
4:10:1:57:11187,"Distance=378.62
"
4:10:1:57:11207,"velocity_air=1.21
"
4:10:1:57:11207,"velocity_fall=-74.20
"
4:10:1:57:11207,"height=74.40
"
4:10:1:57:11208,"estimate_landing_point=-1.21
"
4:10:1:57:11223,"distance_delta=-379.83
"
4:10:1:57:11239,"%,1,6,98.94,-78.54,-115.16,-1.10,1.03,-0.09
"
4:10:1:57:11351,"%,1,6,100.82,-79.75,-115.24,-0.68,0.84,0.02
"
4:10:1:57:11448,"%,1,6,114.83,-80.37,-131.79,-0.59,0.55,0.06
"
4:10:1:57:11543,"%,1,6,128.71,-78.30,-147.92,-0.57,0.56,0.12
"
4:10:1:57:11639,"%,1,6,123.49,-75.35,-141.47,-0.67,0.73,0.08
"
4:10:1:57:11751,"%,1,6,102.87,-75.86,-123.29,-0.81,0.94,0.16
"
4:10:1:57:11831,"%,1,6,93.58,-80.48,-115.70,-0.88,0.82,-0.13
"
4:10:1:58:11879,"%,3,2,2,1
"
4:10:1:58:11879,"%,4,1,3
"
4:10:1:58:12207,"%,2,6,37.2895240,127.0656433,7.43,12,1.19,219.41
"
4:10:1:58:12207,"%,5,2,377.73,231.67
"
4:10:1:58:12208,"%,8,1,0
"
4:10:1:58:12208,"Distance=377.73
"
4:10:1:58:12208,"velocity_air=1.19
"
4:10:1:58:12208,"velocity_fall=-74.40
"
4:10:1:58:12208,"height=74.30
"
4:10:1:58:12209,"estimate_landing_point=-1.19
"
4:10:1:58:12223,"distance_delta=-378.92
"
4:10:1:58:12239,"%,1,6,76.25,-83.40,-96.25,-0.61,0.59,0.41
"
4:10:1:58:12351,"%,1,6,80.43,-81.89,-99.72,-0.66,0.80,0.54
"
4:10:1:58:12462,"%,1,6,64.74,-77.04,-87.78,-1.08,1.11,-0.47
"
4:10:1:58:12542,"%,1,6,77.62,-77.94,-100.11,-0.89,0.60,0.42
"
4:10:1:58:12638,"%,1,6,75.49,-80.01,-98.43,-0.48,0.38,0.12
"
