sysTime,roll,pitch,yaw,ax,ay,az,sqrt,average
5:21:32:46:10034,3.2,-1.84,-123.46,-0.03,0.06,0.98,0.98,0.0
5:21:32:46:10133,3.19,-1.85,-123.46,-0.03,0.06,0.98,0.99,0.0
5:21:32:46:10229,3.19,-1.85,-123.46,-0.03,0.05,0.98,0.98,0.0
5:21:32:46:10348,3.18,-1.83,-123.44,-0.03,0.05,0.99,0.99,0.0
5:21:32:46:10433,3.19,-1.82,-123.41,-0.03,0.05,0.98,0.98,0.0
5:21:32:46:10530,3.19,-1.82,-123.41,-0.03,0.05,0.98,0.98,0.0
5:21:32:47:10833,3.19,-1.83,-123.38,-0.03,0.05,0.98,0.98,0.0
5:21:32:47:10930,3.19,-1.83,-123.36,-0.03,0.05,0.98,0.98,0.0
5:21:32:47:11026,3.19,-1.82,-123.34,-0.03,0.05,0.98,0.98,0.0
5:21:32:47:11121,3.19,-1.82,-123.35,-0.03,0.05,0.98,0.98,0.0
5:21:32:47:11233,3.19,-1.82,-123.34,-0.03,0.05,0.98,0.99,0.0
5:21:32:47:11330,3.19,-1.82,-123.33,-0.03,0.05,0.98,0.99,0.0
5:21:32:47:11425,3.19,-1.82,-123.31,-0.03,0.05,0.98,0.98,0.0
5:21:32:48:12032,3.2,-1.83,-123.37,-0.04,0.05,0.99,0.99,0.0
5:21:32:48:12128,3.2,-1.83,-123.37,-0.04,0.04,0.99,0.99,0.0
5:21:32:48:12225,3.2,-1.83,-123.35,-0.03,0.05,0.98,0.99,0.0
5:21:32:48:12322,3.2,-1.84,-123.36,-0.03,0.05,0.98,0.98,0.0
5:21:32:48:12432,3.2,-1.84,-123.37,-0.03,0.05,0.98,0.98,0.0
5:21:32:48:12529,3.2,-1.84,-123.37,-0.03,0.05,0.99,0.99,0.0
5:21:32:48:12625,3.2,-1.84,-123.38,-0.03,0.05,0.99,0.99,0.0
5:21:32:49:12831,3.19,-1.83,-123.37,-0.03,0.05,0.98,0.98,0.0
5:21:32:49:12928,3.19,-1.83,-123.39,-0.03,0.05,0.98,0.99,0.0
5:21:32:49:13024,3.19,-1.83,-123.37,-0.03,0.05,0.98,0.98,0.0
5:21:32:49:13120,3.19,-1.83,-123.36,-0.03,0.05,0.98,0.98,0.0
