sysTime,serialLOG
4:20:20:41:10279,"
"
4:20:20:41:10280,"OK
"
4:20:20:42:11261,"
"
4:20:20:42:11262,"OK
"
4:20:20:43:12180,"
"
4:20:20:43:12212,"CONNECT 0001953D04A9
"
4:20:20:44:12668,"%,3,2,3,1
"
4:20:20:44:12668,"%,4,1,3
"
4:20:20:45:13643,"%,3,2,3,1
"
4:20:20:45:13644,"%,4,1,3
"
4:20:20:45:13900,"%,1,6,-1.45,-44.64,116.39,-0.62,-0.03,0.68
"
4:20:20:45:14012,"%,1,6,-0.30,-46.97,115.78,-0.70,-0.02,0.63
"
4:20:20:45:14092,"%,1,6,0.53,-50.50,115.71,-0.74,0.04,0.58
"
4:20:20:45:14188,"%,1,6,1.58,-52.66,113.98,-0.86,0.01,0.62
"
4:20:20:45:14299,"%,1,6,-1.44,-55.17,116.17,-0.80,-0.01,0.51
"
4:20:20:45:14412,"%,1,6,-3.47,-57.13,117.81,-0.86,-0.04,0.52
"
4:20:20:45:14507,"%,1,6,-3.71,-56.72,117.83,-0.82,-0.03,0.51
"
4:20:20:46:14651,"%,3,2,3,1
"
4:20:20:46:14651,"%,4,1,1
"
4:20:20:46:14651,"%,7,1,17
"
4:20:20:47:15641,"%,3,2,3,1
"
4:20:20:47:15642,"%,4,1,3
"
4:20:20:48:16632,"%,3,2,3,1
"
4:20:20:48:16633,"%,4,1,3
"
4:20:20:49:17639,"%,3,2,3,1
"
4:20:20:49:17640,"%,4,1,3
"
4:20:20:50:18631,"%,3,2,3,1
"
4:20:20:50:18631,"%,4,1,3
"
4:20:20:51:19622,"%,3,2,3,1
"
4:20:20:51:19622,"%,4,1,3
"
4:20:20:51:19622,"%,7,1,33
"
4:20:20:52:20629,"%,3,2,3,1
"
4:20:20:52:20629,"%,4,1,3
"
4:20:20:53:21620,"%,3,2,3,1
"
4:20:20:53:21620,"%,4,1,3
"
4:20:20:54:22611,"%,3,2,3,1
"
4:20:20:54:22612,"%,4,1,3
"
4:20:20:55:23618,"%,3,2,3,1
"
4:20:20:55:23619,"%,4,1,3
"
4:20:20:55:24609,"%,3,2,3,1
"
4:20:20:55:24610,"%,4,1,3
"
4:20:20:55:24610,"%,7,1,46
"
4:20:20:56:25584,"%,3,2,3,1
"
4:20:20:56:25585,"%,4,1,3
"
4:20:20:57:26607,"%,3,2,3,1
"
4:20:20:57:26608,"%,4,1,3
"
4:20:20:58:27599,"%,3,2,3,1
"
4:20:20:58:27599,"%,4,1,3
"
4:20:20:59:28591,"%,3,2,3,1
"
4:20:20:59:28591,"%,4,1,3
"
4:20:21:0:29597,"%,3,2,3,1
"
4:20:21:0:29597,"%,4,1,3
"
4:20:21:0:29598,"%,7,1,61
"
4:20:21:1:29901,"%,1,6,99.63,-18.45,31.43,-0.23,0.87,-0.39
"
4:20:21:1:29998,"%,1,6,94.84,-21.69,32.51,-0.18,0.79,-0.34
"
4:20:21:1:30093,"%,1,6,94.00,-21.16,30.57,-0.20,0.88,-0.34
"
4:20:21:1:30204,"%,1,6,95.85,-19.97,21.99,-0.26,1.11,-0.45
"
4:20:21:1:30301,"%,1,6,100.18,-16.57,10.06,-0.35,1.01,-0.28
"
4:20:21:1:30397,"%,1,6,102.96,-14.69,1.68,-0.39,1.14,0.18
"
4:20:21:1:30493,"%,1,6,91.35,-16.11,7.82,-0.53,1.11,0.37
"
4:20:21:1:30573,"%,3,2,3,1
"
4:20:21:1:30573,"%,4,1,1
"
4:20:21:2:31579,"%,3,2,3,1
"
4:20:21:2:31579,"%,4,1,3
"
4:20:21:3:32571,"%,3,2,3,1
"
4:20:21:3:32571,"%,4,1,3
"
4:20:21:4:33561,"%,3,2,3,1
"
4:20:21:4:33562,"%,4,1,3
"
4:20:21:5:34569,"%,3,2,3,1
"
4:20:21:5:34569,"%,4,1,3
"
4:20:21:5:34569,"%,7,1,76
"
4:20:21:6:35560,"%,3,2,3,1
"
4:20:21:6:35560,"%,4,1,3
"
4:20:21:7:36551,"%,3,2,3,1
"
4:20:21:7:36551,"%,4,1,3
"
4:20:21:8:37542,"%,3,2,3,1
"
4:20:21:8:37543,"%,4,1,3
"
4:20:21:9:38533,"%,3,2,3,1
"
4:20:21:9:38549,"%,4,1,3
"
4:20:21:10:39540,"%,3,2,3,1
"
4:20:21:10:39541,"%,4,1,3
"
4:20:21:10:39542,"%,7,1,91
"
4:20:21:11:40531,"%,3,2,3,1
"
4:20:21:11:40531,"%,4,1,3
"
4:20:21:12:41538,"%,3,2,3,1
"
4:20:21:12:41538,"%,4,1,3
"
4:20:21:13:42529,"%,3,2,3,1
"
4:20:21:13:42529,"%,4,1,3
"
4:20:21:14:43504,"%,3,2,3,1
"
4:20:21:14:43536,"%,4,1,3
"
4:20:21:15:44512,"%,3,2,3,1
"
4:20:21:15:44527,"%,4,1,3
"
4:20:21:15:44527,"%,7,1,104
"
4:20:21:16:45503,"%,3,2,3,1
"
4:20:21:16:45503,"%,4,1,3
"
4:20:21:17:46494,"%,3,2,3,1
"
4:20:21:17:46494,"%,4,1,3
"
