sysTime,roll,pitch,yaw,ax,ay,az,sqrt,average
6:10:10:57:30118,-91.99,-37.97,-121.56,-0.65,-0.77,-0.01,1.01,1.0
6:10:10:58:30214,-92.04,-37.83,-121.29,-0.64,-0.77,-0.01,1.0,1.01
6:10:10:58:30326,-91.89,-38.06,-121.19,-0.65,-0.76,-0.01,1.0,1.0
6:10:10:58:30422,-91.7,-38.2,-121.09,-0.65,-0.76,-0.01,1.0,1.0
6:10:10:58:30517,-91.74,-38.16,-120.9,-0.64,-0.77,-0.0,1.0,1.0
6:10:10:58:30613,-91.86,-38.18,-120.69,-0.64,-0.76,-0.01,1.0,1.0
6:10:10:58:30725,-91.93,-38.13,-120.41,-0.65,-0.77,-0.01,1.01,1.0
6:10:10:58:31120,-93.53,-38.34,-119.04,-0.66,-0.76,-0.05,1.0,1.01
6:10:10:59:31215,-94.5,-37.79,-118.55,-0.64,-0.78,-0.05,1.01,1.01
6:10:10:59:31327,-94.88,-37.54,-118.38,-0.63,-0.78,-0.05,1.01,1.01
6:10:10:59:31424,-95.04,-37.68,-118.3,-0.64,-0.77,-0.06,1.0,1.0
6:10:10:59:31519,-94.92,-37.85,-118.37,-0.67,-0.76,-0.07,1.02,1.0
6:10:10:59:31615,-94.49,-37.48,-118.21,-0.64,-0.77,-0.05,1.0,1.01
6:10:10:59:32124,-92.99,-34.93,-119.63,-0.57,-0.81,-0.01,0.99,1.0
6:10:11:0:32221,-92.34,-34.82,-119.95,-0.57,-0.84,-0.0,1.01,1.0
6:10:11:0:32317,-92.09,-34.98,-119.88,-0.59,-0.82,-0.03,1.01,1.01
6:10:11:0:32429,-92.27,-35.1,-119.53,-0.59,-0.8,-0.02,0.99,1.0
6:10:11:0:32509,-92.43,-34.89,-119.09,-0.58,-0.81,-0.04,1.0,1.0
6:10:11:0:32621,-92.76,-34.63,-118.75,-0.59,-0.81,-0.04,1.0,1.0
6:10:11:0:32715,-92.99,-34.43,-118.55,-0.58,-0.81,-0.04,1.0,1.0
6:10:11:0:33127,-93.32,-33.64,-120.51,-0.57,-0.83,-0.05,1.0,1.0
6:10:11:1:33207,-93.27,-33.79,-122.47,-0.61,-0.84,-0.08,1.04,1.01
6:10:11:1:33319,-92.83,-33.36,-124.95,-0.55,-0.82,-0.04,0.99,1.02
6:10:11:1:33415,-91.01,-32.28,-127.56,-0.51,-0.84,0.01,0.99,0.99
6:10:11:1:33511,-89.62,-30.9,-129.54,-0.48,-0.88,0.04,1.0,0.99
6:10:11:1:33622,-88.79,-30.04,-131.1,-0.49,-0.89,0.05,1.01,1.01
6:10:11:1:34124,-88.05,-29.86,-130.53,-0.51,-0.85,0.03,0.99,1.01
6:10:11:2:34220,-88.31,-30.03,-130.28,-0.52,-0.85,0.03,0.99,0.99
6:10:11:2:34316,-88.57,-30.28,-130.09,-0.52,-0.84,0.01,0.99,0.99
6:10:11:2:34428,-88.77,-30.41,-130.3,-0.52,-0.83,0.02,0.97,0.98
6:10:11:2:34525,-88.62,-30.33,-130.8,-0.52,-0.86,0.02,1.01,0.99
6:10:11:2:34620,-88.78,-30.25,-131.03,-0.5,-0.85,0.03,0.98,1.0
6:10:11:2:34721,-88.9,-30.41,-131.05,-0.51,-0.85,0.03,1.0,0.99
