sysTime,serialLOG
4:8:56:7:11043,"
"
4:8:56:7:11043,"OK
"
4:8:56:8:12027,"
"
4:8:56:8:12028,"OK
"
4:8:56:9:12915,"
"
4:8:56:9:12931,"CONNECT 0001953D04A9
"
4:8:56:10:13355,"%,1,6,69.78,-43.53,163.16,-0.69,0.67,0.24
"
4:8:56:10:13356,"%,1,6,69.84,-43.48,162.95,-0.70,0.68,0.24
"
4:8:56:10:13356,"%,3,2,2,1
"
4:8:56:10:13356,"%,4,1,3
"
4:8:56:10:13594,"%,2,6,37.2895622,127.0656509,6.78,10,0.01,0.00
"
4:8:56:10:13595,"%,5,2,380.98,231.22
"
4:8:56:10:13595,"%,8,1,0
"
4:8:56:10:13596,"Distance=380.98
"
4:8:56:10:13597,"velocity_air=0.01
"
4:8:56:10:13598,"velocity_fall=-67.60
"
4:8:56:10:13598,"height=67.80
"
4:8:56:10:13598,"estimate_landing_point=-0.01
"
4:8:56:10:13610,"distance_delta=-380.99
"
4:8:56:10:13674,"%,1,6,64.71,-42.49,163.95,-0.68,0.66,0.29
"
4:8:56:10:13770,"%,1,6,63.65,-42.18,164.99,-0.68,0.68,0.34
"
4:8:56:10:13867,"%,1,6,64.64,-42.96,164.16,-0.70,0.67,0.32
"
4:8:56:10:13978,"%,1,6,68.92,-44.96,160.64,-0.74,0.68,0.28
"
4:8:56:10:14089,"%,1,6,71.81,-45.80,158.09,-0.71,0.67,0.22
"
4:8:56:11:14187,"%,1,6,73.19,-46.09,157.08,-0.72,0.69,0.21
"
4:8:56:11:14266,"%,3,2,2,1
"
4:8:56:11:14267,"%,4,1,3
"
4:8:56:11:14554,"%,2,6,37.2895660,127.0656509,6.79,10,0.02,0.00
"
4:8:56:11:14582,"%,5,2,380.98,231.22
"
4:8:56:11:14583,"%,8,1,0
"
4:8:56:11:14583,"Distance=380.98
"
4:8:56:11:14584,"velocity_air=0.02
"
4:8:56:11:14585,"velocity_fall=-67.40
"
4:8:56:11:14585,"height=67.90
"
4:8:56:11:14586,"estimate_landing_point=-0.02
"
4:8:56:11:14598,"distance_delta=-381.00
"
4:8:56:11:14599,"%,1,6,82.76,-46.21,150.33,-0.71,0.69,0.09
"
4:8:56:11:14663,"%,1,6,83.61,-46.02,149.87,-0.71,0.70,0.07
"
4:8:56:11:14791,"%,1,6,83.70,-45.97,150.13,-0.72,0.70,0.09
"
4:8:56:11:14871,"%,1,6,83.21,-46.14,150.80,-0.73,0.70,0.07
"
4:8:56:11:14966,"%,1,6,82.50,-46.28,151.62,-0.74,0.70,0.08
"
4:8:56:11:15078,"%,1,6,81.34,-46.30,152.77,-0.73,0.69,0.11
"
4:8:56:12:15190,"%,1,6,80.69,-46.31,153.38,-0.73,0.71,0.11
"
4:8:56:12:15238,"%,3,2,2,1
"
4:8:56:12:15238,"%,4,1,3
"
4:8:56:12:15587,"%,2,6,37.2895660,127.0656433,6.80,11,0.02,0.00
"
4:8:56:12:15587,"%,5,2,380.46,231.16
"
4:8:56:12:15588,"%,8,1,0
"
4:8:56:12:15588,"Distance=380.46
"
4:8:56:12:15588,"velocity_air=0.02
"
4:8:56:12:15589,"velocity_fall=-66.80
"
4:8:56:12:15589,"height=68.00
"
4:8:56:12:15589,"estimate_landing_point=-0.02
"
4:8:56:12:15603,"distance_delta=-380.48
"
4:8:56:12:15683,"%,1,6,81.06,-46.68,153.85,-0.75,0.70,0.09
"
4:8:56:12:15779,"%,1,6,81.51,-46.63,153.69,-0.73,0.68,0.10
"
4:8:56:12:15876,"%,1,6,82.07,-46.67,153.42,-0.74,0.70,0.09
"
4:8:56:12:15987,"%,1,6,82.82,-46.73,152.78,-0.73,0.70,0.08
"
4:8:56:12:16083,"%,1,6,82.49,-46.71,152.91,-0.74,0.69,0.09
"
4:8:56:12:16179,"%,1,6,82.02,-46.66,153.32,-0.74,0.70,0.10
"
4:8:56:13:16243,"%,3,2,2,1
"
4:8:56:13:16258,"%,4,1,3
"
4:8:56:13:16258,"%,7,1,14
"
4:8:56:13:16582,"%,2,6,37.2895660,127.0656433,6.79,12,0.01,0.00
"
4:8:56:13:16583,"%,5,2,380.46,231.16
"
4:8:56:13:16583,"%,8,1,0
"
4:8:56:13:16583,"Distance=380.46
"
4:8:56:13:16583,"velocity_air=0.01
"
4:8:56:13:16584,"velocity_fall=-67.20
"
4:8:56:13:16584,"height=67.90
"
4:8:56:13:16584,"estimate_landing_point=-0.01
"
4:8:56:13:16584,"distance_delta=-380.47
"
4:8:56:13:16585,"%,1,6,81.50,-46.82,153.38,-0.74,0.69,0.11
"
4:8:56:13:16661,"%,1,6,81.67,-46.86,153.23,-0.73,0.69,0.10
"
4:8:56:13:16774,"%,1,6,81.61,-46.82,153.35,-0.74,0.70,0.11
"
4:8:56:13:16870,"%,1,6,82.26,-46.86,152.82,-0.75,0.70,0.07
"
4:8:56:13:16981,"%,1,6,82.09,-46.71,152.94,-0.75,0.71,0.12
"
4:8:56:13:17078,"%,1,6,82.45,-46.47,152.94,-0.71,0.68,0.09
"
4:8:56:13:17174,"%,1,6,82.30,-46.62,153.11,-0.71,0.69,0.10
"
4:8:56:14:17254,"%,3,2,2,1
"
4:8:56:14:17254,"%,4,1,3
"
4:8:56:14:17583,"%,2,6,37.2895660,127.0656433,6.79,11,0.03,0.00
"
4:8:56:14:17584,"%,5,2,380.46,231.16
"
4:8:56:14:17584,"%,8,1,0
"
4:8:56:14:17584,"Distance=380.46
"
4:8:56:14:17584,"velocity_air=0.03
"
4:8:56:14:17585,"velocity_fall=-67.00
"
4:8:56:14:17585,"height=67.90
"
4:8:56:14:17585,"estimate_landing_point=-0.03
"
4:8:56:14:17586,"distance_delta=-380.49
"
4:8:56:14:17679,"%,1,6,82.88,-46.37,152.60,-0.71,0.69,0.11
"
4:8:56:14:17760,"%,1,6,82.61,-46.37,152.66,-0.72,0.69,0.10
"
4:8:56:14:17887,"%,1,6,82.06,-46.47,153.06,-0.74,0.70,0.10
"
4:8:56:14:17983,"%,1,6,81.67,-46.55,153.64,-0.73,0.69,0.11
"
4:8:56:14:18079,"%,1,6,81.73,-46.53,153.98,-0.74,0.70,0.09
"
4:8:56:14:18127,"1,Command without attached callback;
"
4:8:56:14:18127,"%,7,2,1
"
4:8:56:15:18191,"%,1,6,82.45,-46.47,153.59,-0.72,0.70,0.08
"
4:8:56:15:18255,"%,3,2,2,1
"
4:8:56:15:18255,"%,4,1,3
"
4:8:56:15:18570,"%,2,6,37.2895660,127.0656433,6.78,11,0.01,0.00
"
4:8:56:15:18570,"%,5,2,380.46,231.16
"
4:8:56:15:18571,"%,8,1,0
"
4:8:56:15:18571,"Distance=380.46
"
4:8:56:15:18571,"velocity_air=0.01
"
4:8:56:15:18571,"velocity_fall=-67.40
"
4:8:56:15:18572,"height=67.80
"
4:8:56:15:18572,"estimate_landing_point=-0.01
"
4:8:56:15:18585,"distance_delta=-380.47
"
4:8:56:15:18586,"%,1,6,80.31,-46.81,155.26,-0.73,0.67,0.13
"
4:8:56:15:18682,"%,1,6,80.67,-46.96,154.81,-0.74,0.69,0.11
"
4:8:56:15:18778,"%,1,6,81.44,-46.96,153.83,-0.74,0.67,0.08
"
4:8:56:15:18889,"%,1,6,80.61,-46.89,153.97,-0.76,0.69,0.15
"
4:8:56:15:18986,"%,1,6,80.32,-46.67,154.00,-0.72,0.70,0.14
"
4:8:56:15:19082,"%,1,6,80.69,-46.71,153.86,-0.73,0.68,0.10
"
4:8:56:15:19177,"%,1,6,80.69,-46.75,153.77,-0.74,0.69,0.11
"
4:8:56:16:19241,"%,3,2,2,1
"
4:8:56:16:19242,"%,4,1,3
"
4:8:56:16:19588,"%,2,6,37.2895698,127.0656433,6.77,12,0.02,0.00
"
4:8:56:16:19589,"%,5,2,380.69,231.11
"
4:8:56:16:19589,"%,8,1,0
"
4:8:56:16:19589,"Distance=380.69
"
4:8:56:16:19589,"velocity_air=0.02
"
