sysTime,serialLOG
6:8:55:23:9500,"
"
6:8:55:23:9501,"OK
"
6:8:55:24:10488,"
"
6:8:55:24:10488,"OK
"
6:8:55:25:11474,"
"
6:8:55:25:11490,"CONNECT 0001953D04A9
"
6:8:55:26:11948,"%,2,6,37.2895660,127.0656433,72.50,12,0.01,0.00
"
6:8:55:26:11949,"%,5,2,380.46,231.16
"
6:8:55:26:11981,"%,1,6,94.04,-25.94,111.05,-0.46,0.91,-0.05,1.02,1.02
"
6:8:55:26:12091,"%,1,6,93.84,-25.73,110.77,-0.43,0.91,-0.05,1.01,1.02
"
6:8:55:26:12188,"%,1,6,93.72,-25.83,110.66,-0.46,0.92,-0.07,1.03,1.02
"
6:8:55:26:12299,"%,1,6,93.54,-25.51,110.35,-0.46,0.92,-0.04,1.03,1.02
"
6:8:55:26:12395,"%,1,6,93.75,-25.58,110.23,-0.45,0.92,-0.06,1.02,1.03
"
6:8:55:26:12493,"%,1,6,93.79,-25.40,110.17,-0.44,0.92,-0.06,1.02,1.02
"
6:8:55:26:12588,"%,1,6,94.12,-25.47,110.13,-0.44,0.91,-0.07,1.01,1.02
"
6:8:55:26:12619,"%,3,2,3,1
"
6:8:55:26:12620,"%,4,1,3
"
6:8:55:27:12946,"%,2,6,37.2895698,127.0656433,72.40,12,0.00,0.00
"
6:8:55:27:12948,"%,5,2,380.69,231.11
"
6:8:55:27:12995,"%,1,6,93.78,-25.44,110.83,-0.44,0.92,-0.07,1.03,1.02
"
6:8:55:27:13091,"%,1,6,93.74,-25.20,110.50,-0.42,0.94,-0.07,1.03,1.02
"
6:8:55:27:13187,"%,1,6,93.91,-25.34,110.83,-0.43,0.93,-0.06,1.02,1.03
"
6:8:55:27:13299,"%,1,6,94.14,-25.65,110.93,-0.45,0.90,-0.07,1.01,1.02
"
6:8:55:27:13395,"%,1,6,93.83,-25.54,110.89,-0.43,0.90,-0.06,1.00,1.01
"
6:8:55:27:13491,"%,1,6,93.98,-25.55,111.10,-0.45,0.89,-0.06,1.00,1.00
"
6:8:55:27:13602,"%,1,6,93.92,-25.57,111.14,-0.44,0.92,-0.06,1.02,1.01
"
6:8:55:27:13650,"%,3,2,3,1
"
6:8:55:27:13651,"%,4,1,3
"
6:8:55:28:13916,"%,2,6,37.2895698,127.0656433,72.10,12,0.03,0.00
"
6:8:55:28:13931,"%,5,2,380.69,231.11
"
6:8:55:28:13964,"%,1,6,93.48,-25.26,111.01,-0.42,0.92,-0.04,1.01,1.01
"
6:8:55:28:14093,"%,1,6,93.73,-25.35,110.92,-0.44,0.92,-0.07,1.02,1.02
"
6:8:55:28:14203,"%,1,6,93.90,-25.45,110.87,-0.45,0.93,-0.07,1.03,1.02
"
6:8:55:28:14284,"%,1,6,93.98,-25.34,110.94,-0.45,0.91,-0.05,1.02,1.02
"
6:8:55:28:14396,"%,1,6,94.05,-25.34,110.76,-0.45,0.92,-0.06,1.03,1.02
"
6:8:55:28:14492,"%,1,6,94.28,-25.35,110.73,-0.45,0.92,-0.05,1.03,1.02
"
6:8:55:28:14587,"%,1,6,94.52,-25.37,110.63,-0.44,0.93,-0.08,1.03,1.03
"
6:8:55:28:14619,"%,3,2,3,1
"
6:8:55:28:14619,"%,4,1,3
"
6:8:55:29:14953,"%,2,6,37.2895698,127.0656433,71.80,12,0.01,0.00
"
6:8:55:29:14954,"%,5,2,380.69,231.11
"
6:8:55:29:14985,"%,1,6,94.02,-25.48,110.32,-0.44,0.92,-0.07,1.02,1.03
"
6:8:55:29:15081,"%,1,6,93.57,-25.22,110.31,-0.44,0.92,-0.06,1.02,1.03
"
6:8:55:29:15193,"%,1,6,93.40,-25.11,110.28,-0.43,0.92,-0.05,1.01,1.02
"
6:8:55:29:15289,"%,1,6,93.14,-24.98,110.26,-0.42,0.90,-0.04,1.00,1.01
"
6:8:55:29:15385,"%,1,6,93.16,-25.09,110.27,-0.43,0.91,-0.04,1.01,1.01
"
6:8:55:29:15497,"%,1,6,93.47,-25.11,110.15,-0.43,0.93,-0.06,1.02,1.01
"
6:8:55:29:15593,"%,1,6,93.49,-24.95,109.99,-0.42,0.90,-0.04,0.99,1.01
"
6:8:55:29:15640,"%,3,2,3,1
"
6:8:55:29:15640,"%,4,1,3
"
6:8:55:29:15640,"%,7,1,0
"
6:8:55:30:15927,"%,2,6,37.2895698,127.0656433,71.40,12,0.01,0.00
"
6:8:55:30:15928,"%,5,2,380.69,231.11
"
6:8:55:30:15975,"%,1,6,93.44,-24.67,109.53,-0.43,0.92,-0.07,1.02,1.01
"
6:8:55:30:16086,"%,1,6,93.38,-24.64,109.58,-0.42,0.92,-0.05,1.02,1.01
"
6:8:55:30:16198,"%,1,6,93.45,-24.58,109.66,-0.43,0.93,-0.05,1.02,1.02
"
6:8:55:30:16294,"%,1,6,94.12,-25.40,109.84,-0.48,0.93,-0.08,1.05,1.03
"
6:8:55:30:16391,"%,1,6,93.91,-25.26,110.09,-0.40,0.91,-0.04,0.99,1.02
"
6:8:55:30:16485,"%,1,6,93.77,-25.28,110.29,-0.44,0.92,-0.07,1.02,1.02
"
6:8:55:30:16598,"%,1,6,93.73,-25.12,110.20,-0.42,0.90,-0.06,0.99,1.00
"
6:8:55:30:16613,"%,3,2,3,1
"
6:8:55:30:16614,"%,4,1,3
"
