gpsTime,sysTime,Lat,Lng,Alt,speed,course,bearing,dist,ctlangle,isWindCheck,isCheckWind
not defined yet,6:10:11:55:88025,37.289448,127.06554,68.9,0.16,229.89,317.91,59.55,88.02,,0
not defined yet,6:10:11:56:89017,37.28945,127.06554,68.8,0.1,229.89,317.91,59.55,88.02,,0
not defined yet,6:10:11:57:89995,37.28945,127.06555,68.6,0.01,229.89,317.91,59.55,88.02,,0
not defined yet,6:10:11:58:91045,37.289448,127.06555,68.8,0.04,229.89,316.96,60.47,87.07,,0
not defined yet,6:10:11:59:92010,37.289448,127.06554,68.9,0.04,229.89,316.96,60.47,87.07,,0
not defined yet,6:10:12:0:93045,37.289448,127.06554,69.0,0.02,229.89,317.91,59.55,88.02,,0
not defined yet,6:10:12:1:94039,37.289448,127.06554,69.2,0.11,229.89,317.91,59.55,88.02,,0
not defined yet,6:10:12:2:95032,37.289448,127.06554,70.1,0.02,229.89,317.91,59.55,88.02,,0
not defined yet,6:10:12:3:96035,37.289444,127.06554,70.3,0.04,229.89,317.91,59.55,88.02,,0
not defined yet,6:10:12:4:97031,37.289444,127.06552,71.2,0.04,229.89,318.28,59.98,88.39,,0
not defined yet,6:10:12:5:98030,37.289444,127.06552,71.4,0.07,229.89,319.26,59.08,89.37,,0
not defined yet,6:10:12:6:99047,37.28944,127.06552,72.6,0.33,229.89,319.26,59.08,89.37,,0
not defined yet,6:10:12:7:100048,37.289444,127.06554,75.8,0.79,100.77,319.61,59.52,89.72,,0
not defined yet,6:10:12:8:101016,37.289444,127.06554,80.8,0.58,77.86,318.28,59.98,-142.49,,0
not defined yet,6:10:12:9:102040,37.289444,127.06554,84.3,0.27,77.86,318.28,59.98,-119.58,,0
not defined yet,6:10:12:10:103058,37.28944,127.06554,87.4,0.5,125.82,318.28,59.98,-119.58,,0
not defined yet,6:10:12:11:104017,37.289433,127.06554,90.8,0.5,133.64,318.64,60.4,-167.18,,0
not defined yet,6:10:12:12:105042,37.289433,127.06554,94.9,0.46,108.51,319.22,61.12,-174.42,,0
not defined yet,6:10:12:13:106065,37.289433,127.06554,99.3,0.16,108.51,319.22,61.12,-149.29,,0
not defined yet,6:10:12:14:107030,37.289433,127.06555,103.5,0.19,108.51,319.22,61.12,-149.29,,0
not defined yet,6:10:12:15:108038,37.28943,127.06555,107.5,0.59,164.94,318.28,62.01,-150.23,,0
not defined yet,6:10:12:16:109060,37.28942,127.06555,111.3,0.69,171.44,318.63,62.43,153.69,,0
not defined yet,6:10:12:17:110015,37.289413,127.06555,115.0,0.6,169.16,319.08,63.01,147.64,,0
not defined yet,6:10:12:18:111044,37.28941,127.06555,118.9,0.53,162.15,319.08,63.01,149.92,,0
not defined yet,6:10:12:19:112009,37.28941,127.06555,123.2,0.43,118.3,319.53,63.58,157.38,,0
not defined yet,6:10:12:20:113062,37.28941,127.06556,127.5,0.45,78.09,319.53,63.58,-158.77,,0
not defined yet,6:10:12:21:114044,37.289413,127.06556,131.9,0.47,60.84,319.07,64.02,-119.02,,0
not defined yet,6:10:12:22:115042,37.289413,127.06556,136.3,0.5,51.18,318.62,63.45,-102.22,,0
not defined yet,6:10:12:23:116058,37.289417,127.06556,141.2,0.43,45.26,318.62,63.45,-92.56,,0
not defined yet,6:10:12:24:117056,37.289417,127.065575,146.2,0.36,47.38,318.62,63.45,-86.64,,0
not defined yet,6:10:12:25:118041,37.289417,127.065575,151.2,0.24,47.38,317.83,64.49,-89.55,,0
not defined yet,6:10:12:26:119036,37.289417,127.065575,156.3,0.19,47.38,317.83,64.49,-89.55,,0
not defined yet,6:10:12:27:120113,37.289417,127.065575,161.4,0.08,47.38,317.83,64.49,-89.55,,0
not defined yet,6:10:12:28:121031,37.289417,127.065575,166.5,0.02,47.38,317.83,64.49,-89.55,,0
not defined yet,6:10:12:29:122040,37.289417,127.065575,171.7,0.09,47.38,317.83,64.49,-89.55,,0
not defined yet,6:10:12:30:123034,37.289417,127.065575,176.9,0.06,47.38,317.83,64.49,-89.55,,0
not defined yet,6:10:12:31:124035,37.289413,127.065575,182.2,0.0,47.38,317.83,64.49,-89.55,,0
not defined yet,6:10:12:32:125052,37.289413,127.065575,187.6,0.07,47.38,317.83,64.49,-89.55,,0
not defined yet,6:10:12:33:126043,37.289413,127.065575,193.0,0.0,47.38,317.83,64.49,-89.55,,0
not defined yet,6:10:12:34:127040,37.289413,127.065575,198.3,0.11,47.38,317.83,64.49,-89.55,,0
not defined yet,6:10:12:35:128040,37.289413,127.065575,203.8,0.2,47.38,317.83,64.49,-89.55,,0
not defined yet,6:10:12:36:129063,37.28941,127.065575,209.1,0.31,143.71,317.83,64.49,-89.55,,0
not defined yet,6:10:12:37:130065,37.28941,127.065575,214.5,0.23,143.71,318.28,65.06,174.57,,0
not defined yet,6:10:12:38:131076,37.28941,127.065575,219.9,0.29,197.1,318.28,65.06,174.57,,0
not defined yet,6:10:12:39:132019,37.28941,127.06556,225.2,0.19,197.1,318.28,65.06,121.18,,0
not defined yet,6:10:12:40:133037,37.28941,127.06556,230.6,0.27,197.1,319.07,64.02,121.97,,0
not defined yet,6:10:12:41:134029,37.28941,127.06556,235.9,0.29,257.13,319.07,64.02,121.97,,0
not defined yet,6:10:12:42:135063,37.289413,127.06556,241.0,0.29,290.24,319.07,64.02,61.94,,0
not defined yet,6:10:12:43:136031,37.289413,127.06556,246.0,0.17,290.24,318.62,63.45,28.38,,0
not defined yet,6:10:12:44:137061,37.289413,127.06556,250.5,0.06,290.24,318.62,63.45,28.38,,0
not defined yet,6:10:12:45:138020,37.289413,127.06556,252.7,0.25,245.57,318.62,63.45,28.38,,0
not defined yet,6:10:12:46:139023,37.289413,127.06556,253.0,0.31,206.62,318.62,63.45,73.05,,0
not defined yet,6:10:12:47:140072,37.289413,127.06556,253.1,0.2,206.62,318.62,63.45,112.0,,0
not defined yet,6:10:12:48:141055,37.289413,127.06556,253.3,0.28,150.91,318.62,63.45,112.0,,0
not defined yet,6:10:12:49:142119,37.289417,127.065575,253.4,0.35,100.56,318.62,63.45,167.71,,0
not defined yet,6:10:12:51:144027,37.289417,127.065575,252.7,0.46,85.77,317.83,64.49,-142.73,,0
not defined yet,6:10:12:52:145159,37.28942,127.06559,246.7,0.78,166.03,317.83,64.49,-127.94,,0
not defined yet,6:10:12:53:146048,37.28941,127.065575,238.5,3.09,221.37,317.06,65.55,151.03,,0
not defined yet,6:10:12:54:147019,37.289394,127.06555,234.0,1.37,231.18,318.28,65.06,96.91,,0
not defined yet,6:10:12:55:148005,37.289364,127.06555,230.0,4.78,178.39,320.72,65.18,89.54,,0
not defined yet,6:10:12:56:149083,37.289333,127.06555,228.3,2.19,167.78,322.45,67.71,144.06,,0
not defined yet,6:10:12:57:150051,37.289314,127.06555,226.4,2.37,186.56,324.14,70.45,156.36,,0
not defined yet,6:10:12:58:151092,37.289295,127.06555,223.5,2.48,172.48,325.28,72.46,138.72,,0
not defined yet,6:10:12:59:152028,37.289272,127.06556,221.9,2.74,165.19,326.12,74.03,153.64,,0
not defined yet,6:10:13:0:153032,37.28924,127.06555,219.8,4.01,205.98,326.88,76.77,161.69,,0
not defined yet,6:10:13:1:154064,37.289204,127.06551,217.4,5.79,214.15,328.57,79.14,122.59,,0
not defined yet,6:10:13:2:155016,37.289158,127.065475,215.5,6.49,219.61,332.15,81.09,118.0,,0
not defined yet,6:10:13:3:156027,37.289127,127.06542,214.0,4.85,230.28,335.87,84.39,116.26,,0
not defined yet,6:10:13:5:157354,37.28911,127.06537,211.7,4.78,247.83,339.6,85.4,109.32,,0
not defined yet,6:10:13:6:159053,37.2891,127.06527,207.9,3.84,271.26,343.2,86.59,95.37,,0
not defined yet,6:10:13:7:160064,37.289104,127.06523,205.9,2.53,271.38,348.99,85.02,77.73,,0
not defined yet,6:10:13:8:161046,37.289116,127.065216,203.0,2.0,291.43,351.24,84.44,79.86,,0
not defined yet,6:10:13:9:162064,37.289124,127.06521,201.5,1.51,309.32,351.96,82.18,60.53,,0
not defined yet,6:10:13:10:163032,37.289124,127.06519,199.5,1.17,272.92,352.35,81.34,43.03,,0
not defined yet,6:10:13:11:164095,37.28912,127.06519,196.7,0.64,245.48,353.28,80.98,80.36,,0
not defined yet,6:10:13:12:165055,37.289116,127.06521,195.2,1.92,122.42,353.31,81.36,107.83,,0
not defined yet,6:10:13:13:166070,37.289093,127.06521,193.3,2.58,182.43,352.44,82.28,-129.98,,0
not defined yet,6:10:13:15:167216,37.28907,127.06521,190.6,3.61,186.79,352.64,84.53,170.21,,0
not defined yet,6:10:13:15:168065,37.28903,127.06521,188.8,4.72,172.88,352.9,87.54,166.11,,0
