sysTime,roll,pitch,yaw,ax,ay,az
4:20:14:50:29272,144.15,9.52,40.62,0.17,0.59,-0.82
4:20:14:50:29369,144.11,9.53,40.59,0.17,0.59,-0.82
4:20:14:50:29462,144.1,9.36,40.7,0.16,0.59,-0.84
4:20:14:50:29557,143.97,9.47,40.64,0.17,0.6,-0.82
4:20:14:50:29654,143.97,9.44,40.65,0.17,0.59,-0.82
4:20:14:50:29765,143.95,9.41,40.64,0.16,0.6,-0.82
4:20:14:50:29879,143.91,9.42,40.65,0.17,0.59,-0.82
4:20:14:55:34275,149.69,21.24,50.73,0.36,0.49,-0.82
4:20:14:55:34370,149.57,21.62,50.57,0.38,0.48,-0.82
4:20:14:55:34467,149.43,21.76,50.46,0.39,0.49,-0.82
4:20:14:55:34562,149.42,21.42,50.55,0.36,0.49,-0.83
4:20:14:55:34673,149.49,21.35,50.66,0.37,0.48,-0.82
4:20:14:55:34770,149.46,21.38,50.78,0.38,0.49,-0.82
4:20:14:55:34866,149.59,21.34,50.79,0.37,0.48,-0.82
4:20:15:0:39262,149.91,21.1,53.11,0.37,0.48,-0.82
4:20:15:0:39389,149.96,21.08,53.24,0.37,0.48,-0.83
4:20:15:0:39486,149.92,21.16,53.23,0.37,0.48,-0.83
4:20:15:0:39566,149.88,21.04,53.35,0.36,0.48,-0.84
4:20:15:0:39678,149.89,21.07,53.41,0.37,0.48,-0.83
4:20:15:0:39772,149.82,21.13,53.51,0.37,0.48,-0.83
4:20:15:0:39869,149.77,21.06,53.47,0.36,0.48,-0.83
4:20:15:5:44266,149.74,21.03,54.25,0.36,0.49,-0.82
4:20:15:5:44395,149.74,21.12,54.33,0.37,0.48,-0.82
4:20:15:5:44474,149.64,21.09,54.28,0.37,0.49,-0.83
4:20:15:5:44569,149.58,21.08,54.28,0.37,0.49,-0.82
4:20:15:5:44680,149.68,21.13,54.26,0.37,0.48,-0.82
4:20:15:5:44776,149.68,21.07,54.18,0.37,0.48,-0.83
4:20:15:5:44872,149.69,20.96,54.16,0.36,0.48,-0.83
4:20:15:10:49286,149.94,20.63,54.58,0.35,0.48,-0.83
4:20:15:10:49365,149.98,20.74,54.61,0.36,0.47,-0.83
4:20:15:10:49464,150.02,20.78,54.61,0.36,0.48,-0.83
4:20:15:10:49572,149.98,20.71,54.66,0.36,0.49,-0.83
4:20:15:10:49684,150.01,20.66,54.58,0.35,0.47,-0.83
4:20:15:10:49780,149.96,20.72,54.57,0.37,0.48,-0.83
4:20:15:10:49879,149.89,20.66,54.57,0.35,0.48,-0.83
4:20:15:15:54255,161.02,-16.08,86.46,-0.31,0.38,-0.93
4:20:15:15:54367,168.83,-11.73,91.52,-0.26,0.21,-0.99
4:20:15:15:54481,171.69,-4.2,92.56,-0.01,0.21,-1.06
4:20:15:15:54559,171.36,0.3,92.78,-0.03,0.17,-1.19
