sysTime,serialLOG
5:20:46:42:9106,"
"
5:20:46:42:9107,"OK
"
5:20:46:43:10084,"
"
5:20:46:43:10085,"OK
"
5:20:46:43:11031,"
"
5:20:46:43:11047,"CONNECT 0001953D04A9
"
5:20:46:44:11283,"%,1,6,1.38,-2.92,-91.78,-0.05,0.02,0.98,0.98,%,3,2,3,1
"
5:20:46:44:11284,"%,4,1,1
"
5:20:46:45:12111,"%,1,6,1.36,-2.80,-91.54,-0.05,0.02,0.98,0.99,%,1,6,1.36,-2.78,-91.46,-0.05,0.02,0.98,0.98,%,1,6,1.37,-2.79,-91.43,-0.05,0.02,0.99,0.99,%,1,6,1.36,-2.77,-91.37,-0.05,0.02,0.98,0.98,%,1,6,1.36,-2.77,-91.32,-0.05,0.02,0.98,0.99,%,1,6,1.37,-2.77,-91.29,-0.05,0.02,0.98,0.99,%,1,6,1.37,-2.77,-91.24,-0.05,0.02,0.98,0.98,%,3,2,3,1
"
5:20:46:45:12113,"%,4,1,1
"
5:20:46:46:13102,"%,1,6,1.36,-2.80,-91.15,-0.05,0.02,0.98,0.98,%,1,6,1.37,-2.81,-91.13,-0.05,0.02,0.98,0.98,%,1,6,1.37,-2.81,-91.10,-0.04,0.02,0.98,0.99,%,1,6,1.37,-2.82,-91.08,-0.04,0.02,0.98,0.98,%,1,6,1.37,-2.82,-91.06,-0.05,0.02,0.98,0.98,%,1,6,1.37,-2.81,-91.02,-0.05,0.02,0.98,0.98,%,1,6,1.37,-2.80,-90.99,-0.05,0.02,0.98,0.98,%,3,2,3,1
"
5:20:46:46:13103,"%,4,1,1
"
5:20:46:47:14109,"%,1,6,1.37,-2.85,-90.90,-0.05,0.02,0.99,0.99,%,1,6,1.37,-2.86,-90.90,-0.05,0.02,0.98,0.98,%,1,6,1.36,-2.86,-90.88,-0.04,0.02,0.98,0.98,%,1,6,1.36,-2.84,-90.84,-0.05,0.02,0.98,0.99,%,1,6,1.36,-2.86,-90.84,-0.05,0.02,0.98,0.98,%,1,6,1.37,-2.87,-90.84,-0.05,0.02,0.98,0.98,%,1,6,1.37,-2.87,-90.83,-0.05,0.02,0.98,0.98,%,3,2,3,1
"
5:20:46:47:14112,"%,4,1,1
"
5:20:46:47:14113,"%,7,1,0
"
5:20:46:48:15101,"%,1,6,1.36,-2.87,-90.75,-0.05,0.02,0.98,0.98,%,1,6,1.36,-2.87,-90.73,-0.05,0.02,0.98,0.98,%,1,6,1.36,-2.86,-90.71,-0.05,0.02,0.98,0.98,%,1,6,1.36,-2.88,-90.70,-0.05,0.02,0.98,0.98,%,1,6,1.36,-2.89,-90.69,-0.05,0.02,0.98,0.98,%,1,6,1.35,-2.89,-90.69,-0.04,0.02,0.98,0.98,%,1,6,1.35,-2.90,-90.69,-0.04,0.02,0.98,0.98,%,3,2,3,1
"
5:20:46:48:15103,"%,4,1,1
"
5:20:46:49:16107,"%,1,6,1.21,-4.58,-93.01,-0.10,-0.03,0.96,0.97,%,1,6,1.99,-17.78,-96.29,-0.23,0.07,0.75,0.79,%,1,6,7.90,-28.43,-101.66,-0.52,0.14,0.88,1.03,%,1,6,16.12,-33.50,-109.76,-0.49,0.22,0.75,0.92,%,1,6,24.01,-38.67,-118.57,-0.66,0.33,0.74,1.05,%,1,6,33.11,-40.03,-128.64,-0.73,0.43,0.63,1.05,%,1,6,40.56,-35.81,-140.75,-0.60,0.52,0.62,1.01,%,3,2,3,1
"
5:20:46:49:16108,"%,4,1,1
"
5:20:46:50:17098,"%,1,6,24.27,-20.65,-159.98,-0.32,0.45,0.81,0.98,%,1,6,11.13,-15.75,-158.10,-0.27,0.18,0.89,0.95,%,1,6,-2.91,-10.60,-152.82,-0.16,-0.06,0.97,0.99,%,1,6,-9.96,-6.32,-144.27,-0.19,-0.09,0.99,1.01,%,1,6,-3.53,-6.36,-135.43,-0.17,-0.03,0.99,1.01,%,1,6,19.74,-19.39,-130.75,-0.54,0.32,0.93,1.12,%,1,6,43.72,-29.55,-137.33,-0.51,0.68,0.53,1.00,%,3,2,3,1
"
5:20:46:50:17099,"%,4,1,1
"
5:20:46:50:18073,"%,1,6,26.62,-16.73,-148.64,-0.23,0.40,0.77,0.90,%,1,6,-2.53,-9.06,-147.48,-0.12,-0.10,1.06,1.07,%,1,6,-14.55,-8.84,-146.94,-0.17,-0.25,1.10,1.14,%,1,6,-6.33,-10.69,-148.12,-0.18,-0.14,1.08,1.11,%,1,6,15.19,-15.00,-148.46,-0.27,0.18,0.89,0.95,%,1,6,34.93,-19.60,-146.17,-0.33,0.46,0.71,0.91,%,1,6,49.56,-25.20,-139.20,-0.55,0.66,0.46,0.97,%,3,2,3,1
"
5:20:46:50:18074,"%,4,1,1
"
5:20:46:52:19081,"%,1,6,49.93,-23.54,-102.27,-0.45,0.74,0.40,0.95,%,1,6,30.80,-8.51,-96.61,-0.18,0.49,0.66,0.84,%,1,6,13.44,-10.03,-108.15,-0.18,0.15,1.01,1.03,%,1,6,-0.16,-16.38,-120.08,-0.37,0.01,0.88,0.96,%,1,6,-6.43,-25.38,-134.54,-0.47,-0.10,1.02,1.13,%,1,6,4.08,-31.61,-147.48,-0.50,0.06,1.03,1.15,%,1,6,24.72,-28.96,-151.82,-0.44,0.35,0.76,0.94,%,3,2,3,1
"
5:20:46:52:19083,"%,4,1,1
"
5:20:46:52:19084,"%,7,1,0
"
5:20:46:53:20088,"%,1,6,13.20,7.27,-96.20,0.21,0.27,0.83,0.90,%,1,6,-2.45,2.90,-98.29,-0.13,0.14,0.97,0.98,%,1,6,-1.72,-17.04,-113.35,-0.33,-0.08,0.83,0.90,%,1,6,6.24,-26.12,-126.18,-0.37,0.13,1.00,1.08,%,1,6,26.20,-29.30,-130.52,-0.36,0.28,0.85,0.97,%,1,6,36.90,-25.70,-117.90,-0.59,0.47,0.49,0.90,%,1,6,29.82,-21.40,-108.47,-0.42,0.58,0.91,1.15,%,3,2,3,1
"
5:20:46:53:20089,"%,4,1,1
"
5:20:46:54:21079,"%,1,6,13.90,-13.22,-100.56,-0.38,0.22,0.97,1.07,%,1,6,6.60,-14.77,-109.16,-0.28,0.08,0.98,1.02,%,1,6,-0.20,-9.46,-117.04,-0.20,-0.12,1.00,1.03,%,1,6,-1.72,-8.42,-123.63,-0.15,-0.05,0.98,0.99,%,1,6,-0.34,-7.87,-128.36,-0.06,0.04,0.99,0.99,%,1,6,-0.26,-6.20,-129.95,-0.06,-0.01,0.94,0.94,%,1,6,-1.26,-4.73,-129.42,-0.03,0.08,0.93,0.94,%,3,2,3,1
"
5:20:46:54:21080,"%,4,1,1
"
5:20:46:54:22070,"%,1,6,1.18,-0.18,-125.22,-0.14,-0.04,1.21,1.22,%,1,6,1.23,-0.19,-123.16,0.01,0.12,0.94,0.95,%,1,6,1.38,-0.28,-123.24,-0.04,0.03,0.98,0.99,%,1,6,1.41,-0.49,-122.76,-0.05,0.03,0.98,0.99,%,1,6,1.47,-0.68,-122.34,-0.04,0.04,0.98,0.98,%,1,6,1.51,-0.84,-121.95,-0.03,0.03,0.98,0.98,%,1,6,1.55,-0.97,-121.58,-0.04,0.03,0.98,0.98,%,3,2,3,1
"
5:20:46:54:22072,"%,4,1,1
"
5:20:46:55:23062,"%,1,6,1.67,-1.30,-120.62,-0.04,0.03,0.98,0.98,%,1,6,1.66,-1.27,-120.15,0.02,0.01,0.96,0.96,%,1,6,1.43,-1.59,-121.63,-0.02,0.04,0.98,0.99,%,1,6,2.03,-1.72,-125.14,-0.10,0.11,1.06,1.07,%,1,6,-0.05,4.21,-128.52,-0.03,0.14,1.04,1.05,%,1,6,-10.10,18.86,-129.19,0.33,-0.22,1.08,1.15,%,3,2,3,1
"
5:20:46:55:23063,"%,4,1,1
"
5:20:46:56:24069,"%,1,6,-22.40,46.59,-142.15,0.75,-0.31,0.50,0.95,%,1,6,-10.46,40.69,-142.45,0.58,-0.07,0.70,0.91,%,1,6,-3.97,36.89,-146.13,0.54,0.02,0.65,0.85,%,1,6,-0.91,33.10,-149.43,0.54,0.07,0.70,0.89,%,1,6,2.43,30.44,-149.47,0.50,0.13,0.93,1.06,%,1,6,11.67,29.86,-146.01,0.46,0.09,0.84,0.96,%,1,6,24.52,26.25,-138.57,0.47,0.32,0.75,0.94,%,3,2,3,1
"
5:20:46:56:24071,"%,4,1,1
"
5:20:46:56:24072,"%,7,1,0
"
