sysTime,roll,pitch,yaw,ax,ay,az,sqrt,average
5:20:55:7:11458,36.63,-18.32,-120.3,-0.37,0.66,0.69,1.02,NaN
5:20:55:8:12608,77.62,-24.62,-158.68,-0.36,0.86,0.21,0.96,NaN
5:20:55:9:13456,51.31,-26.12,-139.09,-0.4,0.79,0.61,1.08,NaN
5:20:55:10:14607,49.64,10.6,-135.84,0.17,0.73,0.64,0.98,NaN
5:20:55:11:15453,60.74,17.82,-113.74,0.44,0.82,0.79,1.22,NaN
5:20:55:12:16607,60.84,-9.96,-115.95,-0.34,1.98,1.29,2.39,NaN
5:20:55:13:17453,59.81,-6.25,-129.94,-0.34,0.94,0.62,1.18,NaN
5:20:55:14:18620,61.49,3.39,-130.9,-0.0,1.35,0.57,1.47,NaN
5:20:55:15:19451,65.83,13.27,-114.94,0.13,1.03,0.11,1.05,NaN
5:20:55:16:20618,64.48,16.96,-148.54,0.09,0.51,0.36,0.63,NaN
5:20:55:17:21449,64.8,-2.37,-116.33,-0.11,1.14,0.31,1.18,NaN
5:20:55:18:22617,56.66,-18.93,-172.08,-0.39,0.78,0.51,1.01,NaN
5:20:55:19:23448,43.29,-15.89,-166.86,-0.28,0.72,0.73,1.06,NaN
5:20:55:20:24615,1.95,0.12,-145.9,0.0,0.04,0.97,0.97,NaN
5:20:55:21:25446,2.17,-0.72,-137.57,-0.03,0.05,0.98,0.98,NaN
5:20:55:22:26613,3.1,-1.84,-124.58,-0.03,0.05,0.98,0.98,NaN
