sysTime,serialLOG
4:7:52:36:23481,"
"
4:7:52:36:23491,"OK
"
4:7:52:37:24499,"
"
4:7:52:37:24499,"OK
"
4:7:52:38:25517,"
"
4:7:52:38:25533,"CONNECT 0001953D04A9
"
4:7:52:38:25889,"%,2,6,37.2895660,127.0656280,7.42,11,0.02,143.83
"
4:7:52:38:25890,"%,5,2,379.28,231.05
"
4:7:52:38:25890,"%,8,1,0
"
4:7:52:38:25891,"Distance=379.28
"
4:7:52:38:25891,"velocity_air=0.02
"
4:7:52:38:25891,"velocity_fall=-73.00
"
4:7:52:38:25892,"height=74.20
"
4:7:52:38:25892,"estimate_landing_point=-0.02
"
4:7:52:38:25893,"distance_delta=-379.30
"
4:7:52:38:25893,"%,3,2,3,1
"
4:7:52:38:25894,"%,4,1,3
"
4:7:52:38:25937,"%,1,6,94.86,31.50,169.27,0.57,0.91,0.01
"
4:7:52:38:26049,"%,1,6,89.31,31.39,166.11,0.60,0.90,0.10
"
4:7:52:38:26145,"%,1,6,87.70,31.14,166.33,0.56,0.86,0.14
"
4:7:52:38:26257,"%,1,6,86.87,31.33,168.03,0.52,0.85,0.15
"
4:7:52:39:26353,"%,1,6,86.55,31.38,169.92,0.53,0.85,0.17
"
4:7:52:39:26449,"%,1,6,86.44,31.36,172.07,0.53,0.82,0.15
"
4:7:52:39:26817,"%,2,6,37.2895660,127.0656280,7.43,11,0.08,143.83
"
4:7:52:39:26833,"%,5,2,379.28,231.05
"
4:7:52:39:26833,"%,8,1,0
"
4:7:52:39:26834,"Distance=379.28
"
4:7:52:39:26859,"velocity_air=0.08
"
4:7:52:39:26859,"velocity_fall=-73.00
"
4:7:52:39:26860,"height=74.30
"
4:7:52:39:26860,"estimate_landing_point=-0.08
"
4:7:52:39:26860,"distance_delta=-379.36
"
4:7:52:39:26860,"%,3,2,3,1
"
4:7:52:39:26861,"%,4,1,3
"
4:7:52:39:26923,"%,1,6,89.99,31.45,-176.11,0.53,0.82,0.10
"
4:7:52:39:27034,"%,1,6,90.62,31.66,-174.45,0.53,0.82,0.09
"
4:7:52:39:27146,"%,1,6,90.90,31.75,-173.26,0.53,0.81,0.08
"
4:7:52:39:27226,"%,1,6,90.65,31.64,-172.24,0.53,0.83,0.08
"
4:7:52:39:27322,"%,1,6,90.29,31.54,-171.51,0.54,0.84,0.07
"
4:7:52:40:27450,"%,1,6,89.99,31.55,-170.93,0.54,0.85,0.08
"
4:7:52:40:27802,"%,2,6,37.2895660,127.0656280,7.42,11,0.11,143.83
"
4:7:52:40:27844,"%,5,2,379.28,231.05
"
4:7:52:40:27844,"%,8,1,0
"
4:7:52:40:27845,"Distance=379.28
"
4:7:52:40:27845,"velocity_air=0.11
"
4:7:52:40:27845,"velocity_fall=-73.00
"
4:7:52:40:27845,"height=74.20
"
4:7:52:40:27846,"estimate_landing_point=-0.11
"
4:7:52:40:27860,"distance_delta=-379.39
"
4:7:52:40:27861,"%,3,2,3,1
"
4:7:52:40:27861,"%,4,1,3
"
4:7:52:40:27941,"%,1,6,90.00,33.15,-164.62,0.54,0.84,0.05
"
4:7:52:40:28053,"%,1,6,91.05,32.96,-163.49,0.52,0.81,0.03
"
4:7:52:40:28148,"%,1,6,91.16,32.92,-163.22,0.53,0.81,0.02
"
4:7:52:40:28244,"%,1,6,90.65,32.88,-163.60,0.49,0.79,0.02
"
4:7:52:40:28341,"%,1,6,88.83,32.86,-165.30,0.47,0.83,0.01
"
4:7:52:41:28437,"%,1,6,86.54,32.32,-167.01,0.56,0.89,0.08
"
4:7:52:41:28839,"%,3,2,3,1
"
