sysTime,roll,pitch,yaw,ax,ay,az
11:15:16:57:13423,-8.76,-3.85,-78.14,-0.07,-0.15,0.97
11:15:16:57:13535,-8.77,-3.84,-78.12,-0.06,-0.15,0.97
11:15:16:58:13631,-8.76,-3.85,-78.12,-0.06,-0.16,0.97
11:15:16:58:13727,-8.77,-3.86,-78.15,-0.07,-0.15,0.97
11:15:16:58:13823,-8.77,-3.86,-78.15,-0.06,-0.15,0.98
11:15:16:58:13934,-8.76,-3.87,-78.17,-0.07,-0.15,0.97
11:15:16:58:14030,-8.77,-3.86,-78.18,-0.06,-0.16,0.97
11:15:16:58:14333,-8.78,-3.86,-78.21,-0.06,-0.15,0.97
11:15:16:58:14429,-8.77,-3.85,-78.2,-0.07,-0.15,0.97
11:15:16:58:14524,-8.78,-3.85,-78.2,-0.07,-0.15,0.97
11:15:16:59:14620,-8.78,-3.84,-78.2,-0.06,-0.16,0.97
11:15:16:59:14731,-8.77,-3.84,-78.2,-0.07,-0.15,0.96
11:15:16:59:14828,-8.77,-3.85,-78.21,-0.07,-0.16,0.97
11:15:16:59:15434,-8.76,-3.85,-78.24,-0.07,-0.15,0.97
11:15:16:59:15529,-8.76,-3.84,-78.22,-0.06,-0.15,0.97
11:15:17:0:15626,-8.76,-3.84,-78.22,-0.06,-0.15,0.97
11:15:17:0:15721,-8.76,-3.84,-78.21,-0.06,-0.15,0.97
11:15:17:0:15833,-8.77,-3.84,-78.21,-0.07,-0.15,0.97
11:15:17:0:15929,-8.77,-3.85,-78.21,-0.07,-0.15,0.97
11:15:17:0:16024,-8.77,-3.85,-78.21,-0.07,-0.16,0.97
11:15:17:0:16329,-8.78,-3.97,-78.65,-0.07,-0.16,0.96
11:15:17:0:16426,-8.79,-4.02,-78.86,-0.06,-0.15,0.97
11:15:17:0:16534,-8.8,-4.05,-79.04,-0.06,-0.15,0.97
11:15:17:1:16631,-8.8,-4.07,-79.21,-0.06,-0.16,0.97
11:15:17:1:16727,-8.8,-4.07,-79.36,-0.06,-0.15,0.97
11:15:17:1:16823,-8.79,-4.08,-79.49,-0.06,-0.15,0.97
11:15:17:1:17431,-8.81,-4.06,-80.19,-0.07,-0.15,0.97
11:15:17:1:17525,-8.8,-4.04,-80.27,-0.06,-0.15,0.97
11:15:17:2:17622,-8.8,-4.02,-80.34,-0.06,-0.15,0.97
11:15:17:2:17733,-8.8,-4.01,-80.4,-0.06,-0.15,0.97
11:15:17:2:17830,-8.8,-4.01,-80.45,-0.07,-0.16,0.97
11:15:17:2:17924,-8.77,-3.91,-80.25,-0.07,-0.2,0.98
