gpsTime,sysTime,Lat,Lng,Alt,speed,course,bearing,dist,ctlangle,isWindCheck,isCheckWind
not defined yet,6:8:55:26:11949,37.289566,127.06564,72.5,0.01,0.0,0.0,0.0,0.0,,0
not defined yet,6:8:55:27:12947,37.28957,127.06564,72.4,0.0,0.0,231.16,380.46,0.0,,0
not defined yet,6:8:55:28:13917,37.28957,127.06564,72.1,0.03,0.0,231.11,380.69,0.0,,0
not defined yet,6:8:55:29:14953,37.28957,127.06564,71.8,0.01,0.0,231.11,380.69,0.0,,0
not defined yet,6:8:55:30:15927,37.28957,127.06564,71.4,0.01,0.0,231.11,380.69,0.0,,0
not defined yet,6:8:55:31:16949,37.28957,127.06564,71.0,0.03,0.0,231.11,380.69,0.0,,0
not defined yet,6:8:55:32:17915,37.28957,127.06564,70.9,0.05,0.0,231.11,380.69,0.0,,0
not defined yet,6:8:55:33:18938,37.28957,127.06564,70.8,0.02,0.0,231.11,380.69,0.0,,0
not defined yet,6:8:55:34:19913,37.289566,127.06564,70.7,0.04,0.0,231.11,380.69,0.0,,0
not defined yet,6:8:55:35:20950,37.289566,127.06564,70.6,0.06,0.0,231.16,380.46,0.0,,0
not defined yet,6:8:55:36:21932,37.289566,127.06564,70.7,0.05,0.0,231.16,380.46,0.0,,0
not defined yet,6:8:55:37:22947,37.289566,127.06564,70.7,0.05,0.0,231.16,380.46,0.0,,0
not defined yet,6:8:55:38:23915,37.289562,127.06564,70.8,0.14,0.0,231.16,380.46,0.0,,0
not defined yet,6:8:55:39:24950,37.289562,127.06564,70.9,0.13,0.0,231.16,380.46,0.0,,0
not defined yet,6:8:55:40:25923,37.289562,127.06564,71.0,0.09,0.0,231.16,380.46,0.0,,0
not defined yet,6:8:55:41:26941,37.289562,127.06564,71.3,0.05,0.0,231.16,380.46,0.0,,0
not defined yet,6:8:55:42:27916,37.289562,127.06564,71.4,0.03,0.0,231.16,380.46,0.0,,0
not defined yet,6:8:55:43:28946,37.289562,127.06564,71.5,0.07,0.0,231.16,380.46,0.0,,0
not defined yet,6:8:55:44:29920,37.289562,127.06564,71.5,0.05,0.0,231.16,380.46,0.0,,0
not defined yet,6:8:55:45:30942,37.289562,127.06564,71.6,0.04,0.0,231.16,380.46,0.0,,0
not defined yet,6:8:55:46:32227,37.289562,127.06564,71.6,0.11,0.0,231.16,380.46,0.0,,0
not defined yet,6:8:55:47:32920,37.289562,127.06564,71.7,0.08,0.0,231.16,380.46,0.0,,0
not defined yet,6:8:55:48:33911,37.289562,127.06564,71.8,0.09,0.0,231.16,380.46,0.0,,0
not defined yet,6:8:55:49:34919,37.289562,127.06564,71.8,0.01,0.0,231.16,380.46,0.0,,0
not defined yet,6:8:55:50:35930,37.289562,127.06564,72.0,0.03,0.0,231.16,380.46,0.0,,0
not defined yet,6:8:55:51:36912,37.289562,127.06564,72.0,0.13,0.0,231.16,380.46,0.0,,0
not defined yet,6:8:55:52:37914,37.289562,127.06564,71.9,0.09,0.0,231.16,380.46,0.0,,0
not defined yet,6:8:55:53:38919,37.289562,127.06564,71.8,0.07,0.0,231.16,380.46,0.0,,0
not defined yet,6:8:55:54:39895,37.289562,127.06564,71.8,0.04,0.0,231.16,380.46,0.0,,0
not defined yet,6:8:55:55:40918,37.289562,127.06564,72.0,0.04,0.0,231.16,380.46,0.0,,0
not defined yet,6:8:55:56:41918,37.289562,127.06564,72.1,0.02,0.0,231.16,380.46,0.0,,0
not defined yet,6:8:55:57:42933,37.289562,127.06564,72.2,0.01,0.0,231.16,380.46,0.0,,0
not defined yet,6:8:55:58:43908,37.289562,127.06564,72.3,0.01,0.0,231.16,380.46,0.0,,0
not defined yet,6:8:55:59:44925,37.289562,127.06564,72.1,0.03,0.0,231.16,380.46,0.0,,0
not defined yet,6:8:56:0:45923,37.289562,127.06564,72.1,0.02,0.0,231.16,380.46,0.0,,0
not defined yet,6:8:56:1:46930,37.28956,127.06564,72.1,0.02,0.0,231.16,380.46,0.0,,0
not defined yet,6:8:56:2:47942,37.28956,127.06564,72.0,0.0,0.0,299.07,44.89,-60.93,,0
not defined yet,6:8:56:3:48926,37.28956,127.06564,72.0,0.0,0.0,299.07,44.89,-60.93,,0
not defined yet,6:8:56:4:49917,37.28956,127.06564,71.9,0.01,0.0,299.07,44.89,-60.93,,0
not defined yet,6:8:56:5:50923,37.28956,127.06564,71.8,0.03,0.0,299.07,44.89,-60.93,,0
not defined yet,6:8:56:6:51923,37.289555,127.06564,71.8,0.0,0.0,299.07,44.89,-60.93,,0
not defined yet,6:8:56:7:52915,37.28956,127.06564,71.8,0.03,0.0,299.7,45.17,-60.3,,0
not defined yet,6:8:56:8:53930,37.289555,127.06564,71.8,0.09,0.0,299.07,44.89,-60.93,,0
not defined yet,6:8:56:9:54916,37.289555,127.06564,71.8,0.15,0.0,299.7,45.17,-60.3,,0
not defined yet,6:8:56:10:55912,37.289555,127.06564,71.8,0.04,0.0,299.7,45.17,-60.3,,0
not defined yet,6:8:56:11:56933,37.289555,127.06564,72.0,0.03,0.0,299.7,45.17,-60.3,,0
not defined yet,6:8:56:12:57924,37.28956,127.06564,72.0,0.07,0.0,299.7,45.17,-60.3,,0
not defined yet,6:8:56:13:58943,37.28956,127.06564,71.9,0.02,0.0,299.07,44.89,-60.93,,0
