sysTime,roll,pitch,yaw,ax,ay,az,sqrt,average
5:21:34:12:14097,92.73,-61.56,151.52,-0.89,0.49,-0.03,1.01,0.0
5:21:34:12:14191,92.69,-61.57,151.58,-0.89,0.48,-0.02,1.01,0.0
5:21:34:12:14287,92.64,-61.59,151.68,-0.89,0.48,-0.02,1.02,0.0
5:21:34:12:14398,92.6,-61.59,151.75,-0.89,0.49,-0.02,1.02,0.0
5:21:34:12:14496,92.59,-61.6,151.8,-0.89,0.48,-0.03,1.02,0.0
5:21:34:12:14590,92.55,-61.6,151.86,-0.89,0.48,-0.02,1.01,0.0
5:21:34:12:14686,92.55,-61.61,151.89,-0.9,0.49,-0.03,1.02,0.0
5:21:34:13:14895,92.53,-61.6,151.95,-0.89,0.48,-0.02,1.02,0.0
5:21:34:13:14990,92.52,-61.6,151.98,-0.89,0.48,-0.02,1.01,0.0
5:21:34:13:15101,92.53,-61.6,151.99,-0.89,0.48,-0.02,1.01,0.0
5:21:34:13:15198,92.54,-61.6,152.0,-0.89,0.48,-0.02,1.01,0.0
5:21:34:13:15294,92.53,-61.61,152.03,-0.89,0.48,-0.01,1.02,0.0
5:21:34:13:15390,92.52,-61.62,152.06,-0.89,0.48,-0.02,1.01,0.0
5:21:34:13:15500,92.53,-61.62,152.08,-0.89,0.48,-0.02,1.02,0.0
5:21:34:14:16093,92.55,-61.61,152.13,-0.9,0.48,-0.02,1.02,0.0
5:21:34:14:16189,92.55,-61.61,152.13,-0.89,0.48,-0.01,1.01,0.0
5:21:34:14:16301,92.57,-61.6,152.1,-0.89,0.48,-0.02,1.01,0.0
5:21:34:14:16397,92.6,-61.6,152.08,-0.89,0.48,-0.02,1.02,0.0
5:21:34:14:16493,92.6,-61.6,152.08,-0.89,0.48,-0.02,1.01,0.0
5:21:34:14:16588,92.6,-61.6,152.08,-0.89,0.48,-0.03,1.01,0.0
5:21:34:14:16699,92.6,-61.6,152.1,-0.89,0.48,-0.02,1.02,0.0
5:21:34:15:16893,92.62,-61.6,152.09,-0.91,0.46,0.0,1.01,0.0
5:21:34:15:16988,93.12,-52.4,143.08,-0.8,0.46,-0.06,0.92,0.0
5:21:34:15:17100,91.43,-59.11,126.35,-1.16,0.83,0.05,1.43,0.0
5:21:34:15:17198,90.06,-58.94,124.2,-0.75,0.37,0.0,0.84,0.0
5:21:34:15:17293,89.91,-61.62,129.75,-0.87,0.58,-0.07,1.05,0.0
5:21:34:15:17388,89.78,-61.79,130.7,-0.87,0.5,-0.01,1.0,0.0
5:21:34:15:17499,89.57,-62.51,131.69,-0.9,0.48,-0.02,1.02,0.0
5:21:34:16:18094,90.75,-62.37,158.4,-0.92,0.44,-0.05,1.02,0.0
5:21:34:16:18188,91.83,-62.25,157.34,-0.88,0.49,-0.02,1.01,0.0
5:21:34:16:18300,92.49,-62.01,156.24,-0.88,0.48,-0.02,1.0,0.0
5:21:34:16:18395,92.73,-61.76,155.62,-0.87,0.46,-0.01,0.98,0.0
5:21:34:16:18492,93.79,-61.8,158.33,-0.86,0.52,-0.17,1.02,0.0
5:21:34:16:18587,101.75,-65.03,151.3,-1.01,0.36,-0.04,1.07,0.0
5:21:34:16:18699,95.72,-65.76,157.23,-1.02,0.59,-0.05,1.18,0.0
5:21:34:17:18893,82.83,-66.15,166.44,-0.75,0.2,0.09,0.78,0.0
5:21:34:17:18987,88.31,-66.54,161.51,-0.83,0.24,0.03,0.86,0.0
5:21:34:17:19098,99.39,-63.31,152.71,-0.91,0.45,-0.08,1.02,0.0
5:21:34:17:19196,110.83,-59.15,142.46,-1.01,0.66,-0.11,1.21,0.0
5:21:34:17:19292,112.67,-59.66,139.45,-1.17,0.62,-0.15,1.33,0.0
5:21:34:17:19386,98.02,-62.47,152.48,-0.84,0.51,-0.01,0.98,0.0
5:21:34:17:19500,82.49,-65.95,166.17,-0.74,0.25,0.08,0.79,0.0
5:21:34:18:20090,79.15,-66.66,169.53,-0.75,0.27,0.11,0.8,0.0
5:21:34:18:20186,88.04,-67.3,160.94,-0.9,0.31,0.06,0.95,0.0
5:21:34:18:20297,100.44,-65.66,149.5,-0.93,0.43,-0.06,1.03,0.0
5:21:34:18:20395,109.96,-64.13,140.48,-0.96,0.37,-0.21,1.05,0.0
5:21:34:18:20493,120.66,-64.4,131.19,-1.05,0.5,-0.13,1.17,0.0
5:21:34:18:20601,115.46,-63.27,135.38,-0.86,0.45,-0.14,0.98,0.0
5:21:34:19:20890,117.6,-62.55,130.01,-0.93,0.46,-0.19,1.06,0.0
5:21:34:19:21000,113.06,-61.49,133.17,-0.87,0.4,-0.22,0.99,0.0
5:21:34:19:21097,108.07,-60.12,137.2,-0.88,0.51,-0.13,1.02,0.0
5:21:34:19:21194,102.63,-58.2,140.97,-0.86,0.52,-0.05,1.0,0.0
5:21:34:19:21290,100.69,-57.11,142.74,-0.91,0.54,-0.12,1.07,0.0
5:21:34:19:21400,100.76,-57.79,142.83,-0.96,0.59,-0.15,1.14,0.0
5:21:34:19:21498,96.54,-58.73,146.93,-0.95,0.61,-0.13,1.13,0.0
5:21:34:20:22089,22.56,-72.97,-139.64,-0.59,0.02,0.28,0.66,0.0
5:21:34:20:22200,10.06,-74.96,-125.92,-0.62,-0.09,0.34,0.71,0.0
5:21:34:20:22297,26.52,-77.96,-141.53,-0.57,-0.08,0.23,0.62,0.0
5:21:34:20:22393,70.23,-73.08,175.56,-0.64,0.14,0.08,0.66,0.0
5:21:34:20:22488,92.77,-57.78,156.62,-0.84,0.72,-0.04,1.11,0.0
